ConnID	RqstID	Latency
0 	 0 	 214.707µs
0 	 1 	 344.931µs
0 	 2 	 307.836µs
0 	 3 	 295.382µs
0 	 4 	 290.538µs
0 	 5 	 292.244µs
0 	 6 	 262.341µs
0 	 7 	 303.621µs
0 	 8 	 309.574µs
0 	 9 	 346.718µs
0 	 10 	 330.83µs
0 	 11 	 292.848µs
0 	 12 	 288.513µs
0 	 13 	 328.79µs
0 	 14 	 309.056µs
0 	 15 	 283.735µs
0 	 16 	 289.384µs
0 	 17 	 288.17µs
0 	 18 	 256.541µs
0 	 19 	 258.35µs
0 	 20 	 255.295µs
0 	 21 	 260.693µs
0 	 22 	 254.023µs
0 	 23 	 257.236µs
0 	 24 	 293.412µs
0 	 25 	 289.526µs
0 	 26 	 277.187µs
0 	 27 	 260.968µs
0 	 28 	 304.459µs
0 	 29 	 330.025µs
0 	 30 	 300.423µs
0 	 31 	 320.841µs
0 	 32 	 298.988µs
0 	 33 	 338.733µs
0 	 34 	 330.528µs
0 	 35 	 335.23µs
0 	 36 	 380.473µs
0 	 37 	 340.777µs
0 	 38 	 336.344µs
0 	 39 	 333.402µs
0 	 40 	 366.897µs
0 	 41 	 332.258µs
0 	 42 	 361.367µs
0 	 43 	 363.889µs
0 	 44 	 298.328µs
0 	 45 	 325.855µs
0 	 46 	 331.27µs
0 	 47 	 301.79µs
0 	 48 	 288.882µs
0 	 49 	 290.436µs
0 	 50 	 359.236µs
0 	 51 	 322.875µs
0 	 52 	 328.81µs
0 	 53 	 353.304µs
0 	 54 	 335.622µs
0 	 55 	 339.818µs
0 	 56 	 313.104µs
0 	 57 	 316.8µs
0 	 58 	 379.258µs
0 	 59 	 349.871µs
0 	 60 	 323.51µs
0 	 61 	 278.693µs
0 	 62 	 326.758µs
0 	 63 	 290.63µs
0 	 64 	 315.066µs
0 	 65 	 321.35µs
0 	 66 	 361.226µs
0 	 67 	 358.521µs
0 	 68 	 301.643µs
0 	 69 	 292.423µs
0 	 70 	 321.959µs
0 	 71 	 259.07µs
0 	 72 	 261.333µs
0 	 73 	 265.686µs
0 	 74 	 323.291µs
0 	 75 	 290.599µs
0 	 76 	 307.879µs
0 	 77 	 264.206µs
0 	 78 	 302.438µs
0 	 79 	 252.494µs
0 	 80 	 284.924µs
0 	 81 	 264.071µs
0 	 82 	 303.614µs
0 	 83 	 298.945µs
0 	 84 	 305.636µs
0 	 85 	 285.992µs
0 	 86 	 347.727µs
0 	 87 	 289.307µs
0 	 88 	 284.967µs
0 	 89 	 341.868µs
0 	 90 	 306.685µs
0 	 91 	 265.844µs
0 	 92 	 265.107µs
0 	 93 	 307.693µs
0 	 94 	 258.931µs
0 	 95 	 270.273µs
0 	 96 	 260.49µs
0 	 97 	 265.972µs
0 	 98 	 283.373µs
0 	 99 	 280.001µs
0 	 100 	 288.99µs
0 	 101 	 296.054µs
0 	 102 	 287.105µs
0 	 103 	 285.616µs
0 	 104 	 291.988µs
0 	 105 	 320.974µs
0 	 106 	 395.425µs
0 	 107 	 287.55µs
0 	 108 	 305.012µs
