ConnID	RqstID	Latency
0 	 0 	 142.765µs
0 	 1 	 158.343µs
0 	 2 	 161.401µs
0 	 3 	 204.543µs
0 	 4 	 203.637µs
0 	 5 	 225.57µs
0 	 6 	 233.422µs
0 	 7 	 279.037µs
0 	 8 	 229.563µs
0 	 9 	 209.103µs
0 	 10 	 225.278µs
0 	 11 	 296.031µs
0 	 12 	 261.455µs
0 	 13 	 259.991µs
0 	 14 	 226.894µs
0 	 15 	 248.942µs
0 	 16 	 228.239µs
0 	 17 	 237.922µs
0 	 18 	 224.072µs
0 	 19 	 245.024µs
0 	 20 	 232.814µs
0 	 21 	 259.282µs
0 	 22 	 268.12µs
0 	 23 	 280.413µs
0 	 24 	 233.564µs
0 	 25 	 238.208µs
0 	 26 	 232.642µs
0 	 27 	 230.934µs
0 	 28 	 225.674µs
0 	 29 	 272.946µs
0 	 30 	 278.838µs
0 	 31 	 317.275µs
0 	 32 	 226.194µs
0 	 33 	 301.262µs
0 	 34 	 234.719µs
0 	 35 	 237.768µs
0 	 36 	 237.496µs
0 	 37 	 229.799µs
0 	 38 	 240.578µs
0 	 39 	 276.784µs
0 	 40 	 268.986µs
0 	 41 	 277.438µs
0 	 42 	 190.792µs
0 	 43 	 271.283µs
0 	 44 	 262.345µs
0 	 45 	 249.577µs
0 	 46 	 244.5µs
0 	 47 	 231.855µs
0 	 48 	 231.895µs
0 	 49 	 231.778µs
0 	 50 	 247.634µs
0 	 51 	 230.469µs
0 	 52 	 277.84µs
0 	 53 	 235.652µs
0 	 54 	 232.678µs
0 	 55 	 234.857µs
0 	 56 	 226.765µs
0 	 57 	 243.719µs
0 	 58 	 259.349µs
0 	 59 	 257.678µs
0 	 60 	 300.688µs
0 	 61 	 237.518µs
0 	 62 	 227.297µs
0 	 63 	 235.658µs
0 	 64 	 227.209µs
0 	 65 	 228.496µs
0 	 66 	 232.556µs
0 	 67 	 200.94µs
0 	 68 	 304.991µs
0 	 69 	 241.271µs
0 	 70 	 234.622µs
0 	 71 	 229.33µs
0 	 72 	 240.747µs
0 	 73 	 231.989µs
0 	 74 	 231.927µs
0 	 75 	 243.861µs
0 	 76 	 227.492µs
0 	 77 	 235.152µs
0 	 78 	 242.625µs
0 	 79 	 230.057µs
0 	 80 	 226.998µs
0 	 81 	 232.731µs
0 	 82 	 242.237µs
0 	 83 	 230.453µs
0 	 84 	 227.212µs
0 	 85 	 227.159µs
0 	 86 	 242.651µs
0 	 87 	 234.025µs
0 	 88 	 226.957µs
0 	 89 	 239.834µs
0 	 90 	 226.362µs
0 	 91 	 236.407µs
0 	 92 	 233.045µs
0 	 93 	 238.489µs
0 	 94 	 239.622µs
0 	 95 	 236.95µs
0 	 96 	 227.559µs
0 	 97 	 316.379µs
0 	 98 	 232.718µs
0 	 99 	 196.35µs
0 	 100 	 206.106µs
0 	 101 	 253.786µs
0 	 102 	 272.6µs
0 	 103 	 279.937µs
0 	 104 	 273.74µs
0 	 105 	 185.832µs
0 	 106 	 227.769µs
0 	 107 	 236.083µs
0 	 108 	 227.17µs
0 	 109 	 229.244µs
0 	 110 	 227.533µs
0 	 111 	 274.337µs
0 	 112 	 271.13µs
0 	 113 	 276.31µs
0 	 114 	 256.868µs
0 	 115 	 262.074µs
0 	 116 	 260.657µs
0 	 117 	 236.438µs
0 	 118 	 234.859µs
0 	 119 	 269.946µs
0 	 120 	 228.403µs
0 	 121 	 233.24µs
0 	 122 	 243.492µs
0 	 123 	 232.404µs
0 	 124 	 235.608µs
0 	 125 	 230.434µs
0 	 126 	 244.048µs
0 	 127 	 239.173µs
0 	 128 	 235.587µs
0 	 129 	 277.466µs
0 	 130 	 271.423µs
0 	 131 	 269.77µs
0 	 132 	 193.668µs
0 	 133 	 261.585µs
0 	 134 	 270.206µs
0 	 135 	 260.909µs
0 	 136 	 247.662µs
0 	 137 	 238.654µs
0 	 138 	 252.972µs
0 	 139 	 293.039µs
0 	 140 	 276.777µs
0 	 141 	 275.587µs
0 	 142 	 194.489µs
0 	 143 	 296.687µs
0 	 144 	 312.739µs
0 	 145 	 243.837µs
0 	 146 	 230.108µs
0 	 147 	 240.095µs
0 	 148 	 237.057µs
0 	 149 	 203.537µs
0 	 150 	 201.369µs
0 	 151 	 277.65µs
0 	 152 	 305.678µs
0 	 153 	 300.244µs
0 	 154 	 247.036µs
0 	 155 	 254.302µs
0 	 156 	 231.739µs
0 	 157 	 236.171µs
0 	 158 	 233.917µs
0 	 159 	 246.635µs
0 	 160 	 278.424µs
0 	 161 	 237.332µs
0 	 162 	 244.06µs
0 	 163 	 230.021µs
0 	 164 	 229.45µs
0 	 165 	 233.813µs
0 	 166 	 229.977µs
0 	 167 	 235.665µs
0 	 168 	 277.161µs
0 	 169 	 238.082µs
0 	 170 	 229.941µs
0 	 171 	 236.425µs
0 	 172 	 230.097µs
0 	 173 	 228.381µs
0 	 174 	 227.448µs
0 	 175 	 277.322µs
0 	 176 	 270.825µs
0 	 177 	 244.183µs
0 	 178 	 255.51µs
0 	 179 	 236.664µs
0 	 180 	 238.5µs
0 	 181 	 230.788µs
0 	 182 	 242.618µs
0 	 183 	 245.837µs
0 	 184 	 300.561µs
0 	 185 	 236.653µs
0 	 186 	 262.604µs
0 	 187 	 275.022µs
0 	 188 	 255.153µs
0 	 189 	 255.287µs
0 	 190 	 264.358µs
0 	 191 	 265.702µs
0 	 192 	 298.333µs
0 	 193 	 264.134µs
0 	 194 	 262.388µs
0 	 195 	 265.914µs
0 	 196 	 245.145µs
0 	 197 	 234.261µs
0 	 198 	 257.847µs
0 	 199 	 222.046µs
0 	 200 	 286.662µs
0 	 201 	 234.532µs
0 	 202 	 234.427µs
0 	 203 	 259.497µs
0 	 204 	 231.937µs
0 	 205 	 236.324µs
0 	 206 	 237.181µs
0 	 207 	 232.834µs
0 	 208 	 230.151µs
0 	 209 	 233.938µs
0 	 210 	 232.71µs
0 	 211 	 230.188µs
0 	 212 	 242.068µs
0 	 213 	 237.102µs
0 	 214 	 228.374µs
0 	 215 	 248.636µs
0 	 216 	 262.033µs
0 	 217 	 274.424µs
0 	 218 	 258.401µs
0 	 219 	 307.524µs
0 	 220 	 274.081µs
0 	 221 	 234.026µs
0 	 222 	 248.586µs
0 	 223 	 277.12µs
