10ms	1000 	 314.017µs 	 493.669µs 	 1.86319ms 	 57.949µs 	 99.99382386147042 	 102393.67563414571 	 204787.35126829142
3ms	1000 	 284.965µs 	 448.663µs 	 1.027108ms 	 51.437µs 	 333.2427716109631 	 341240.5981296262 	 682481.1962592524
1ms	1000 	 256.81µs 	 380.244µs 	 812.45µs 	 39.282µs 	 999.1433934039558 	 1.0231228348456507e+06 	 2.0462456696913014e+06
300us	1000 	 163.113µs 	 320.078µs 	 1.793236ms 	 91.568µs 	 3326.5568155329343 	 3.4063941791057247e+06 	 6.812788358211449e+06
100us	1000 	 114.756µs 	 208.95µs 	 2.536131ms 	 224.558µs 	 9307.95615889355 	 9.531347106706996e+06 	 1.906269421341399e+07
30us	1000 	 96.763µs 	 157.883µs 	 554.389µs 	 40.115µs 	 12586.014237223788 	 1.2888078578917159e+07 	 2.5776157157834318e+07
10us	1000 	 109.667µs 	 190.422µs 	 1.195982ms 	 118.077µs 	 12837.715853514832 	 1.3145821033999188e+07 	 2.6291642067998376e+07
3us	1000 	 97.789µs 	 150.046µs 	 409.458µs 	 37.804µs 	 15490.920995822702 	 1.5862703099722447e+07 	 3.1725406199444894e+07
1us	1000 	 95.917µs 	 159.842µs 	 391.509µs 	 39.85µs 	 14929.236909970432 	 1.5287538595809722e+07 	 3.0575077191619445e+07
300ns	1000 	 105.18µs 	 165.075µs 	 392.714µs 	 31.056µs 	 14213.401978758553 	 1.4554523626248758e+07 	 2.9109047252497517e+07
100ns	1000 	 107.612µs 	 170.457µs 	 482.586µs 	 39.309µs 	 13972.600094502282 	 1.4307942496770337e+07 	 2.8615884993540674e+07
30ns	1000 	 112.434µs 	 173.33µs 	 486.882µs 	 38.239µs 	 13747.014921628612 	 1.4076943279747698e+07 	 2.8153886559495397e+07
10ns	1000 	 110.814µs 	 178.378µs 	 514.443µs 	 46.053µs 	 13691.505115235306 	 1.4020101238000954e+07 	 2.8040202476001907e+07
3ns	1000 	 103.887µs 	 177.846µs 	 552.121µs 	 46.248µs 	 14102.10647112949 	 1.4440557026436597e+07 	 2.8881114052873194e+07
1ns	1000 	 98.825µs 	 176.176µs 	 521.101µs 	 42.886µs 	 13882.978789126868 	 1.4216170280065913e+07 	 2.8432340560131826e+07
0ns	1000 	 748.105µs 	 4.775411ms 	 7.987841ms 	 2.453955ms 	 105261.44047123443 	 1.0778771504254405e+08 	 2.155754300850881e+08
