ConnID	RqstID	Latency
0 	 0 	 1.029778ms
0 	 1 	 239.945µs
0 	 2 	 275.262µs
0 	 3 	 320.602µs
0 	 4 	 339.35µs
0 	 5 	 330.874µs
0 	 6 	 325.892µs
0 	 7 	 363.089µs
0 	 8 	 354.149µs
0 	 9 	 310.407µs
0 	 10 	 307.982µs
0 	 11 	 298.686µs
0 	 12 	 315.724µs
0 	 13 	 299.62µs
0 	 14 	 324.123µs
0 	 15 	 333.922µs
0 	 16 	 306.029µs
0 	 17 	 304.719µs
0 	 18 	 302.23µs
0 	 19 	 310.285µs
0 	 20 	 315.027µs
0 	 21 	 323.89µs
0 	 22 	 302.093µs
0 	 23 	 305.764µs
0 	 24 	 324.962µs
0 	 25 	 306.884µs
0 	 26 	 306.917µs
0 	 27 	 303.115µs
0 	 28 	 334.694µs
0 	 29 	 409.531µs
0 	 30 	 414.866µs
0 	 31 	 410.908µs
0 	 32 	 399.571µs
0 	 33 	 404.113µs
0 	 34 	 394.553µs
0 	 35 	 356.42µs
0 	 36 	 358.076µs
0 	 37 	 395.847µs
0 	 38 	 352.595µs
0 	 39 	 363.471µs
0 	 40 	 386.116µs
0 	 41 	 396.138µs
0 	 42 	 397.897µs
0 	 43 	 393.96µs
0 	 44 	 397.929µs
0 	 45 	 391.482µs
0 	 46 	 404.851µs
0 	 47 	 397.196µs
0 	 48 	 402.537µs
0 	 49 	 394.239µs
0 	 50 	 395.901µs
0 	 51 	 416.489µs
0 	 52 	 403.506µs
0 	 53 	 446.433µs
0 	 54 	 459.014µs
0 	 55 	 397.104µs
0 	 56 	 383.732µs
0 	 57 	 363.539µs
0 	 58 	 366.329µs
0 	 59 	 367.295µs
0 	 60 	 391.324µs
0 	 61 	 381.264µs
0 	 62 	 389.413µs
0 	 63 	 426.376µs
0 	 64 	 371.786µs
0 	 65 	 382.761µs
0 	 66 	 380.434µs
0 	 67 	 370.219µs
0 	 68 	 377.627µs
0 	 69 	 372.537µs
0 	 70 	 339.985µs
0 	 71 	 403.677µs
0 	 72 	 388.392µs
0 	 73 	 378.994µs
0 	 74 	 424.826µs
0 	 75 	 396.894µs
0 	 76 	 380.309µs
0 	 77 	 381.109µs
0 	 78 	 382.691µs
0 	 79 	 382.586µs
0 	 80 	 427.131µs
0 	 81 	 382.362µs
0 	 82 	 376.911µs
0 	 83 	 381.716µs
0 	 84 	 420.869µs
0 	 85 	 422.198µs
0 	 86 	 412.963µs
0 	 87 	 412.529µs
0 	 88 	 393.692µs
0 	 89 	 397.515µs
0 	 90 	 413.136µs
0 	 91 	 377.597µs
0 	 92 	 388.247µs
0 	 93 	 383.706µs
0 	 94 	 420.288µs
0 	 95 	 442.973µs
0 	 96 	 410.778µs
0 	 97 	 416.103µs
0 	 98 	 418.071µs
0 	 99 	 416.331µs
