ConnID	RqstID	Latency
0 	 0 	 267.9µs
0 	 1 	 380.514µs
0 	 2 	 386.266µs
0 	 3 	 354.799µs
0 	 4 	 444.349µs
0 	 5 	 440.883µs
0 	 6 	 392.756µs
0 	 7 	 383.842µs
0 	 8 	 452.031µs
0 	 9 	 408.119µs
0 	 10 	 549.275µs
0 	 11 	 428.286µs
0 	 12 	 401.863µs
0 	 13 	 441.089µs
0 	 14 	 428.346µs
0 	 15 	 432.918µs
0 	 16 	 453.916µs
0 	 17 	 436.909µs
0 	 18 	 445.838µs
0 	 19 	 445.459µs
0 	 20 	 446.213µs
0 	 21 	 440.219µs
0 	 22 	 440.376µs
0 	 23 	 449.441µs
0 	 24 	 369.994µs
0 	 25 	 408.034µs
0 	 26 	 376.217µs
0 	 27 	 374.609µs
0 	 28 	 372.731µs
0 	 29 	 420.311µs
0 	 30 	 373.614µs
0 	 31 	 390.796µs
0 	 32 	 378.414µs
0 	 33 	 368.514µs
0 	 34 	 371.451µs
0 	 35 	 363.907µs
0 	 36 	 364.896µs
0 	 37 	 434.401µs
0 	 38 	 389.469µs
0 	 39 	 377.869µs
0 	 40 	 363.274µs
0 	 41 	 359.426µs
0 	 42 	 364.489µs
0 	 43 	 344.237µs
0 	 44 	 378.496µs
0 	 45 	 364.402µs
0 	 46 	 361.906µs
0 	 47 	 361.847µs
0 	 48 	 362.489µs
0 	 49 	 390.729µs
0 	 50 	 355.369µs
0 	 51 	 397.744µs
0 	 52 	 400.509µs
0 	 53 	 404.739µs
0 	 54 	 398.079µs
0 	 55 	 408.688µs
0 	 56 	 403.498µs
0 	 57 	 373.129µs
0 	 58 	 368.042µs
0 	 59 	 365.404µs
0 	 60 	 370.559µs
0 	 61 	 381.059µs
0 	 62 	 345.846µs
0 	 63 	 429.371µs
0 	 64 	 405.606µs
0 	 65 	 397.382µs
0 	 66 	 394.531µs
0 	 67 	 343.677µs
0 	 68 	 345.147µs
0 	 69 	 401.656µs
0 	 70 	 508.068µs
0 	 71 	 500.116µs
0 	 72 	 479.543µs
0 	 73 	 410.099µs
0 	 74 	 385.997µs
0 	 75 	 363.869µs
0 	 76 	 346.377µs
0 	 77 	 368.156µs
0 	 78 	 396.357µs
0 	 79 	 399.089µs
0 	 80 	 469.609µs
0 	 81 	 461.616µs
0 	 82 	 445.629µs
0 	 83 	 441.324µs
0 	 84 	 440.716µs
0 	 85 	 440.596µs
0 	 86 	 435.466µs
0 	 87 	 398.101µs
0 	 88 	 434.311µs
0 	 89 	 433.428µs
0 	 90 	 423.966µs
0 	 91 	 417.281µs
0 	 92 	 395.586µs
0 	 93 	 360.769µs
0 	 94 	 389.263µs
0 	 95 	 414.686µs
0 	 96 	 400.617µs
0 	 97 	 432.799µs
0 	 98 	 370.509µs
0 	 99 	 366.911µs
0 	 100 	 348.535µs
0 	 101 	 410.006µs
0 	 102 	 358.474µs
0 	 103 	 357.89µs
0 	 104 	 400.011µs
0 	 105 	 441.244µs
0 	 106 	 396.546µs
0 	 107 	 428.601µs
0 	 108 	 396.576µs
0 	 109 	 404.014µs
0 	 110 	 367.031µs
0 	 111 	 364.672µs
0 	 112 	 357.764µs
0 	 113 	 406.732µs
0 	 114 	 382.766µs
0 	 115 	 416.861µs
0 	 116 	 402.801µs
0 	 117 	 446.298µs
0 	 118 	 397.934µs
0 	 119 	 417.824µs
0 	 120 	 410.536µs
0 	 121 	 416.614µs
0 	 122 	 362.052µs
0 	 123 	 365.532µs
0 	 124 	 353.534µs
0 	 125 	 458.781µs
0 	 126 	 392.216µs
0 	 127 	 415.821µs
0 	 128 	 404.691µs
0 	 129 	 436.048µs
0 	 130 	 386.309µs
0 	 131 	 419.213µs
0 	 132 	 403.579µs
0 	 133 	 447.64µs
0 	 134 	 403.162µs
0 	 135 	 420.323µs
0 	 136 	 399.259µs
0 	 137 	 364.524µs
0 	 138 	 341.717µs
0 	 139 	 378.867µs
0 	 140 	 371.164µs
0 	 141 	 363.607µs
0 	 142 	 367.98µs
0 	 143 	 341.671µs
0 	 144 	 380.752µs
0 	 145 	 363.919µs
0 	 146 	 385.259µs
0 	 147 	 381.054µs
0 	 148 	 379.281µs
0 	 149 	 370.219µs
0 	 150 	 362.086µs
0 	 151 	 418.114µs
0 	 152 	 415.743µs
0 	 153 	 416.766µs
0 	 154 	 349.561µs
0 	 155 	 373.146µs
0 	 156 	 398.424µs
0 	 157 	 381.251µs
0 	 158 	 380.059µs
0 	 159 	 396.757µs
0 	 160 	 460.748µs
0 	 161 	 401.004µs
0 	 162 	 366.346µs
0 	 163 	 387.311µs
0 	 164 	 431.276µs
0 	 165 	 441.963µs
0 	 166 	 428.436µs
0 	 167 	 430.906µs
0 	 168 	 430.426µs
0 	 169 	 496.496µs
0 	 170 	 515.348µs
0 	 171 	 506.822µs
0 	 172 	 509.765µs
0 	 173 	 502.097µs
0 	 174 	 371.432µs
0 	 175 	 393.472µs
0 	 176 	 384.409µs
0 	 177 	 399.899µs
0 	 178 	 434.999µs
0 	 179 	 392.754µs
0 	 180 	 431.806µs
0 	 181 	 423.861µs
0 	 182 	 448.506µs
0 	 183 	 455.101µs
0 	 184 	 450.586µs
0 	 185 	 427.299µs
0 	 186 	 428.861µs
0 	 187 	 437.896µs
0 	 188 	 430.221µs
0 	 189 	 431.046µs
0 	 190 	 447.908µs
0 	 191 	 435.338µs
0 	 192 	 399.423µs
0 	 193 	 369.294µs
0 	 194 	 414.444µs
0 	 195 	 429.596µs
0 	 196 	 431.661µs
0 	 197 	 468.395µs
0 	 198 	 477.03µs
0 	 199 	 462.691µs
0 	 200 	 416.771µs
0 	 201 	 435.688µs
0 	 202 	 427.021µs
0 	 203 	 426.961µs
0 	 204 	 409.614µs
0 	 205 	 436.949µs
0 	 206 	 380.882µs
0 	 207 	 382.469µs
0 	 208 	 396.262µs
0 	 209 	 468.061µs
0 	 210 	 462.588µs
0 	 211 	 438.921µs
0 	 212 	 416.919µs
0 	 213 	 466.813µs
0 	 214 	 463.518µs
0 	 215 	 471.381µs
0 	 216 	 429.694µs
0 	 217 	 421.026µs
0 	 218 	 421.689µs
0 	 219 	 443.888µs
0 	 220 	 467.233µs
0 	 221 	 457.608µs
0 	 222 	 464.511µs
0 	 223 	 440.969µs
0 	 224 	 381.924µs
0 	 225 	 469.818µs
0 	 226 	 440.766µs
0 	 227 	 462.186µs
0 	 228 	 431.913µs
0 	 229 	 441.633µs
0 	 230 	 437.856µs
0 	 231 	 454.311µs
0 	 232 	 386.817µs
0 	 233 	 400.979µs
0 	 234 	 390.517µs
0 	 235 	 383.382µs
0 	 236 	 387.819µs
0 	 237 	 380.342µs
0 	 238 	 385.152µs
0 	 239 	 386.528µs
0 	 240 	 429.113µs
0 	 241 	 460.596µs
0 	 242 	 462.156µs
0 	 243 	 407.946µs
0 	 244 	 401.046µs
0 	 245 	 363.017µs
0 	 246 	 357.95µs
0 	 247 	 368.244µs
0 	 248 	 362.604µs
0 	 249 	 398.534µs
0 	 250 	 342.477µs
0 	 251 	 362.139µs
0 	 252 	 371.997µs
0 	 253 	 373.529µs
0 	 254 	 348.299µs
0 	 255 	 384.336µs
0 	 256 	 408.556µs
0 	 257 	 406.291µs
0 	 258 	 397.303µs
0 	 259 	 399.039µs
0 	 260 	 440.486µs
0 	 261 	 412.141µs
0 	 262 	 369.029µs
0 	 263 	 370.214µs
0 	 264 	 363.194µs
0 	 265 	 363.152µs
0 	 266 	 379.444µs
0 	 267 	 364.479µs
0 	 268 	 369.629µs
0 	 269 	 404.977µs
0 	 270 	 476.109µs
0 	 271 	 540.847µs
0 	 272 	 512.675µs
0 	 273 	 517.28µs
0 	 274 	 361.626µs
0 	 275 	 390.096µs
0 	 276 	 389.702µs
0 	 277 	 369.079µs
0 	 278 	 366.742µs
0 	 279 	 373.754µs
0 	 280 	 421.576µs
0 	 281 	 411.536µs
0 	 282 	 411.176µs
0 	 283 	 444.619µs
0 	 284 	 413.049µs
0 	 285 	 407.711µs
0 	 286 	 443.971µs
0 	 287 	 417.841µs
0 	 288 	 436.689µs
0 	 289 	 420.776µs
0 	 290 	 416.124µs
0 	 291 	 402.459µs
0 	 292 	 401.604µs
0 	 293 	 403.361µs
0 	 294 	 385.622µs
0 	 295 	 399.786µs
0 	 296 	 359.757µs
0 	 297 	 402.018µs
0 	 298 	 367.434µs
0 	 299 	 357.327µs
0 	 300 	 318.484µs
0 	 301 	 372.529µs
0 	 302 	 345.859µs
0 	 303 	 366.895µs
0 	 304 	 348.097µs
0 	 305 	 365.926µs
0 	 306 	 384.26µs
0 	 307 	 375.649µs
0 	 308 	 418.086µs
0 	 309 	 386.661µs
0 	 310 	 406.173µs
0 	 311 	 376.858µs
0 	 312 	 355.227µs
0 	 313 	 399.946µs
0 	 314 	 394.956µs
0 	 315 	 393.216µs
0 	 316 	 372.537µs
0 	 317 	 339.986µs
0 	 318 	 341.986µs
0 	 319 	 368.336µs
0 	 320 	 366.276µs
0 	 321 	 349.585µs
0 	 322 	 384.186µs
0 	 323 	 417.149µs
0 	 324 	 375.901µs
0 	 325 	 375.321µs
0 	 326 	 396.832µs
0 	 327 	 414.349µs
0 	 328 	 457.854µs
