ConnID	RqstID	Latency
0 	 0 	 325.018µs
0 	 1 	 363.895µs
0 	 2 	 399.826µs
0 	 3 	 412.379µs
0 	 4 	 431.742µs
0 	 5 	 380.008µs
0 	 6 	 317.733µs
0 	 7 	 303.959µs
0 	 8 	 276.266µs
0 	 9 	 270.921µs
0 	 10 	 293.234µs
0 	 11 	 363.345µs
0 	 12 	 349.716µs
0 	 13 	 340.34µs
0 	 14 	 342.285µs
0 	 15 	 345.707µs
0 	 16 	 313.888µs
0 	 17 	 296.224µs
0 	 18 	 300.056µs
0 	 19 	 300.796µs
0 	 20 	 336.812µs
0 	 21 	 355.358µs
0 	 22 	 329.896µs
0 	 23 	 368.709µs
0 	 24 	 381.757µs
0 	 25 	 324.85µs
0 	 26 	 341.239µs
0 	 27 	 380.172µs
0 	 28 	 334.27µs
0 	 29 	 341.841µs
0 	 30 	 359.217µs
0 	 31 	 355.699µs
0 	 32 	 317.895µs
0 	 33 	 337.375µs
0 	 34 	 336.351µs
0 	 35 	 336.485µs
0 	 36 	 343.556µs
0 	 37 	 329.782µs
0 	 38 	 339.109µs
0 	 39 	 342.572µs
0 	 40 	 313.11µs
0 	 41 	 314.449µs
0 	 42 	 353.903µs
0 	 43 	 360.679µs
0 	 44 	 367.225µs
0 	 45 	 352.931µs
0 	 46 	 340.803µs
0 	 47 	 309.164µs
0 	 48 	 279.524µs
0 	 49 	 413.262µs
0 	 50 	 356.685µs
0 	 51 	 339.952µs
0 	 52 	 334.498µs
0 	 53 	 361.23µs
0 	 54 	 282.398µs
0 	 55 	 343.338µs
0 	 56 	 344.074µs
0 	 57 	 330.48µs
0 	 58 	 335.56µs
0 	 59 	 350.392µs
0 	 60 	 350.445µs
0 	 61 	 316.399µs
0 	 62 	 287.526µs
0 	 63 	 292.094µs
0 	 64 	 268.326µs
0 	 65 	 274.985µs
0 	 66 	 276.605µs
0 	 67 	 265.875µs
0 	 68 	 276.95µs
0 	 69 	 225.955µs
0 	 70 	 275.498µs
0 	 71 	 271.527µs
0 	 72 	 308.979µs
0 	 73 	 278.57µs
0 	 74 	 274.26µs
0 	 75 	 277.855µs
0 	 76 	 275.782µs
0 	 77 	 271.103µs
0 	 78 	 277.231µs
0 	 79 	 273.109µs
0 	 80 	 275.106µs
0 	 81 	 276.003µs
0 	 82 	 269.319µs
0 	 83 	 276.076µs
0 	 84 	 289.272µs
0 	 85 	 239.543µs
0 	 86 	 287.306µs
0 	 87 	 356.771µs
0 	 88 	 258.129µs
0 	 89 	 263.575µs
0 	 90 	 259.906µs
0 	 91 	 259.835µs
0 	 92 	 259.953µs
0 	 93 	 281.007µs
0 	 94 	 262.528µs
0 	 95 	 199.488µs
0 	 96 	 191.491µs
0 	 97 	 188.582µs
0 	 98 	 212.48µs
0 	 99 	 231.978µs
0 	 100 	 215.935µs
0 	 101 	 202.81µs
0 	 102 	 213.209µs
0 	 103 	 185.154µs
0 	 104 	 204.707µs
0 	 105 	 198.519µs
0 	 106 	 203.025µs
0 	 107 	 203.038µs
0 	 108 	 196.316µs
0 	 109 	 194.775µs
0 	 110 	 200.041µs
0 	 111 	 198.246µs
0 	 112 	 198.413µs
0 	 113 	 194.001µs
0 	 114 	 198.763µs
0 	 115 	 197.889µs
0 	 116 	 198.133µs
0 	 117 	 195.353µs
0 	 118 	 193.705µs
0 	 119 	 185.495µs
0 	 120 	 176.548µs
0 	 121 	 172.296µs
0 	 122 	 196.735µs
0 	 123 	 200.4µs
0 	 124 	 198.364µs
0 	 125 	 184.322µs
0 	 126 	 200.735µs
0 	 127 	 207.563µs
0 	 128 	 195.652µs
0 	 129 	 193.718µs
0 	 130 	 194.09µs
0 	 131 	 184.992µs
0 	 132 	 198.103µs
0 	 133 	 204.516µs
0 	 134 	 194.787µs
0 	 135 	 195.527µs
0 	 136 	 199.46µs
0 	 137 	 197.173µs
0 	 138 	 197.437µs
0 	 139 	 197.288µs
0 	 140 	 197.171µs
0 	 141 	 182.534µs
0 	 142 	 197.447µs
0 	 143 	 191.833µs
0 	 144 	 177.784µs
0 	 145 	 264.58µs
0 	 146 	 202.802µs
0 	 147 	 197.662µs
0 	 148 	 198.631µs
0 	 149 	 244.315µs
0 	 150 	 185.784µs
0 	 151 	 201.015µs
0 	 152 	 231.208µs
0 	 153 	 212.538µs
0 	 154 	 209.524µs
0 	 155 	 240.004µs
0 	 156 	 212.175µs
0 	 157 	 178.247µs
0 	 158 	 226.512µs
0 	 159 	 264.027µs
0 	 160 	 251.216µs
0 	 161 	 242.394µs
0 	 162 	 197.622µs
0 	 163 	 188.14µs
0 	 164 	 198.031µs
0 	 165 	 221.729µs
0 	 166 	 201.307µs
0 	 167 	 233.37µs
0 	 168 	 228.042µs
0 	 169 	 227.29µs
0 	 170 	 215.091µs
0 	 171 	 204.834µs
0 	 172 	 197.334µs
0 	 173 	 197.657µs
0 	 174 	 198.001µs
0 	 175 	 194.793µs
0 	 176 	 170.22µs
0 	 177 	 196.944µs
0 	 178 	 193.7µs
0 	 179 	 183.133µs
0 	 180 	 179.083µs
0 	 181 	 183.134µs
0 	 182 	 205.783µs
0 	 183 	 184.534µs
0 	 184 	 204.758µs
0 	 185 	 227.176µs
0 	 186 	 225.877µs
0 	 187 	 209.245µs
0 	 188 	 214.9µs
0 	 189 	 209.687µs
0 	 190 	 203.8µs
0 	 191 	 226.282µs
0 	 192 	 187.03µs
0 	 193 	 185.498µs
0 	 194 	 216.073µs
0 	 195 	 207.557µs
0 	 196 	 211.556µs
0 	 197 	 209.985µs
0 	 198 	 185.81µs
0 	 199 	 225.617µs
0 	 200 	 230.288µs
0 	 201 	 227.746µs
0 	 202 	 418.27µs
0 	 203 	 219.552µs
0 	 204 	 215.226µs
0 	 205 	 181.84µs
0 	 206 	 185.521µs
0 	 207 	 207.746µs
0 	 208 	 228.944µs
0 	 209 	 229.626µs
0 	 210 	 225.802µs
0 	 211 	 209.492µs
0 	 212 	 212.408µs
0 	 213 	 203.106µs
0 	 214 	 195.974µs
