10ms	1000 	 194.109µs 	 317.318µs 	 6.925833ms 	 257.149µs 	 99.99255791388768 	 102392.37930382098 	 204784.75860764197
3ms	1000 	 170.136µs 	 329.011µs 	 6.805021ms 	 256.315µs 	 333.2634566513234 	 341261.77961095516 	 682523.5592219103
1ms	1000 	 133.158µs 	 247.35µs 	 9.222017ms 	 538.763µs 	 999.3714193621353 	 1.0233563334268265e+06 	 2.046712666853653e+06
300us	1000 	 136.441µs 	 204.704µs 	 598.41µs 	 24.774µs 	 3323.6987505013217 	 3.4034675205133534e+06 	 6.806935041026707e+06
100us	1000 	 88.863µs 	 150.952µs 	 1.079604ms 	 48.858µs 	 9460.023558107465 	 9.687064123502044e+06 	 1.9374128247004088e+07
30us	1000 	 84.576µs 	 149.767µs 	 471.593µs 	 39.251µs 	 11000.627530797496 	 1.1264642591536636e+07 	 2.252928518307327e+07
10us	1000 	 77.979µs 	 122.187µs 	 473.837µs 	 36.914µs 	 15261.632920245698 	 1.5627912110331595e+07 	 3.125582422066319e+07
3us	1000 	 80.686µs 	 130.272µs 	 509.127µs 	 45.13µs 	 15683.952792745016 	 1.6060367659770897e+07 	 3.2120735319541793e+07
1us	1000 	 88.162µs 	 168.818µs 	 1.187254ms 	 110.283µs 	 14103.338176936786 	 1.4441818293183269e+07 	 2.8883636586366538e+07
300ns	1000 	 80.71µs 	 195.674µs 	 2.771469ms 	 346.818µs 	 15931.423506146262 	 1.6313777670293773e+07 	 3.2627555340587545e+07
100ns	1000 	 79.498µs 	 122.96µs 	 446.263µs 	 33.1µs 	 16164.774660616515 	 1.6552729252471311e+07 	 3.3105458504942622e+07
30ns	1000 	 78.806µs 	 132.383µs 	 386.784µs 	 38.387µs 	 14662.991378102417 	 1.5014903171176875e+07 	 3.002980634235375e+07
10ns	1000 	 82.167µs 	 135.826µs 	 1.117387ms 	 50.211µs 	 14543.098246234695 	 1.4892132604144327e+07 	 2.9784265208288655e+07
3ns	1000 	 85.397µs 	 146.538µs 	 457.573µs 	 41.275µs 	 13779.577604961969 	 1.4110287467481056e+07 	 2.8220574934962112e+07
1ns	1000 	 81.657µs 	 145.676µs 	 1.791496ms 	 101.39µs 	 13883.158422428385 	 1.4216354224566666e+07 	 2.8432708449133333e+07
0ns	1000 	 5.628195ms 	 7.23188ms 	 9.203003ms 	 1.07155ms 	 57803.3913596531 	 5.919067275228477e+07 	 1.1838134550456955e+08
