ConnID	RqstID	Latency
0 	 0 	 222.068µs
0 	 1 	 206.686µs
0 	 2 	 226.765µs
0 	 3 	 218.583µs
0 	 4 	 246.12µs
0 	 5 	 249.33µs
0 	 6 	 268.813µs
0 	 7 	 225.315µs
0 	 8 	 195.168µs
0 	 9 	 238.646µs
0 	 10 	 621.987µs
0 	 11 	 223.193µs
0 	 12 	 254.168µs
0 	 13 	 218.14µs
0 	 14 	 204.529µs
0 	 15 	 198.196µs
0 	 16 	 211.798µs
0 	 17 	 225.152µs
0 	 18 	 251.035µs
0 	 19 	 258.653µs
0 	 20 	 216.887µs
0 	 21 	 212.721µs
0 	 22 	 214.881µs
0 	 23 	 225.141µs
0 	 24 	 210.533µs
0 	 25 	 228.121µs
0 	 26 	 204.526µs
0 	 27 	 202.086µs
0 	 28 	 211.203µs
0 	 29 	 235.821µs
0 	 30 	 207.736µs
0 	 31 	 244.027µs
0 	 32 	 207.118µs
0 	 33 	 240.14µs
0 	 34 	 210.541µs
0 	 35 	 261µs
0 	 36 	 213.201µs
0 	 37 	 198.636µs
0 	 38 	 253.575µs
0 	 39 	 255.448µs
0 	 40 	 247.731µs
0 	 41 	 201.803µs
0 	 42 	 214.878µs
0 	 43 	 227.081µs
0 	 44 	 218.071µs
0 	 45 	 213.185µs
0 	 46 	 202.931µs
0 	 47 	 251.435µs
0 	 48 	 284.103µs
0 	 49 	 287.709µs
0 	 50 	 236.71µs
0 	 51 	 256.815µs
0 	 52 	 279.877µs
0 	 53 	 304.21µs
0 	 54 	 299.675µs
0 	 55 	 263.925µs
0 	 56 	 247.348µs
0 	 57 	 250.173µs
0 	 58 	 218.2µs
0 	 59 	 217.77µs
0 	 60 	 206.004µs
0 	 61 	 200.036µs
0 	 62 	 253.73µs
0 	 63 	 287.332µs
0 	 64 	 267.572µs
0 	 65 	 222.358µs
0 	 66 	 199.901µs
0 	 67 	 213.275µs
0 	 68 	 209.681µs
0 	 69 	 213.438µs
0 	 70 	 215.998µs
0 	 71 	 251.356µs
0 	 72 	 244.175µs
0 	 73 	 216.733µs
0 	 74 	 220.867µs
0 	 75 	 215.998µs
0 	 76 	 205.331µs
0 	 77 	 214.408µs
0 	 78 	 211.108µs
0 	 79 	 213.278µs
0 	 80 	 218.748µs
0 	 81 	 197.683µs
0 	 82 	 207.108µs
0 	 83 	 217.241µs
0 	 84 	 231.302µs
0 	 85 	 234.843µs
0 	 86 	 213.988µs
0 	 87 	 212.448µs
0 	 88 	 242.816µs
0 	 89 	 201.981µs
0 	 90 	 212.143µs
0 	 91 	 219.65µs
0 	 92 	 216.573µs
0 	 93 	 242.03µs
0 	 94 	 202.625µs
0 	 95 	 221.98µs
0 	 96 	 196.506µs
0 	 97 	 233.953µs
0 	 98 	 244.877µs
0 	 99 	 248.955µs
0 	 100 	 251.897µs
0 	 101 	 183.306µs
0 	 102 	 220.878µs
0 	 103 	 215.02µs
0 	 104 	 226.362µs
0 	 105 	 219.67µs
0 	 106 	 220.505µs
0 	 107 	 212.443µs
0 	 108 	 198.881µs
0 	 109 	 222.571µs
0 	 110 	 215.503µs
0 	 111 	 200.653µs
0 	 112 	 192.158µs
0 	 113 	 253.197µs
0 	 114 	 252.832µs
0 	 115 	 255.965µs
0 	 116 	 215.511µs
0 	 117 	 204.261µs
0 	 118 	 181.861µs
0 	 119 	 207.858µs
0 	 120 	 207.518µs
0 	 121 	 206.758µs
0 	 122 	 231.016µs
0 	 123 	 225.803µs
0 	 124 	 226.611µs
0 	 125 	 257.147µs
0 	 126 	 238.631µs
0 	 127 	 248.6µs
0 	 128 	 231.69µs
0 	 129 	 245.855µs
0 	 130 	 232.308µs
0 	 131 	 203.468µs
0 	 132 	 219.343µs
0 	 133 	 212.936µs
0 	 134 	 217.76µs
0 	 135 	 254.967µs
0 	 136 	 229.483µs
0 	 137 	 229.408µs
0 	 138 	 264.993µs
0 	 139 	 257.35µs
0 	 140 	 288.083µs
0 	 141 	 226.441µs
0 	 142 	 227.042µs
0 	 143 	 236.822µs
0 	 144 	 231.345µs
0 	 145 	 221.608µs
0 	 146 	 205.778µs
0 	 147 	 210.896µs
0 	 148 	 214.721µs
0 	 149 	 212.013µs
0 	 150 	 242.113µs
0 	 151 	 271.462µs
0 	 152 	 276.562µs
0 	 153 	 330.829µs
0 	 154 	 341.129µs
0 	 155 	 342.237µs
0 	 156 	 282.485µs
0 	 157 	 249.965µs
0 	 158 	 207.423µs
0 	 159 	 230.715µs
0 	 160 	 216.546µs
0 	 161 	 199.458µs
0 	 162 	 312.882µs
0 	 163 	 313.307µs
0 	 164 	 276.043µs
0 	 165 	 291.787µs
0 	 166 	 274.882µs
0 	 167 	 261.205µs
0 	 168 	 212.76µs
0 	 169 	 217.253µs
0 	 170 	 208.298µs
0 	 171 	 218.293µs
0 	 172 	 211.778µs
0 	 173 	 206.998µs
0 	 174 	 218.445µs
0 	 175 	 251.84µs
0 	 176 	 221.026µs
0 	 177 	 227.968µs
0 	 178 	 226.905µs
0 	 179 	 214.808µs
0 	 180 	 198.801µs
0 	 181 	 207.038µs
0 	 182 	 207.806µs
0 	 183 	 264.097µs
0 	 184 	 263.568µs
0 	 185 	 236.48µs
0 	 186 	 230.372µs
0 	 187 	 219.891µs
0 	 188 	 206.513µs
0 	 189 	 207.966µs
0 	 190 	 211.94µs
0 	 191 	 222.607µs
0 	 192 	 208.733µs
0 	 193 	 201.748µs
0 	 194 	 219.535µs
0 	 195 	 212.123µs
0 	 196 	 199.516µs
0 	 197 	 221.905µs
0 	 198 	 226.428µs
0 	 199 	 217.345µs
0 	 200 	 218.946µs
0 	 201 	 187.988µs
0 	 202 	 219.241µs
0 	 203 	 250.563µs
0 	 204 	 259.151µs
0 	 205 	 245.417µs
0 	 206 	 246.395µs
0 	 207 	 252.673µs
0 	 208 	 205.423µs
0 	 209 	 227.993µs
0 	 210 	 217.198µs
0 	 211 	 203.078µs
0 	 212 	 225.538µs
0 	 213 	 214.998µs
0 	 214 	 215.621µs
0 	 215 	 221.066µs
0 	 216 	 222.343µs
0 	 217 	 232.075µs
0 	 218 	 191.151µs
0 	 219 	 234.783µs
0 	 220 	 208.911µs
0 	 221 	 199.888µs
0 	 222 	 207.373µs
0 	 223 	 219.573µs
0 	 224 	 207.758µs
0 	 225 	 218.663µs
0 	 226 	 224.168µs
0 	 227 	 212.886µs
0 	 228 	 246.666µs
0 	 229 	 201.391µs
0 	 230 	 197.223µs
0 	 231 	 219.181µs
0 	 232 	 210.954µs
0 	 233 	 205.62µs
0 	 234 	 236.38µs
0 	 235 	 206.37µs
0 	 236 	 257.288µs
0 	 237 	 267.543µs
0 	 238 	 306.483µs
0 	 239 	 294.409µs
0 	 240 	 290.812µs
0 	 241 	 249.858µs
0 	 242 	 254.717µs
0 	 243 	 243.6µs
0 	 244 	 204.618µs
0 	 245 	 213.01µs
0 	 246 	 204.108µs
0 	 247 	 218.255µs
0 	 248 	 222.775µs
0 	 249 	 261.258µs
0 	 250 	 287.945µs
0 	 251 	 314.38µs
0 	 252 	 277.093µs
0 	 253 	 259.22µs
0 	 254 	 283.455µs
0 	 255 	 358.245µs
0 	 256 	 301.31µs
0 	 257 	 278.56µs
0 	 258 	 250.126µs
0 	 259 	 209.18µs
0 	 260 	 197.075µs
0 	 261 	 223.095µs
0 	 262 	 277.888µs
0 	 263 	 305.76µs
0 	 264 	 305.432µs
0 	 265 	 239.418µs
0 	 266 	 247.478µs
0 	 267 	 225.213µs
0 	 268 	 191.493µs
0 	 269 	 242.533µs
0 	 270 	 244.67µs
0 	 271 	 247.205µs
0 	 272 	 246.262µs
0 	 273 	 243.48µs
0 	 274 	 246.138µs
0 	 275 	 230.962µs
0 	 276 	 203.731µs
0 	 277 	 207.469µs
0 	 278 	 209.773µs
0 	 279 	 210.748µs
0 	 280 	 195.178µs
0 	 281 	 209.536µs
0 	 282 	 197.128µs
0 	 283 	 207.06µs
0 	 284 	 193.451µs
0 	 285 	 255.317µs
0 	 286 	 226.473µs
0 	 287 	 233.397µs
0 	 288 	 234.985µs
0 	 289 	 239.465µs
0 	 290 	 236.395µs
0 	 291 	 243.005µs
0 	 292 	 222.623µs
0 	 293 	 198.903µs
0 	 294 	 226.453µs
0 	 295 	 195.473µs
0 	 296 	 195.974µs
0 	 297 	 230.278µs
0 	 298 	 225.238µs
0 	 299 	 223.965µs
0 	 300 	 258.718µs
0 	 301 	 191.379µs
0 	 302 	 251.306µs
0 	 303 	 247.308µs
0 	 304 	 242.38µs
0 	 305 	 257.78µs
0 	 306 	 281.015µs
0 	 307 	 275.172µs
0 	 308 	 244.652µs
0 	 309 	 220.635µs
0 	 310 	 204.436µs
0 	 311 	 215.603µs
0 	 312 	 209.901µs
0 	 313 	 199.024µs
0 	 314 	 203.546µs
0 	 315 	 199.108µs
0 	 316 	 196.916µs
0 	 317 	 204.716µs
0 	 318 	 201.826µs
0 	 319 	 217.033µs
0 	 320 	 205.69µs
0 	 321 	 215.258µs
0 	 322 	 201.873µs
0 	 323 	 197.833µs
0 	 324 	 198.745µs
0 	 325 	 199.199µs
0 	 326 	 175.675µs
0 	 327 	 174.034µs
0 	 328 	 172.807µs
0 	 329 	 173.707µs
0 	 330 	 177.245µs
0 	 331 	 174.307µs
0 	 332 	 172.15µs
0 	 333 	 168.811µs
0 	 334 	 172.034µs
0 	 335 	 173.504µs
0 	 336 	 267.479µs
0 	 337 	 220.686µs
0 	 338 	 229.398µs
0 	 339 	 226.304µs
0 	 340 	 220.264µs
0 	 341 	 222.605µs
0 	 342 	 222.202µs
0 	 343 	 171.384µs
0 	 344 	 175.214µs
0 	 345 	 175.603µs
0 	 346 	 176.399µs
0 	 347 	 176.533µs
0 	 348 	 175.059µs
0 	 349 	 216.608µs
0 	 350 	 224.566µs
0 	 351 	 230.258µs
0 	 352 	 215.858µs
0 	 353 	 262.655µs
0 	 354 	 261.597µs
0 	 355 	 262.69µs
0 	 356 	 234.041µs
0 	 357 	 223.831µs
0 	 358 	 220.315µs
0 	 359 	 171.244µs
