16	1000 	 186.875µs 	 285.416µs 	 919.279µs 	 39.84µs 	 999.5016994272522 	 127936.21752668828 	 2.0469794804270125e+06
32	1000 	 176.767µs 	 327.226µs 	 9.033855ms 	 514.924µs 	 999.3633905297818 	 255837.02797562414 	 2.046696223804993e+06
64	1000 	 180.794µs 	 296.513µs 	 4.003709ms 	 166.754µs 	 999.4414941031482 	 511714.0449808119 	 2.0468561799232475e+06
128	1000 	 199.243µs 	 288.428µs 	 489.848µs 	 37.445µs 	 999.4455316057579 	 1.0234322243642961e+06 	 2.0468644487285921e+06
256	1000 	 210.045µs 	 313.286µs 	 1.581181ms 	 53.659µs 	 999.5315585402429 	 2.0470406318904175e+06 	 2.0470406318904175e+06
512	1000 	 181.798µs 	 277.077µs 	 1.0578ms 	 42.55µs 	 999.357656869901 	 4.0933689625391145e+06 	 2.0466844812695573e+06
1024	1000 	 223.395µs 	 310.345µs 	 862.322µs 	 39.195µs 	 999.4245952812112 	 8.187286284543682e+06 	 2.0468215711359205e+06
2048	1000 	 211.337µs 	 294.143µs 	 1.021974ms 	 46.592µs 	 999.4335560406106 	 1.6374719382169364e+07 	 2.0468399227711705e+06
4096	1000 	 221.027µs 	 347.854µs 	 678.684µs 	 45.571µs 	 999.4419485952566 	 3.2749713771569367e+07 	 2.0468571107230855e+06
8192	1000 	 247.545µs 	 389.174µs 	 1.491211ms 	 62.305µs 	 999.4692618325818 	 6.550121754346008e+07 	 2.0469130482331275e+06
16384	1000 	 244.621µs 	 427.354µs 	 1.816083ms 	 74.33µs 	 999.3921946520176 	 1.3099233373742925e+08 	 2.046755214647332e+06
32768	1000 	 304.771µs 	 404.454µs 	 1.205002ms 	 53.475µs 	 999.2637245010405 	 2.6195098979560077e+08 	 2.046492107778131e+06
65536	1000 	 490.563µs 	 602.604µs 	 1.364917ms 	 65.515µs 	 999.342096122465 	 5.2394306889185494e+08 	 2.0466526128588084e+06
131072	1000 	 673.694µs 	 868.515µs 	 2.905188ms 	 194.452µs 	 999.3579425026802 	 1.0479027539176904e+09 	 2.046685066245489e+06
262144	1000 	 953.32µs 	 1.596187ms 	 6.357348ms 	 898.132µs 	 997.0899550766903 	 2.0910491934689913e+09 	 2.0420402279970618e+06
