ConnID	RqstID	Latency
0 	 0 	 168.492µs
0 	 1 	 195.934µs
0 	 2 	 201.25µs
0 	 3 	 215.016µs
0 	 4 	 286.415µs
0 	 5 	 268.502µs
0 	 6 	 270.485µs
0 	 7 	 239.513µs
0 	 8 	 195.011µs
0 	 9 	 221.998µs
0 	 10 	 211.033µs
0 	 11 	 190.268µs
0 	 12 	 183.024µs
0 	 13 	 179.07µs
0 	 14 	 142.537µs
0 	 15 	 159.45µs
0 	 16 	 149.863µs
0 	 17 	 162.527µs
0 	 18 	 159.025µs
0 	 19 	 153.65µs
0 	 20 	 153.335µs
0 	 21 	 141.654µs
0 	 22 	 283.688µs
0 	 23 	 146.511µs
0 	 24 	 232.258µs
0 	 25 	 218.713µs
0 	 26 	 235.601µs
0 	 27 	 193.7µs
0 	 28 	 241.763µs
0 	 29 	 208.713µs
0 	 30 	 190.911µs
0 	 31 	 206.638µs
0 	 32 	 251.013µs
0 	 33 	 242.19µs
0 	 34 	 178.668µs
0 	 35 	 229.727µs
0 	 36 	 189.853µs
0 	 37 	 184.743µs
0 	 38 	 197.102µs
0 	 39 	 168.177µs
0 	 40 	 165.193µs
0 	 41 	 200.288µs
0 	 42 	 167.991µs
0 	 43 	 169.987µs
0 	 44 	 203.615µs
0 	 45 	 185.752µs
0 	 46 	 174.405µs
0 	 47 	 158.684µs
0 	 48 	 149.346µs
0 	 49 	 139.991µs
0 	 50 	 158.812µs
0 	 51 	 140.482µs
0 	 52 	 150.034µs
0 	 53 	 165.931µs
0 	 54 	 173.048µs
0 	 55 	 162.339µs
0 	 56 	 158.268µs
0 	 57 	 153.355µs
0 	 58 	 157.594µs
0 	 59 	 147.578µs
0 	 60 	 148.372µs
0 	 61 	 176.665µs
0 	 62 	 179.75µs
0 	 63 	 185.544µs
0 	 64 	 166.538µs
0 	 65 	 147.774µs
0 	 66 	 212.25µs
0 	 67 	 151.389µs
0 	 68 	 140.545µs
0 	 69 	 147.54µs
0 	 70 	 150.667µs
0 	 71 	 145.463µs
0 	 72 	 150.588µs
0 	 73 	 121.314µs
0 	 74 	 156.676µs
0 	 75 	 143.886µs
0 	 76 	 146.483µs
0 	 77 	 151.823µs
0 	 78 	 158.583µs
0 	 79 	 147.308µs
0 	 80 	 149.569µs
0 	 81 	 154.291µs
0 	 82 	 139.135µs
0 	 83 	 159.935µs
0 	 84 	 141.493µs
0 	 85 	 150.832µs
0 	 86 	 147.323µs
0 	 87 	 148.815µs
0 	 88 	 139.626µs
0 	 89 	 144.224µs
0 	 90 	 147.297µs
0 	 91 	 146.85µs
0 	 92 	 159.383µs
0 	 93 	 147.374µs
0 	 94 	 192.169µs
0 	 95 	 192.468µs
0 	 96 	 186.593µs
0 	 97 	 175.516µs
0 	 98 	 188.625µs
0 	 99 	 187.841µs
0 	 100 	 164.134µs
0 	 101 	 142.447µs
0 	 102 	 161.655µs
0 	 103 	 138.091µs
0 	 104 	 143.861µs
0 	 105 	 169.435µs
0 	 106 	 160.556µs
0 	 107 	 152.12µs
0 	 108 	 136.746µs
0 	 109 	 144.77µs
0 	 110 	 155.089µs
0 	 111 	 150.584µs
0 	 112 	 148.079µs
0 	 113 	 154.948µs
0 	 114 	 149.216µs
0 	 115 	 149.541µs
0 	 116 	 149.167µs
0 	 117 	 278.928µs
0 	 118 	 155.137µs
0 	 119 	 141.449µs
0 	 120 	 179.696µs
0 	 121 	 192.468µs
0 	 122 	 195.946µs
0 	 123 	 191.666µs
0 	 124 	 161.496µs
0 	 125 	 144.91µs
0 	 126 	 150.391µs
0 	 127 	 159.497µs
0 	 128 	 146.046µs
0 	 129 	 150.867µs
0 	 130 	 148.812µs
0 	 131 	 147.779µs
0 	 132 	 162.567µs
0 	 133 	 193.213µs
0 	 134 	 161.313µs
0 	 135 	 154.385µs
0 	 136 	 153.775µs
0 	 137 	 153.241µs
0 	 138 	 148.772µs
0 	 139 	 180.88µs
0 	 140 	 163.207µs
0 	 141 	 154.279µs
0 	 142 	 148.429µs
0 	 143 	 152.215µs
0 	 144 	 143.289µs
0 	 145 	 153.069µs
0 	 146 	 153.498µs
0 	 147 	 164.534µs
0 	 148 	 163.158µs
0 	 149 	 144.557µs
0 	 150 	 144.523µs
0 	 151 	 155.595µs
0 	 152 	 129.892µs
0 	 153 	 145.588µs
0 	 154 	 147.042µs
0 	 155 	 153.157µs
0 	 156 	 147.002µs
0 	 157 	 145.328µs
0 	 158 	 169.637µs
0 	 159 	 209.021µs
0 	 160 	 193.375µs
0 	 161 	 181.813µs
0 	 162 	 159.055µs
0 	 163 	 143.815µs
0 	 164 	 170.764µs
0 	 165 	 164.101µs
0 	 166 	 148.334µs
0 	 167 	 155.682µs
0 	 168 	 146.582µs
0 	 169 	 152.645µs
0 	 170 	 146.25µs
0 	 171 	 155.91µs
0 	 172 	 146.764µs
0 	 173 	 147.119µs
0 	 174 	 148.361µs
0 	 175 	 144.243µs
0 	 176 	 152.647µs
0 	 177 	 149.364µs
0 	 178 	 150.386µs
0 	 179 	 144.944µs
0 	 180 	 161.927µs
0 	 181 	 137.755µs
0 	 182 	 149.301µs
0 	 183 	 163.536µs
0 	 184 	 160.999µs
0 	 185 	 143.795µs
0 	 186 	 160.353µs
0 	 187 	 140.836µs
0 	 188 	 146.816µs
0 	 189 	 149.151µs
0 	 190 	 143.973µs
0 	 191 	 156.169µs
0 	 192 	 152.568µs
0 	 193 	 148.012µs
0 	 194 	 170.041µs
0 	 195 	 150.591µs
0 	 196 	 144.142µs
0 	 197 	 152.107µs
0 	 198 	 147.643µs
0 	 199 	 147.305µs
0 	 200 	 149.847µs
0 	 201 	 149.81µs
0 	 202 	 126.732µs
0 	 203 	 156.853µs
0 	 204 	 150.349µs
0 	 205 	 146.833µs
0 	 206 	 126.394µs
0 	 207 	 129.464µs
0 	 208 	 130.694µs
0 	 209 	 129.451µs
0 	 210 	 124.996µs
0 	 211 	 127.83µs
0 	 212 	 132.767µs
0 	 213 	 129.354µs
0 	 214 	 135.4µs
0 	 215 	 133.189µs
0 	 216 	 129.321µs
0 	 217 	 128.731µs
0 	 218 	 127.621µs
0 	 219 	 126.409µs
0 	 220 	 131.249µs
0 	 221 	 115.762µs
0 	 222 	 112.166µs
0 	 223 	 123.502µs
0 	 224 	 97.592µs
0 	 225 	 112.053µs
0 	 226 	 100.797µs
0 	 227 	 111.126µs
0 	 228 	 100.112µs
0 	 229 	 112.971µs
0 	 230 	 110.545µs
0 	 231 	 113.643µs
0 	 232 	 102.346µs
0 	 233 	 111.926µs
0 	 234 	 110.491µs
0 	 235 	 111.363µs
0 	 236 	 110.935µs
0 	 237 	 93.356µs
0 	 238 	 90.58µs
0 	 239 	 111.685µs
0 	 240 	 101.59µs
0 	 241 	 112.023µs
0 	 242 	 127.736µs
0 	 243 	 127.713µs
0 	 244 	 128.664µs
0 	 245 	 125.66µs
0 	 246 	 129.147µs
0 	 247 	 125.621µs
0 	 248 	 133.113µs
0 	 249 	 130.378µs
0 	 250 	 134.191µs
0 	 251 	 131.432µs
0 	 252 	 127.853µs
0 	 253 	 126.904µs
0 	 254 	 127.947µs
0 	 255 	 137.996µs
0 	 256 	 120.662µs
0 	 257 	 131.38µs
0 	 258 	 152.756µs
0 	 259 	 157.824µs
0 	 260 	 156.956µs
0 	 261 	 189.655µs
0 	 262 	 179.05µs
0 	 263 	 187.302µs
0 	 264 	 180.093µs
0 	 265 	 218.485µs
0 	 266 	 221.999µs
0 	 267 	 192.521µs
0 	 268 	 180.776µs
0 	 269 	 163.508µs
0 	 270 	 158.962µs
0 	 271 	 156.509µs
0 	 272 	 148.292µs
0 	 273 	 147.534µs
0 	 274 	 147.59µs
0 	 275 	 146.218µs
0 	 276 	 123.862µs
0 	 277 	 169.412µs
0 	 278 	 124.389µs
0 	 279 	 109.002µs
0 	 280 	 128.418µs
0 	 281 	 125.895µs
0 	 282 	 139.136µs
0 	 283 	 124.65µs
0 	 284 	 121.871µs
0 	 285 	 115.377µs
0 	 286 	 114.004µs
0 	 287 	 104.677µs
0 	 288 	 116.256µs
0 	 289 	 97.09µs
0 	 290 	 139.839µs
0 	 291 	 104.647µs
0 	 292 	 127.931µs
0 	 293 	 110.069µs
0 	 294 	 116.3µs
0 	 295 	 126.965µs
0 	 296 	 114.787µs
0 	 297 	 126.483µs
0 	 298 	 126.424µs
0 	 299 	 134.176µs
0 	 300 	 129.704µs
0 	 301 	 126.646µs
0 	 302 	 129.647µs
0 	 303 	 115.795µs
0 	 304 	 112.419µs
0 	 305 	 111.66µs
0 	 306 	 112.104µs
0 	 307 	 100.517µs
0 	 308 	 112.292µs
0 	 309 	 101.71µs
0 	 310 	 111.738µs
0 	 311 	 114.198µs
0 	 312 	 122.619µs
0 	 313 	 126.849µs
0 	 314 	 120.697µs
0 	 315 	 113.529µs
0 	 316 	 114.736µs
0 	 317 	 113.06µs
0 	 318 	 129.883µs
0 	 319 	 117.037µs
0 	 320 	 126.172µs
0 	 321 	 124.939µs
0 	 322 	 130.486µs
0 	 323 	 114.257µs
0 	 324 	 124.145µs
0 	 325 	 162.94µs
0 	 326 	 144.795µs
0 	 327 	 150.439µs
0 	 328 	 191.364µs
0 	 329 	 150.584µs
0 	 330 	 181.296µs
0 	 331 	 153.073µs
0 	 332 	 197.451µs
0 	 333 	 210.483µs
0 	 334 	 170.937µs
0 	 335 	 164.062µs
0 	 336 	 149.712µs
0 	 337 	 152.773µs
0 	 338 	 143.29µs
0 	 339 	 161.487µs
0 	 340 	 143.111µs
0 	 341 	 153.388µs
0 	 342 	 141.301µs
0 	 343 	 164.232µs
0 	 344 	 149.632µs
0 	 345 	 164.481µs
0 	 346 	 159.797µs
0 	 347 	 143.402µs
0 	 348 	 142.05µs
0 	 349 	 139.584µs
0 	 350 	 158.071µs
0 	 351 	 146.374µs
0 	 352 	 145.722µs
0 	 353 	 154.355µs
0 	 354 	 150.689µs
0 	 355 	 152.2µs
0 	 356 	 149.353µs
0 	 357 	 146.211µs
0 	 358 	 192.955µs
0 	 359 	 188.576µs
0 	 360 	 192.776µs
0 	 361 	 187.813µs
0 	 362 	 200.033µs
0 	 363 	 188.77µs
0 	 364 	 160.679µs
0 	 365 	 187.435µs
0 	 366 	 141.209µs
0 	 367 	 202.868µs
0 	 368 	 152.651µs
0 	 369 	 143.763µs
0 	 370 	 152.995µs
0 	 371 	 151.314µs
