ConnID	RqstID	Latency
0 	 0 	 297.686µs
0 	 1 	 461.089µs
0 	 2 	 465.799µs
0 	 3 	 442.294µs
0 	 4 	 455.925µs
0 	 5 	 455.181µs
0 	 6 	 437.583µs
0 	 7 	 475.278µs
0 	 8 	 435.74µs
0 	 9 	 377.851µs
0 	 10 	 376.531µs
0 	 11 	 380.869µs
0 	 12 	 334.595µs
0 	 13 	 309.555µs
0 	 14 	 308.085µs
0 	 15 	 314.197µs
0 	 16 	 308.987µs
0 	 17 	 267.265µs
0 	 18 	 352.017µs
0 	 19 	 339.392µs
0 	 20 	 337.912µs
0 	 21 	 341.962µs
0 	 22 	 327.27µs
0 	 23 	 377.359µs
0 	 24 	 334.982µs
0 	 25 	 386.634µs
0 	 26 	 347.009µs
0 	 27 	 339.124µs
0 	 28 	 334.532µs
0 	 29 	 338.354µs
0 	 30 	 382.036µs
0 	 31 	 353.552µs
0 	 32 	 337.694µs
0 	 33 	 333.817µs
0 	 34 	 342.26µs
0 	 35 	 374.084µs
0 	 36 	 347.945µs
0 	 37 	 366.466µs
0 	 38 	 382.216µs
0 	 39 	 335.452µs
0 	 40 	 334.995µs
0 	 41 	 377.096µs
0 	 42 	 333.792µs
0 	 43 	 349.504µs
0 	 44 	 336.367µs
0 	 45 	 334.265µs
0 	 46 	 340.137µs
0 	 47 	 345.842µs
0 	 48 	 338.086µs
0 	 49 	 336.102µs
0 	 50 	 247.455µs
0 	 51 	 356.232µs
0 	 52 	 331.569µs
0 	 53 	 333.466µs
0 	 54 	 330.767µs
0 	 55 	 336.524µs
0 	 56 	 342.297µs
0 	 57 	 376.884µs
0 	 58 	 334.717µs
0 	 59 	 332.97µs
0 	 60 	 332.007µs
0 	 61 	 335.329µs
0 	 62 	 333.332µs
0 	 63 	 347.494µs
0 	 64 	 384.009µs
0 	 65 	 332.24µs
0 	 66 	 335.907µs
0 	 67 	 325.892µs
0 	 68 	 337.045µs
0 	 69 	 330.594µs
0 	 70 	 339.537µs
0 	 71 	 336.857µs
0 	 72 	 319.605µs
0 	 73 	 326.099µs
0 	 74 	 326.204µs
0 	 75 	 367.801µs
0 	 76 	 329.312µs
0 	 77 	 335.975µs
0 	 78 	 331.335µs
0 	 79 	 324.012µs
0 	 80 	 333.732µs
0 	 81 	 330.887µs
0 	 82 	 339.327µs
0 	 83 	 343.827µs
0 	 84 	 329.279µs
0 	 85 	 331.012µs
0 	 86 	 339.412µs
0 	 87 	 326.23µs
0 	 88 	 327.442µs
0 	 89 	 331.967µs
0 	 90 	 339.202µs
0 	 91 	 327.299µs
0 	 92 	 333.14µs
0 	 93 	 329.685µs
0 	 94 	 327.582µs
0 	 95 	 366.516µs
0 	 96 	 377.171µs
0 	 97 	 287.87µs
0 	 98 	 316.899µs
0 	 99 	 373.969µs
0 	 100 	 349.162µs
0 	 101 	 326.94µs
0 	 102 	 328.042µs
0 	 103 	 322.13µs
0 	 104 	 327.799µs
0 	 105 	 329.892µs
0 	 106 	 330.342µs
0 	 107 	 336.122µs
0 	 108 	 326.992µs
0 	 109 	 336.922µs
0 	 110 	 332.874µs
0 	 111 	 333.025µs
0 	 112 	 343.337µs
0 	 113 	 328.767µs
0 	 114 	 335.364µs
0 	 115 	 333.47µs
0 	 116 	 284.902µs
0 	 117 	 282.624µs
0 	 118 	 267.927µs
0 	 119 	 298.567µs
0 	 120 	 262.263µs
0 	 121 	 215.082µs
0 	 122 	 161.971µs
0 	 123 	 173.535µs
0 	 124 	 169.056µs
0 	 125 	 171.931µs
0 	 126 	 164.741µs
0 	 127 	 181.536µs
0 	 128 	 170.321µs
0 	 129 	 156.723µs
0 	 130 	 158.539µs
0 	 131 	 173.749µs
0 	 132 	 173.038µs
0 	 133 	 171.1µs
0 	 134 	 160.072µs
0 	 135 	 136.622µs
0 	 136 	 156.362µs
0 	 137 	 139.409µs
0 	 138 	 138.231µs
0 	 139 	 138.39µs
0 	 140 	 153.576µs
0 	 141 	 163.194µs
0 	 142 	 153.174µs
0 	 143 	 161.114µs
0 	 144 	 139.762µs
0 	 145 	 137.793µs
0 	 146 	 139.234µs
0 	 147 	 141.493µs
0 	 148 	 140.383µs
0 	 149 	 138.538µs
0 	 150 	 138.589µs
0 	 151 	 139.402µs
0 	 152 	 142.489µs
0 	 153 	 136.259µs
0 	 154 	 138.975µs
0 	 155 	 136.141µs
0 	 156 	 137.388µs
0 	 157 	 138.677µs
0 	 158 	 137.366µs
0 	 159 	 145.718µs
0 	 160 	 140.399µs
0 	 161 	 159.605µs
0 	 162 	 137.737µs
0 	 163 	 136.989µs
0 	 164 	 137.498µs
0 	 165 	 139.765µs
0 	 166 	 139.715µs
0 	 167 	 139.653µs
0 	 168 	 137.73µs
0 	 169 	 139.271µs
0 	 170 	 139.554µs
0 	 171 	 139.697µs
0 	 172 	 139.126µs
0 	 173 	 137.494µs
0 	 174 	 140.48µs
0 	 175 	 139.31µs
0 	 176 	 138.556µs
0 	 177 	 137.296µs
0 	 178 	 138.345µs
0 	 179 	 138.006µs
0 	 180 	 139.52µs
0 	 181 	 139.133µs
