10ms	1000 	 227.547µs 	 485.079µs 	 1.827183ms 	 54.792µs 	 99.99252059945617 	 102392.34109384312 	 204784.68218768624
3ms	1000 	 326.2µs 	 434.188µs 	 753.046µs 	 42.512µs 	 333.2428057035453 	 341240.6330404304 	 682481.2660808607
1ms	1000 	 310.296µs 	 403.451µs 	 602.935µs 	 40.403µs 	 999.2166770758232 	 1.023197877325643e+06 	 2.046395754651286e+06
300us	1000 	 137.887µs 	 273.715µs 	 1.5901ms 	 90.293µs 	 3326.0190626392227 	 3.405843520142564e+06 	 6.811687040285128e+06
100us	1000 	 123.499µs 	 199.789µs 	 557.23µs 	 52.008µs 	 9101.93500948986 	 9.320381449717617e+06 	 1.8640762899435233e+07
30us	1000 	 93.944µs 	 205.737µs 	 1.932768ms 	 215.271µs 	 11273.38319505627 	 1.1543944391737621e+07 	 2.3087888783475243e+07
10us	1000 	 97.797µs 	 166.414µs 	 434.361µs 	 38.169µs 	 13315.852814392712 	 1.3635433281938137e+07 	 2.7270866563876275e+07
3us	1000 	 93.452µs 	 170.929µs 	 520.981µs 	 43.982µs 	 13752.916856136018 	 1.4082986860683283e+07 	 2.8165973721366566e+07
1us	1000 	 99.121µs 	 171.004µs 	 508.048µs 	 44.348µs 	 13813.830863316773 	 1.4145362804036375e+07 	 2.829072560807275e+07
300ns	1000 	 97.547µs 	 170.954µs 	 568.024µs 	 49.678µs 	 15575.29485357058 	 1.5949101930056274e+07 	 3.1898203860112548e+07
100ns	1000 	 95.099µs 	 156.578µs 	 384.601µs 	 44.091µs 	 15460.919541900375 	 1.5831981610905984e+07 	 3.166396322181197e+07
30ns	1000 	 93.648µs 	 149.677µs 	 465.391µs 	 41.448µs 	 15442.87422157297 	 1.5813503202890722e+07 	 3.1627006405781444e+07
10ns	1000 	 96.946µs 	 149.703µs 	 523.011µs 	 46.262µs 	 15577.426296692616 	 1.5951284527813239e+07 	 3.1902569055626478e+07
3ns	1000 	 95.587µs 	 151.917µs 	 558.998µs 	 47.494µs 	 15765.09503908719 	 1.6143457320025282e+07 	 3.2286914640050564e+07
1ns	1000 	 98.199µs 	 157.901µs 	 415.458µs 	 45.338µs 	 15332.890233249445 	 1.5700879598847432e+07 	 3.1401759197694864e+07
0ns	1000 	 1.510241ms 	 2.189725ms 	 3.206168ms 	 537.562µs 	 181746.2433505865 	 1.8610815319100058e+08 	 3.7221630638200116e+08
