16	1000 	 241.462µs 	 348.4µs 	 902.854µs 	 46.758µs 	 999.3177607681348 	 127912.67337832125 	 2.04660277405314e+06
32	1000 	 212.097µs 	 360.169µs 	 496.584µs 	 28.951µs 	 999.4257909055189 	 255853.00247181283 	 2.0468240197745026e+06
64	1000 	 305.63µs 	 400.101µs 	 1.7421ms 	 58.222µs 	 999.4391157676703 	 511712.8272730472 	 2.0468513090921887e+06
128	1000 	 249.982µs 	 360.839µs 	 3.877967ms 	 190.997µs 	 999.3035204218892 	 1.0232868049120145e+06 	 2.046573609824029e+06
256	1000 	 322.044µs 	 400.574µs 	 687.026µs 	 41.081µs 	 999.3440785153782 	 2.0466566727994946e+06 	 2.0466566727994946e+06
512	1000 	 297.229µs 	 381.815µs 	 1.147455ms 	 41.885µs 	 999.3193985338376 	 4.0932122563945986e+06 	 2.0466061281972993e+06
1024	1000 	 300.975µs 	 402.659µs 	 1.747653ms 	 57.755µs 	 999.2577133986942 	 8.185919188162103e+06 	 2.0464797970405258e+06
2048	1000 	 295.37µs 	 433.385µs 	 4.899723ms 	 207.765µs 	 999.2846431018273 	 1.6372279592580339e+07 	 2.0465349490725424e+06
4096	1000 	 326.229µs 	 442.46µs 	 1.458544ms 	 56.745µs 	 999.2089262930539 	 3.274207809677079e+07 	 2.0463798810481743e+06
8192	1000 	 277.639µs 	 464.626µs 	 1.521024ms 	 59.951µs 	 999.2714052373849 	 6.548825081363726e+07 	 2.0465078379261643e+06
16384	1000 	 268.225µs 	 486.151µs 	 1.594871ms 	 89.004µs 	 999.3796760406643 	 1.3099069289800195e+08 	 2.0467295765312805e+06
32768	1000 	 317.923µs 	 535.076µs 	 1.696249ms 	 126.505µs 	 999.3197370726616 	 2.619656731551758e+08 	 2.046606821524811e+06
65536	1000 	 433.875µs 	 610.799µs 	 1.802014ms 	 161.205µs 	 999.3146000952325 	 5.239286530547293e+08 	 2.0465963009950363e+06
131072	1000 	 687.982µs 	 933.372µs 	 2.988699ms 	 226.691µs 	 999.4663149717945 	 1.0480163906878644e+09 	 2.0469070130622352e+06
262144	1000 	 2.478324ms 	 25.979752ms 	 56.676823ms 	 15.322145ms 	 848.6727265214822 	 1.7797957057699795e+09 	 1.7380817439159956e+06
