16	1000 	 127.322µs 	 191.094µs 	 1.067447ms 	 41.939µs 	 999.5839771470473 	 127946.74907482206 	 2.047147985197153e+06
32	1000 	 145.494µs 	 205.274µs 	 451.329µs 	 28.711µs 	 999.2826000321978 	 255816.34560824264 	 2.0465307648659411e+06
64	1000 	 151.38µs 	 182.002µs 	 1.573395ms 	 52.8µs 	 999.489485757912 	 511738.61670805095 	 2.0469544668322038e+06
128	1000 	 163.386µs 	 225.465µs 	 1.479074ms 	 52.733µs 	 999.4197548798724 	 1.0234058289969893e+06 	 2.0468116579939786e+06
256	1000 	 141.535µs 	 202.574µs 	 540.545µs 	 33.817µs 	 999.3735956283809 	 2.0467171238469242e+06 	 2.0467171238469242e+06
512	1000 	 148.078µs 	 201.5µs 	 1.383759ms 	 52.681µs 	 999.3625136480815 	 4.093388855902542e+06 	 2.046694427951271e+06
1024	1000 	 156.834µs 	 224.605µs 	 416.95µs 	 30.862µs 	 999.306557196604 	 8.18631931655458e+06 	 2.046579829138645e+06
2048	1000 	 162.573µs 	 265.969µs 	 1.670047ms 	 67.317µs 	 999.4689891223621 	 1.6375299917780781e+07 	 2.0469124897225976e+06
4096	1000 	 176.338µs 	 230.542µs 	 1.055955ms 	 49.932µs 	 999.511675577245 	 3.2751998585315164e+07 	 2.0469999115821978e+06
8192	1000 	 199.246µs 	 252.832µs 	 1.143766ms 	 48.666µs 	 999.4443958675602 	 6.549958792757642e+07 	 2.0468621227367632e+06
16384	1000 	 269µs 	 326.033µs 	 1.780471ms 	 85.118µs 	 999.5203561686039 	 1.3100913212373126e+08 	 2.0470176894333009e+06
32768	1000 	 411.024µs 	 469.601µs 	 1.396725ms 	 86.076µs 	 999.336395663142 	 2.619700401047187e+08 	 2.0466409383181147e+06
65536	1000 	 649.884µs 	 765.929µs 	 1.988024ms 	 128.667µs 	 999.3797429575715 	 5.239628066757392e+08 	 2.0467297135771064e+06
131072	1000 	 1.135097ms 	 1.57178ms 	 7.764972ms 	 827.859µs 	 999.2902890473642 	 1.047831814128129e+09 	 2.046546511969002e+06
262144	1000 	 3.321574ms 	 15.716858ms 	 21.543815ms 	 2.085638ms 	 877.731633270498 	 1.8407366501764915e+09 	 1.79759438493798e+06
