ConnID	RqstID	Latency
0 	 0 	 200.914µs
0 	 1 	 336.274µs
0 	 2 	 273.063µs
0 	 3 	 256.554µs
0 	 4 	 252.225µs
0 	 5 	 276.079µs
0 	 6 	 292.223µs
0 	 7 	 252.636µs
0 	 8 	 253.8µs
0 	 9 	 276.173µs
0 	 10 	 257.061µs
0 	 11 	 254.38µs
0 	 12 	 278.884µs
0 	 13 	 272.921µs
0 	 14 	 250.208µs
0 	 15 	 257.079µs
0 	 16 	 247.593µs
0 	 17 	 249.14µs
0 	 18 	 271.585µs
0 	 19 	 256.707µs
0 	 20 	 252.36µs
0 	 21 	 254.702µs
0 	 22 	 228.035µs
0 	 23 	 231.703µs
0 	 24 	 251.995µs
0 	 25 	 269.031µs
0 	 26 	 298.778µs
0 	 27 	 257.375µs
0 	 28 	 257.517µs
0 	 29 	 254.331µs
0 	 30 	 299.458µs
0 	 31 	 266.925µs
0 	 32 	 252.737µs
0 	 33 	 257.259µs
0 	 34 	 316.522µs
0 	 35 	 256.545µs
0 	 36 	 253.22µs
0 	 37 	 270.082µs
0 	 38 	 264.837µs
0 	 39 	 254.559µs
0 	 40 	 283.447µs
0 	 41 	 253.868µs
0 	 42 	 257.093µs
0 	 43 	 258.145µs
0 	 44 	 250.646µs
0 	 45 	 250.375µs
0 	 46 	 256.227µs
0 	 47 	 254.572µs
0 	 48 	 253.128µs
0 	 49 	 258.408µs
0 	 50 	 254.801µs
0 	 51 	 272.344µs
0 	 52 	 271.278µs
0 	 53 	 251.503µs
0 	 54 	 256.682µs
0 	 55 	 257.622µs
0 	 56 	 252.092µs
0 	 57 	 255.502µs
0 	 58 	 252.786µs
0 	 59 	 256.516µs
0 	 60 	 248.175µs
0 	 61 	 250.968µs
0 	 62 	 275.18µs
0 	 63 	 307.658µs
0 	 64 	 295.292µs
0 	 65 	 302.273µs
0 	 66 	 296.245µs
0 	 67 	 306.319µs
0 	 68 	 312.998µs
0 	 69 	 258.638µs
0 	 70 	 258.285µs
0 	 71 	 253.8µs
