ConnID	RqstID	Latency
0 	 0 	 259.82µs
0 	 1 	 348.504µs
0 	 2 	 260.368µs
0 	 3 	 299.587µs
0 	 4 	 453.798µs
0 	 5 	 338.766µs
0 	 6 	 308.473µs
0 	 7 	 283.31µs
0 	 8 	 275.07µs
0 	 9 	 283.708µs
0 	 10 	 309.306µs
0 	 11 	 332.282µs
0 	 12 	 264.217µs
0 	 13 	 274.019µs
0 	 14 	 275.919µs
0 	 15 	 259.13µs
0 	 16 	 265.783µs
0 	 17 	 263.722µs
0 	 18 	 254.135µs
0 	 19 	 256.497µs
0 	 20 	 265.432µs
0 	 21 	 307.001µs
0 	 22 	 259.846µs
0 	 23 	 265.029µs
0 	 24 	 269.679µs
0 	 25 	 252.723µs
0 	 26 	 270.559µs
0 	 27 	 273.112µs
0 	 28 	 261.343µs
0 	 29 	 266.677µs
0 	 30 	 245.177µs
0 	 31 	 280.078µs
0 	 32 	 287.282µs
0 	 33 	 264.61µs
0 	 34 	 273.38µs
0 	 35 	 289.417µs
0 	 36 	 322.917µs
0 	 37 	 300.024µs
0 	 38 	 263.22µs
0 	 39 	 291.347µs
0 	 40 	 272.21µs
0 	 41 	 292.39µs
0 	 42 	 276.388µs
0 	 43 	 267.48µs
0 	 44 	 154.428µs
0 	 45 	 282.968µs
0 	 46 	 279.077µs
0 	 47 	 306.099µs
0 	 48 	 263.723µs
0 	 49 	 294.348µs
0 	 50 	 269.833µs
0 	 51 	 279.79µs
0 	 52 	 259.337µs
0 	 53 	 262.357µs
0 	 54 	 264.95µs
0 	 55 	 254.928µs
0 	 56 	 307.134µs
0 	 57 	 271.321µs
0 	 58 	 304.52µs
0 	 59 	 217.786µs
0 	 60 	 227.411µs
0 	 61 	 278.253µs
0 	 62 	 328.175µs
0 	 63 	 307.87µs
0 	 64 	 250.03µs
0 	 65 	 250.773µs
0 	 66 	 253.067µs
0 	 67 	 255.055µs
0 	 68 	 258.697µs
0 	 69 	 288.865µs
0 	 70 	 287.76µs
0 	 71 	 292.502µs
0 	 72 	 302.462µs
0 	 73 	 302.185µs
0 	 74 	 298.005µs
0 	 75 	 268.097µs
0 	 76 	 268.783µs
0 	 77 	 268.823µs
0 	 78 	 165.649µs
0 	 79 	 263.115µs
0 	 80 	 256.755µs
0 	 81 	 301.17µs
0 	 82 	 301.607µs
0 	 83 	 255.016µs
0 	 84 	 298.202µs
0 	 85 	 414.904µs
0 	 86 	 249.062µs
0 	 87 	 243.51µs
0 	 88 	 258.198µs
0 	 89 	 256.875µs
0 	 90 	 259.583µs
0 	 91 	 258.003µs
0 	 92 	 156.768µs
0 	 93 	 273.95µs
0 	 94 	 228.622µs
0 	 95 	 239.048µs
0 	 96 	 242.418µs
0 	 97 	 259.49µs
0 	 98 	 258.42µs
0 	 99 	 256.207µs
0 	 100 	 259.918µs
0 	 101 	 160.146µs
0 	 102 	 254.67µs
0 	 103 	 257.672µs
0 	 104 	 259.11µs
0 	 105 	 256.381µs
0 	 106 	 263.053µs
0 	 107 	 157.091µs
0 	 108 	 268.987µs
0 	 109 	 283.709µs
0 	 110 	 265.89µs
0 	 111 	 283.523µs
0 	 112 	 259.962µs
0 	 113 	 238.135µs
0 	 114 	 272.655µs
0 	 115 	 267.273µs
0 	 116 	 290.404µs
0 	 117 	 262.793µs
0 	 118 	 275.694µs
0 	 119 	 260.13µs
0 	 120 	 267.302µs
0 	 121 	 299.974µs
0 	 122 	 250.681µs
0 	 123 	 270.018µs
0 	 124 	 253.515µs
0 	 125 	 266.455µs
0 	 126 	 259.095µs
0 	 127 	 287.775µs
0 	 128 	 251.003µs
0 	 129 	 262.023µs
0 	 130 	 285.995µs
0 	 131 	 292.415µs
0 	 132 	 269.535µs
0 	 133 	 266.025µs
0 	 134 	 267.99µs
0 	 135 	 268.666µs
0 	 136 	 268.803µs
0 	 137 	 268.333µs
0 	 138 	 256.308µs
0 	 139 	 294.672µs
0 	 140 	 266.46µs
0 	 141 	 273.96µs
0 	 142 	 268.48µs
0 	 143 	 317.24µs
0 	 144 	 274.772µs
0 	 145 	 290.505µs
0 	 146 	 254.835µs
0 	 147 	 274.182µs
0 	 148 	 301.434µs
0 	 149 	 303.442µs
0 	 150 	 267.257µs
0 	 151 	 163.033µs
0 	 152 	 261.54µs
0 	 153 	 256.775µs
0 	 154 	 266.543µs
0 	 155 	 295.78µs
0 	 156 	 310.337µs
0 	 157 	 318.947µs
0 	 158 	 314.329µs
0 	 159 	 265.27µs
0 	 160 	 289.313µs
0 	 161 	 305.627µs
0 	 162 	 291.314µs
0 	 163 	 272.458µs
0 	 164 	 302.462µs
0 	 165 	 265.133µs
0 	 166 	 294.937µs
0 	 167 	 276.047µs
0 	 168 	 260.937µs
0 	 169 	 260.855µs
0 	 170 	 265.248µs
0 	 171 	 276.328µs
0 	 172 	 259.63µs
0 	 173 	 239.893µs
0 	 174 	 250.022µs
0 	 175 	 364.633µs
0 	 176 	 271.955µs
0 	 177 	 272.88µs
0 	 178 	 266.38µs
0 	 179 	 264.55µs
0 	 180 	 231.881µs
0 	 181 	 266.63µs
0 	 182 	 256.295µs
0 	 183 	 295.087µs
0 	 184 	 333.732µs
0 	 185 	 305.067µs
0 	 186 	 288.152µs
0 	 187 	 261.38µs
0 	 188 	 248.328µs
0 	 189 	 154.882µs
0 	 190 	 280.833µs
0 	 191 	 305.732µs
0 	 192 	 259.19µs
0 	 193 	 269.84µs
0 	 194 	 269.627µs
0 	 195 	 267.842µs
0 	 196 	 271.075µs
0 	 197 	 253.943µs
0 	 198 	 268.168µs
0 	 199 	 281.323µs
0 	 200 	 253.89µs
0 	 201 	 264.57µs
0 	 202 	 175.758µs
0 	 203 	 148.986µs
0 	 204 	 165.693µs
0 	 205 	 169.334µs
0 	 206 	 171.981µs
0 	 207 	 160.276µs
0 	 208 	 168.646µs
0 	 209 	 163.379µs
0 	 210 	 169.131µs
0 	 211 	 166.094µs
0 	 212 	 168.069µs
0 	 213 	 165.656µs
0 	 214 	 174.358µs
0 	 215 	 166.958µs
0 	 216 	 169.466µs
0 	 217 	 163.418µs
0 	 218 	 171.558µs
0 	 219 	 164.311µs
0 	 220 	 170.423µs
0 	 221 	 163.611µs
0 	 222 	 170.168µs
0 	 223 	 184.378µs
0 	 224 	 157.731µs
0 	 225 	 171.036µs
0 	 226 	 172.289µs
0 	 227 	 216.868µs
0 	 228 	 157.836µs
0 	 229 	 408.825µs
0 	 230 	 184.934µs
0 	 231 	 237.618µs
0 	 232 	 254.327µs
0 	 233 	 256.857µs
0 	 234 	 259.278µs
0 	 235 	 335.349µs
0 	 236 	 332.977µs
0 	 237 	 357.68µs
0 	 238 	 279.404µs
0 	 239 	 251.502µs
0 	 240 	 258.412µs
0 	 241 	 251.378µs
0 	 242 	 255.982µs
0 	 243 	 271.85µs
0 	 244 	 278.833µs
0 	 245 	 265.618µs
0 	 246 	 259.003µs
0 	 247 	 238.311µs
0 	 248 	 278.252µs
0 	 249 	 249.847µs
0 	 250 	 236.173µs
0 	 251 	 202.388µs
0 	 252 	 195.583µs
0 	 253 	 190.776µs
0 	 254 	 262.145µs
0 	 255 	 238.336µs
0 	 256 	 218.968µs
0 	 257 	 252.038µs
0 	 258 	 265.693µs
0 	 259 	 244.616µs
0 	 260 	 254.549µs
0 	 261 	 225.329µs
0 	 262 	 262.674µs
0 	 263 	 250.628µs
0 	 264 	 280.37µs
0 	 265 	 281.49µs
0 	 266 	 188.024µs
0 	 267 	 220.203µs
0 	 268 	 266.462µs
0 	 269 	 252.023µs
0 	 270 	 310.445µs
0 	 271 	 307.495µs
0 	 272 	 294.83µs
0 	 273 	 326.94µs
0 	 274 	 309.792µs
0 	 275 	 292.875µs
0 	 276 	 313.48µs
0 	 277 	 248.107µs
0 	 278 	 277.445µs
0 	 279 	 307.712µs
0 	 280 	 256.313µs
0 	 281 	 275.288µs
0 	 282 	 263.21µs
0 	 283 	 254.697µs
0 	 284 	 301.552µs
0 	 285 	 312.712µs
0 	 286 	 269.6µs
0 	 287 	 301.127µs
0 	 288 	 290.197µs
0 	 289 	 302.04µs
0 	 290 	 300.2µs
0 	 291 	 283.08µs
0 	 292 	 308.639µs
0 	 293 	 303.083µs
0 	 294 	 269.997µs
0 	 295 	 229.78µs
0 	 296 	 261.502µs
0 	 297 	 241.13µs
0 	 298 	 289.023µs
0 	 299 	 228.826µs
0 	 300 	 235.831µs
0 	 301 	 214.955µs
0 	 302 	 240.727µs
0 	 303 	 221.72µs
0 	 304 	 261.477µs
0 	 305 	 242.315µs
0 	 306 	 216.742µs
0 	 307 	 278.568µs
0 	 308 	 261.381µs
0 	 309 	 269.171µs
0 	 310 	 300.342µs
0 	 311 	 255.755µs
0 	 312 	 274.038µs
0 	 313 	 268.93µs
0 	 314 	 307.227µs
0 	 315 	 309.64µs
0 	 316 	 303.365µs
0 	 317 	 280.617µs
0 	 318 	 323.847µs
0 	 319 	 312.467µs
0 	 320 	 274.895µs
0 	 321 	 258.775µs
0 	 322 	 295.157µs
0 	 323 	 308.267µs
0 	 324 	 311.202µs
0 	 325 	 256.073µs
0 	 326 	 269.435µs
0 	 327 	 282.25µs
0 	 328 	 257.09µs
0 	 329 	 270.26µs
0 	 330 	 268.995µs
0 	 331 	 252.358µs
0 	 332 	 295.473µs
0 	 333 	 271.528µs
0 	 334 	 270.273µs
0 	 335 	 257.743µs
0 	 336 	 308.243µs
0 	 337 	 304.119µs
0 	 338 	 278.055µs
0 	 339 	 302.987µs
0 	 340 	 259.518µs
0 	 341 	 261.492µs
0 	 342 	 271.76µs
0 	 343 	 266.267µs
0 	 344 	 268.315µs
0 	 345 	 246.946µs
0 	 346 	 241.802µs
0 	 347 	 299.258µs
0 	 348 	 263.255µs
0 	 349 	 289.152µs
0 	 350 	 303.423µs
0 	 351 	 259.23µs
