10ms	1000 	 193.928µs 	 258.515µs 	 1.182466ms 	 39.371µs 	 99.99353585787834 	 102393.38071846742 	 204786.76143693484
3ms	1000 	 171.525µs 	 257.737µs 	 1.259106ms 	 43.742µs 	 333.26321775168736 	 341261.53497772786 	 682523.0699554557
1ms	1000 	 164.906µs 	 223.974µs 	 897.232µs 	 31.405µs 	 999.4138997149954 	 1.0233998333081553e+06 	 2.0467996666163106e+06
300us	1000 	 99.638µs 	 177.252µs 	 659.351µs 	 32.221µs 	 3326.260992860168 	 3.406091256688812e+06 	 6.812182513377624e+06
100us	1000 	 83.08µs 	 142.279µs 	 270.299µs 	 36.135µs 	 9436.963663735807 	 9.663450791665467e+06 	 1.9326901583330933e+07
30us	1000 	 76.488µs 	 105.809µs 	 1.067093ms 	 43.402µs 	 13763.602258430958 	 1.40939287126333e+07 	 2.81878574252666e+07
10us	1000 	 79.95µs 	 99.969µs 	 467.296µs 	 30.39µs 	 15472.546820352174 	 1.5843887944040626e+07 	 3.1687775888081253e+07
3us	1000 	 75.118µs 	 96.118µs 	 332.565µs 	 25.167µs 	 16170.846676909605 	 1.6558946997155435e+07 	 3.311789399431087e+07
1us	1000 	 78.917µs 	 94.566µs 	 391.4µs 	 22.998µs 	 16608.748086713742 	 1.700735804079487e+07 	 3.401471608158974e+07
300ns	1000 	 77.583µs 	 93.738µs 	 297.939µs 	 21.288µs 	 16676.066409432784 	 1.707629200325917e+07 	 3.415258400651834e+07
100ns	1000 	 74.643µs 	 95.632µs 	 1.047257ms 	 38.029µs 	 16497.18095347008 	 1.6893113296353363e+07 	 3.3786226592706725e+07
30ns	1000 	 77.978µs 	 100.791µs 	 324.755µs 	 24.263µs 	 16304.767142163677 	 1.6696081553575605e+07 	 3.339216310715121e+07
10ns	1000 	 71.605µs 	 101.468µs 	 406.716µs 	 28.033µs 	 15591.64484291145 	 1.5965844319141325e+07 	 3.193168863828265e+07
3ns	1000 	 67.997µs 	 95.613µs 	 348.397µs 	 27.409µs 	 16650.587194612828 	 1.7050201287283536e+07 	 3.410040257456707e+07
1ns	1000 	 74.488µs 	 97.639µs 	 383.258µs 	 24.986µs 	 15631.219515702614 	 1.6006368784079477e+07 	 3.2012737568158954e+07
0ns	1000 	 4.592686ms 	 5.828373ms 	 7.177475ms 	 745.794µs 	 76174.39396223471 	 7.800257941732834e+07 	 1.560051588346567e+08
