10ms	1000 	 170.829µs 	 451.508µs 	 543.967µs 	 24.468µs 	 99.99529260160642 	 102395.17962404498 	 204790.35924808995
3ms	1000 	 139.962µs 	 424.251µs 	 1.016276ms 	 40.138µs 	 333.28522072325 	 341284.066020608 	 682568.132041216
1ms	1000 	 219.411µs 	 326.322µs 	 511.838µs 	 33.467µs 	 999.5351741635366 	 1.0235240183434614e+06 	 2.047048036686923e+06
300us	1000 	 103.939µs 	 276.486µs 	 486.534µs 	 61.131µs 	 3328.632350246844 	 3.4085195266527683e+06 	 6.8170390533055365e+06
100us	1000 	 62.821µs 	 147.29µs 	 375.387µs 	 46.594µs 	 8289.223130443848 	 8.4881644855745e+06 	 1.6976328971149e+07
30us	1000 	 59.785µs 	 147.213µs 	 1.475177ms 	 137.435µs 	 11981.07565138712 	 1.2268621467020411e+07 	 2.4537242934040822e+07
10us	1000 	 53.399µs 	 92.66µs 	 338.235µs 	 33.558µs 	 15065.616484725244 	 1.542719128035865e+07 	 3.08543825607173e+07
3us	1000 	 61.743µs 	 110.012µs 	 437.474µs 	 38.998µs 	 15079.66056890432 	 1.5441572422558025e+07 	 3.088314484511605e+07
1us	1000 	 52.465µs 	 95.262µs 	 428.804µs 	 36.756µs 	 16101.360771082575 	 1.6487793429588556e+07 	 3.2975586859177113e+07
300ns	1000 	 54.861µs 	 93.463µs 	 438.115µs 	 29.863µs 	 16200.247238453205 	 1.6589053172176082e+07 	 3.3178106344352163e+07
100ns	1000 	 57.279µs 	 98.262µs 	 348.286µs 	 28.767µs 	 15317.690509525053 	 1.5685315081753654e+07 	 3.137063016350731e+07
30ns	1000 	 54.049µs 	 101.874µs 	 451.934µs 	 36.906µs 	 15271.685732653626 	 1.5638206190237314e+07 	 3.1276412380474627e+07
10ns	1000 	 58.997µs 	 113.114µs 	 475.222µs 	 40.334µs 	 15281.342893850824 	 1.5648095123303244e+07 	 3.1296190246606488e+07
3ns	1000 	 55.477µs 	 105.114µs 	 442.962µs 	 42.218µs 	 15604.254631100908 	 1.597875674224733e+07 	 3.195751348449466e+07
1ns	1000 	 58.184µs 	 97.946µs 	 348.61µs 	 32.13µs 	 16215.784876338506 	 1.660496371337063e+07 	 3.320992742674126e+07
0ns	1000 	 4.54212ms 	 5.083968ms 	 5.736192ms 	 285.6µs 	 88367.63765026917 	 9.048846095387563e+07 	 1.8097692190775126e+08
