ConnID	RqstID	Latency
0 	 0 	 262.597µs
0 	 1 	 142.682µs
0 	 2 	 221.847µs
0 	 3 	 320.723µs
0 	 4 	 302.476µs
0 	 5 	 308.46µs
0 	 6 	 368.88µs
0 	 7 	 373.392µs
0 	 8 	 360.755µs
0 	 9 	 384.57µs
0 	 10 	 421.21µs
0 	 11 	 355.36µs
0 	 12 	 383.719µs
0 	 13 	 415.594µs
0 	 14 	 371.942µs
0 	 15 	 327.743µs
0 	 16 	 313.443µs
0 	 17 	 345.516µs
0 	 18 	 337.692µs
0 	 19 	 266.799µs
0 	 20 	 340.428µs
0 	 21 	 382.842µs
0 	 22 	 385.844µs
0 	 23 	 338.664µs
0 	 24 	 397.849µs
0 	 25 	 391.39µs
0 	 26 	 316.813µs
0 	 27 	 357.254µs
0 	 28 	 400.309µs
0 	 29 	 385.065µs
0 	 30 	 368.75µs
0 	 31 	 371.225µs
0 	 32 	 302.923µs
0 	 33 	 409.667µs
0 	 34 	 394.017µs
0 	 35 	 345.16µs
0 	 36 	 398.112µs
0 	 37 	 411.727µs
0 	 38 	 437.554µs
0 	 39 	 372.505µs
0 	 40 	 352.27µs
0 	 41 	 416.999µs
0 	 42 	 408.232µs
0 	 43 	 370.772µs
0 	 44 	 331.315µs
0 	 45 	 399.269µs
0 	 46 	 380.899µs
0 	 47 	 363.802µs
0 	 48 	 405.592µs
0 	 49 	 359.573µs
0 	 50 	 365.37µs
0 	 51 	 371.893µs
0 	 52 	 359.942µs
0 	 53 	 383.01µs
0 	 54 	 371.818µs
0 	 55 	 389.362µs
0 	 56 	 381.524µs
0 	 57 	 336.903µs
0 	 58 	 334.67µs
0 	 59 	 273.044µs
0 	 60 	 321.311µs
0 	 61 	 354.18µs
0 	 62 	 310.487µs
0 	 63 	 373.95µs
0 	 64 	 343.905µs
0 	 65 	 393.827µs
0 	 66 	 366.136µs
0 	 67 	 343.728µs
0 	 68 	 332.123µs
0 	 69 	 323.033µs
0 	 70 	 310.116µs
0 	 71 	 356.111µs
0 	 72 	 343.743µs
0 	 73 	 430.857µs
0 	 74 	 402.782µs
0 	 75 	 379.65µs
0 	 76 	 403.552µs
0 	 77 	 345.368µs
0 	 78 	 431.814µs
0 	 79 	 378.775µs
0 	 80 	 403.287µs
0 	 81 	 416.334µs
0 	 82 	 410.147µs
0 	 83 	 402.712µs
0 	 84 	 399.912µs
0 	 85 	 384.509µs
0 	 86 	 357.077µs
0 	 87 	 390.447µs
0 	 88 	 370.297µs
0 	 89 	 383.445µs
0 	 90 	 328.15µs
0 	 91 	 381.978µs
0 	 92 	 368.488µs
0 	 93 	 393.378µs
0 	 94 	 375.987µs
0 	 95 	 377.167µs
0 	 96 	 362.328µs
0 	 97 	 340.311µs
0 	 98 	 338.095µs
0 	 99 	 370.938µs
0 	 100 	 337.163µs
0 	 101 	 340.311µs
0 	 102 	 384.917µs
0 	 103 	 355.48µs
0 	 104 	 340.165µs
0 	 105 	 350.257µs
0 	 106 	 359.471µs
0 	 107 	 324.798µs
0 	 108 	 341.678µs
0 	 109 	 348.289µs
0 	 110 	 322.29µs
0 	 111 	 332.592µs
0 	 112 	 339.173µs
0 	 113 	 351.25µs
0 	 114 	 348.83µs
0 	 115 	 359.278µs
0 	 116 	 343.332µs
0 	 117 	 326.885µs
0 	 118 	 338.676µs
0 	 119 	 347.04µs
0 	 120 	 340.605µs
0 	 121 	 360.65µs
0 	 122 	 427.884µs
0 	 123 	 419.385µs
0 	 124 	 396.34µs
0 	 125 	 370.266µs
0 	 126 	 327.761µs
0 	 127 	 321.855µs
0 	 128 	 351.11µs
0 	 129 	 358.412µs
0 	 130 	 334.646µs
0 	 131 	 334.132µs
0 	 132 	 308.333µs
0 	 133 	 247.676µs
0 	 134 	 335.077µs
0 	 135 	 324.911µs
0 	 136 	 338.776µs
0 	 137 	 357.221µs
0 	 138 	 323.173µs
0 	 139 	 327.453µs
0 	 140 	 287.004µs
0 	 141 	 274.577µs
0 	 142 	 279.429µs
0 	 143 	 289.428µs
0 	 144 	 272.614µs
0 	 145 	 240.156µs
0 	 146 	 253.537µs
0 	 147 	 383.282µs
0 	 148 	 377.342µs
0 	 149 	 407.892µs
0 	 150 	 382.619µs
0 	 151 	 379.452µs
0 	 152 	 359.157µs
0 	 153 	 317.258µs
0 	 154 	 310.35µs
0 	 155 	 364.965µs
0 	 156 	 357.943µs
0 	 157 	 394.23µs
