ConnID	RqstID	Latency
0 	 0 	 257.314µs
0 	 1 	 305.872µs
0 	 2 	 281.24µs
0 	 3 	 336.762µs
0 	 4 	 331.877µs
0 	 5 	 314.97µs
0 	 6 	 221.274µs
0 	 7 	 231.93µs
0 	 8 	 270.017µs
0 	 9 	 270.494µs
0 	 10 	 272.94µs
0 	 11 	 276.828µs
0 	 12 	 205.086µs
0 	 13 	 282.472µs
0 	 14 	 267.687µs
0 	 15 	 247.17µs
0 	 16 	 218.564µs
0 	 17 	 210.209µs
0 	 18 	 245.632µs
0 	 19 	 259.469µs
0 	 20 	 262.893µs
0 	 21 	 264.329µs
0 	 22 	 226.56µs
0 	 23 	 213.031µs
0 	 24 	 248.87µs
0 	 25 	 265.877µs
0 	 26 	 393.483µs
0 	 27 	 207.121µs
0 	 28 	 218.352µs
0 	 29 	 222.152µs
0 	 30 	 211.165µs
0 	 31 	 217.259µs
0 	 32 	 211.545µs
0 	 33 	 207.772µs
0 	 34 	 218.22µs
0 	 35 	 211.633µs
0 	 36 	 209.446µs
0 	 37 	 208.773µs
0 	 38 	 209.847µs
0 	 39 	 210.509µs
0 	 40 	 210.129µs
0 	 41 	 209.063µs
0 	 42 	 208.983µs
0 	 43 	 209.13µs
0 	 44 	 211.926µs
0 	 45 	 315.97µs
0 	 46 	 222.608µs
0 	 47 	 245.337µs
0 	 48 	 243.344µs
0 	 49 	 215.816µs
0 	 50 	 294.688µs
0 	 51 	 293.61µs
0 	 52 	 282.332µs
0 	 53 	 282.866µs
0 	 54 	 220.267µs
0 	 55 	 190.191µs
0 	 56 	 161.518µs
0 	 57 	 131.969µs
0 	 58 	 129.7µs
0 	 59 	 129.741µs
0 	 60 	 125.708µs
0 	 61 	 130.014µs
0 	 62 	 134.393µs
0 	 63 	 137.454µs
0 	 64 	 150.442µs
0 	 65 	 129.136µs
0 	 66 	 134.09µs
0 	 67 	 130.74µs
0 	 68 	 129.84µs
0 	 69 	 129.774µs
0 	 70 	 128.768µs
0 	 71 	 124.481µs
0 	 72 	 124.537µs
0 	 73 	 129.654µs
0 	 74 	 130.411µs
0 	 75 	 125.389µs
0 	 76 	 128.203µs
0 	 77 	 129.62µs
0 	 78 	 128.872µs
0 	 79 	 129.903µs
0 	 80 	 123.347µs
0 	 81 	 140.925µs
0 	 82 	 126.74µs
0 	 83 	 124.686µs
0 	 84 	 122.908µs
0 	 85 	 122.993µs
0 	 86 	 127.178µs
0 	 87 	 129.614µs
0 	 88 	 123.473µs
0 	 89 	 138.791µs
0 	 90 	 143.215µs
0 	 91 	 129.668µs
0 	 92 	 124.664µs
0 	 93 	 129.853µs
0 	 94 	 168.411µs
0 	 95 	 142.748µs
0 	 96 	 133.983µs
0 	 97 	 128.542µs
0 	 98 	 125.141µs
0 	 99 	 138.541µs
0 	 100 	 129.944µs
0 	 101 	 123.386µs
0 	 102 	 124.764µs
0 	 103 	 129.783µs
0 	 104 	 130.311µs
0 	 105 	 140.631µs
0 	 106 	 129.944µs
0 	 107 	 124.458µs
0 	 108 	 129.919µs
0 	 109 	 134.144µs
0 	 110 	 129.615µs
0 	 111 	 124.514µs
0 	 112 	 129.862µs
0 	 113 	 122.426µs
0 	 114 	 118.617µs
0 	 115 	 121.147µs
0 	 116 	 121.587µs
0 	 117 	 126.231µs
0 	 118 	 89.782µs
0 	 119 	 102.126µs
0 	 120 	 98.535µs
0 	 121 	 95.725µs
0 	 122 	 94.009µs
0 	 123 	 95.525µs
0 	 124 	 93.813µs
0 	 125 	 93.685µs
0 	 126 	 93.454µs
0 	 127 	 100.323µs
0 	 128 	 275.57µs
0 	 129 	 111.893µs
0 	 130 	 99.236µs
0 	 131 	 97.03µs
0 	 132 	 93.82µs
0 	 133 	 93.496µs
0 	 134 	 93.61µs
0 	 135 	 93.186µs
0 	 136 	 93.871µs
0 	 137 	 93.933µs
0 	 138 	 95.857µs
0 	 139 	 93.598µs
0 	 140 	 92.62µs
0 	 141 	 93.672µs
0 	 142 	 92.082µs
0 	 143 	 94.027µs
0 	 144 	 93.878µs
0 	 145 	 95.238µs
0 	 146 	 93.599µs
0 	 147 	 92.7µs
0 	 148 	 93.437µs
0 	 149 	 97.004µs
0 	 150 	 95.658µs
0 	 151 	 93.423µs
0 	 152 	 93.829µs
0 	 153 	 92.781µs
0 	 154 	 97.937µs
0 	 155 	 95.81µs
0 	 156 	 92.083µs
0 	 157 	 93.581µs
0 	 158 	 93.366µs
0 	 159 	 102.812µs
0 	 160 	 97.26µs
0 	 161 	 95.745µs
0 	 162 	 93.19µs
0 	 163 	 93.736µs
0 	 164 	 93.937µs
0 	 165 	 93.736µs
0 	 166 	 93.849µs
0 	 167 	 93.335µs
0 	 168 	 99.735µs
0 	 169 	 99.477µs
0 	 170 	 98.448µs
0 	 171 	 103.173µs
0 	 172 	 97.911µs
0 	 173 	 93.398µs
0 	 174 	 93.147µs
0 	 175 	 93.532µs
0 	 176 	 93.68µs
0 	 177 	 91.786µs
0 	 178 	 93.093µs
0 	 179 	 92.702µs
0 	 180 	 92.964µs
0 	 181 	 93.982µs
0 	 182 	 93.219µs
0 	 183 	 95.541µs
0 	 184 	 95.393µs
0 	 185 	 91.703µs
0 	 186 	 93.73µs
0 	 187 	 91.687µs
0 	 188 	 93.733µs
0 	 189 	 92.88µs
0 	 190 	 93.646µs
0 	 191 	 100.987µs
0 	 192 	 97.098µs
0 	 193 	 93.351µs
0 	 194 	 93.858µs
0 	 195 	 93.048µs
0 	 196 	 93.793µs
0 	 197 	 93.158µs
0 	 198 	 93.32µs
0 	 199 	 93.256µs
0 	 200 	 94.817µs
0 	 201 	 93.645µs
0 	 202 	 93.493µs
0 	 203 	 93.659µs
0 	 204 	 93.676µs
0 	 205 	 92.526µs
0 	 206 	 93.729µs
0 	 207 	 93.455µs
0 	 208 	 93.71µs
0 	 209 	 91.243µs
0 	 210 	 94.963µs
0 	 211 	 285.524µs
0 	 212 	 100.919µs
0 	 213 	 92.769µs
0 	 214 	 92.996µs
0 	 215 	 90.034µs
0 	 216 	 92.436µs
0 	 217 	 91.304µs
0 	 218 	 96.186µs
0 	 219 	 94.012µs
0 	 220 	 91.511µs
0 	 221 	 94.374µs
0 	 222 	 90.464µs
0 	 223 	 99.439µs
0 	 224 	 95.517µs
0 	 225 	 91.161µs
0 	 226 	 84.727µs
0 	 227 	 91.544µs
0 	 228 	 103.45µs
0 	 229 	 93.34µs
0 	 230 	 93.15µs
0 	 231 	 93.49µs
0 	 232 	 93.42µs
0 	 233 	 94.007µs
0 	 234 	 93.068µs
0 	 235 	 93.591µs
0 	 236 	 93.054µs
0 	 237 	 93.43µs
0 	 238 	 93.337µs
0 	 239 	 93.63µs
0 	 240 	 93.54µs
0 	 241 	 93.608µs
0 	 242 	 94.275µs
0 	 243 	 92.766µs
0 	 244 	 93.313µs
0 	 245 	 93.384µs
0 	 246 	 93.438µs
0 	 247 	 96.211µs
0 	 248 	 94.952µs
0 	 249 	 93.405µs
