10ms	1000 	 253.929µs 	 420.848µs 	 574.069µs 	 56.268µs 	 99.99316458726062 	 102393.00053735488 	 204786.00107470975
3ms	1000 	 268.601µs 	 439.171µs 	 535.668µs 	 40.18µs 	 333.2703370189684 	 341268.82510742365 	 682537.6502148473
1ms	1000 	 160.707µs 	 363.616µs 	 498.268µs 	 47.033µs 	 999.495215935639 	 1.0234831011180943e+06 	 2.0469662022361886e+06
300us	1000 	 140.839µs 	 297.715µs 	 437.077µs 	 57.239µs 	 3329.034506687721 	 3.4089313348482265e+06 	 6.817862669696453e+06
100us	1000 	 61.494µs 	 148.216µs 	 388.898µs 	 48.359µs 	 9233.099238874081 	 9.45469362060706e+06 	 1.890938724121412e+07
30us	1000 	 61.129µs 	 159.137µs 	 1.876475ms 	 199.864µs 	 11427.655648898171 	 1.1701919384471728e+07 	 2.3403838768943455e+07
10us	1000 	 53.221µs 	 101.812µs 	 387.551µs 	 31.797µs 	 14308.72578292876 	 1.465213520171905e+07 	 2.93042704034381e+07
3us	1000 	 60.554µs 	 121.078µs 	 366.537µs 	 37.702µs 	 14397.027992717407 	 1.4742556664542625e+07 	 2.948511332908525e+07
1us	1000 	 54.159µs 	 114.666µs 	 386.681µs 	 38.118µs 	 15201.730151473383 	 1.5566571675108744e+07 	 3.1133143350217488e+07
300ns	1000 	 56.287µs 	 130.679µs 	 385.288µs 	 43.79µs 	 14831.462747229176 	 1.5187417853162676e+07 	 3.0374835706325352e+07
100ns	1000 	 60.314µs 	 106.063µs 	 348.749µs 	 30.423µs 	 14525.863539709202 	 1.4874484264662223e+07 	 2.9748968529324446e+07
30ns	1000 	 60.247µs 	 108.891µs 	 342.24µs 	 34.375µs 	 14970.665430209467 	 1.5329961400534494e+07 	 3.0659922801068988e+07
10ns	1000 	 52.148µs 	 103.532µs 	 403.028µs 	 35.871µs 	 14688.261838830842 	 1.5040780122962782e+07 	 3.0081560245925564e+07
3ns	1000 	 55.643µs 	 99.903µs 	 417.622µs 	 31.619µs 	 15329.583594549438 	 1.5697493600818625e+07 	 3.139498720163725e+07
1ns	1000 	 54.694µs 	 89.696µs 	 416.263µs 	 26.679µs 	 15830.640264388157 	 1.6210575630733473e+07 	 3.2421151261466946e+07
0ns	1000 	 1.126877ms 	 6.096533ms 	 6.590383ms 	 550.647µs 	 82996.45073978056 	 8.498836555753529e+07 	 1.6997673111507058e+08
