ConnID	RqstID	Latency
0 	 0 	 119.543µs
0 	 1 	 144.659µs
0 	 2 	 210.175µs
0 	 3 	 213.345µs
0 	 4 	 248.152µs
0 	 5 	 260.026µs
0 	 6 	 300.049µs
0 	 7 	 308.936µs
0 	 8 	 306.081µs
0 	 9 	 341.668µs
0 	 10 	 322.709µs
0 	 11 	 299.795µs
0 	 12 	 432.324µs
0 	 13 	 329.639µs
0 	 14 	 359.832µs
0 	 15 	 307.593µs
0 	 16 	 348.593µs
0 	 17 	 354.962µs
0 	 18 	 261.362µs
0 	 19 	 248.116µs
0 	 20 	 242.534µs
0 	 21 	 342.366µs
0 	 22 	 307.941µs
0 	 23 	 261.937µs
0 	 24 	 249.34µs
0 	 25 	 268.572µs
0 	 26 	 322.883µs
0 	 27 	 394.058µs
0 	 28 	 301.809µs
0 	 29 	 329.572µs
0 	 30 	 331.222µs
0 	 31 	 323.98µs
0 	 32 	 267.124µs
0 	 33 	 300.394µs
0 	 34 	 335.597µs
0 	 35 	 333.883µs
0 	 36 	 324.606µs
0 	 37 	 401.23µs
0 	 38 	 392.094µs
0 	 39 	 361.73µs
0 	 40 	 322.493µs
0 	 41 	 354.173µs
0 	 42 	 406.224µs
0 	 43 	 384.437µs
0 	 44 	 384.942µs
0 	 45 	 337.085µs
0 	 46 	 383.922µs
0 	 47 	 404.964µs
0 	 48 	 373.128µs
0 	 49 	 372.488µs
0 	 50 	 428.959µs
0 	 51 	 447.549µs
0 	 52 	 408.937µs
0 	 53 	 411.495µs
0 	 54 	 426.547µs
0 	 55 	 417.109µs
0 	 56 	 387.258µs
0 	 57 	 332.653µs
0 	 58 	 360.495µs
0 	 59 	 299.583µs
0 	 60 	 346.103µs
0 	 61 	 424.466µs
0 	 62 	 434.069µs
0 	 63 	 430.274µs
0 	 64 	 394.123µs
0 	 65 	 412.282µs
0 	 66 	 428.694µs
0 	 67 	 425.699µs
0 	 68 	 420.517µs
0 	 69 	 422.35µs
0 	 70 	 419.822µs
0 	 71 	 395.672µs
0 	 72 	 423.452µs
0 	 73 	 428.049µs
0 	 74 	 329.08µs
0 	 75 	 464.469µs
0 	 76 	 325.155µs
0 	 77 	 432.177µs
0 	 78 	 360.775µs
0 	 79 	 340.85µs
0 	 80 	 340.775µs
0 	 81 	 410.78µs
0 	 82 	 350.608µs
0 	 83 	 322.933µs
0 	 84 	 344.841µs
0 	 85 	 408.932µs
0 	 86 	 326.878µs
0 	 87 	 352.215µs
0 	 88 	 390.825µs
0 	 89 	 353.101µs
0 	 90 	 352.187µs
0 	 91 	 365.87µs
0 	 92 	 354.165µs
0 	 93 	 402.479µs
0 	 94 	 391.447µs
0 	 95 	 358.49µs
0 	 96 	 338.69µs
0 	 97 	 315.918µs
0 	 98 	 333.856µs
0 	 99 	 326.298µs
0 	 100 	 375.003µs
0 	 101 	 376.385µs
0 	 102 	 362.68µs
0 	 103 	 327.608µs
0 	 104 	 417.212µs
0 	 105 	 381.122µs
0 	 106 	 312.691µs
0 	 107 	 403.332µs
0 	 108 	 390.135µs
0 	 109 	 420.109µs
0 	 110 	 370.28µs
0 	 111 	 391.995µs
0 	 112 	 340.6µs
0 	 113 	 333.763µs
0 	 114 	 325.561µs
0 	 115 	 373.7µs
0 	 116 	 349.635µs
0 	 117 	 372.794µs
0 	 118 	 383.555µs
0 	 119 	 391.289µs
0 	 120 	 303.412µs
0 	 121 	 327.443µs
0 	 122 	 382.757µs
0 	 123 	 369.255µs
0 	 124 	 378.69µs
0 	 125 	 378.225µs
0 	 126 	 384.15µs
0 	 127 	 400.385µs
0 	 128 	 371.435µs
0 	 129 	 380.138µs
0 	 130 	 371.515µs
0 	 131 	 369.343µs
0 	 132 	 383.794µs
0 	 133 	 381.607µs
0 	 134 	 377.408µs
0 	 135 	 369.293µs
0 	 136 	 380.565µs
0 	 137 	 382.257µs
0 	 138 	 325.936µs
0 	 139 	 394.21µs
0 	 140 	 342.638µs
0 	 141 	 395.467µs
0 	 142 	 349.053µs
0 	 143 	 431.75µs
0 	 144 	 408.885µs
0 	 145 	 395.68µs
0 	 146 	 407.635µs
0 	 147 	 411.009µs
0 	 148 	 395.434µs
0 	 149 	 385.352µs
0 	 150 	 350.101µs
0 	 151 	 372.35µs
0 	 152 	 300.094µs
0 	 153 	 374.022µs
0 	 154 	 405.542µs
0 	 155 	 396.588µs
0 	 156 	 324.208µs
0 	 157 	 323.62µs
0 	 158 	 362.98µs
0 	 159 	 326.119µs
0 	 160 	 319.591µs
0 	 161 	 441.774µs
0 	 162 	 423.821µs
0 	 163 	 403.549µs
0 	 164 	 367.973µs
0 	 165 	 385.563µs
0 	 166 	 399.959µs
0 	 167 	 383.384µs
0 	 168 	 329.445µs
0 	 169 	 318.888µs
0 	 170 	 338.62µs
0 	 171 	 364.45µs
0 	 172 	 382.687µs
