ConnID	RqstID	Latency
0 	 0 	 159.335µs
0 	 1 	 136.815µs
0 	 2 	 187.767µs
0 	 3 	 245.97µs
0 	 4 	 119.052µs
0 	 5 	 119.514µs
0 	 6 	 111.032µs
0 	 7 	 110.152µs
0 	 8 	 109.525µs
0 	 9 	 108.867µs
0 	 10 	 109.83µs
0 	 11 	 132.254µs
0 	 12 	 87.163µs
0 	 13 	 108.072µs
0 	 14 	 135.006µs
0 	 15 	 92.018µs
0 	 16 	 108.468µs
0 	 17 	 137.984µs
0 	 18 	 93.856µs
0 	 19 	 108.211µs
0 	 20 	 154.132µs
0 	 21 	 94.305µs
0 	 22 	 108.507µs
0 	 23 	 136.954µs
0 	 24 	 93.598µs
0 	 25 	 107.469µs
0 	 26 	 137.842µs
0 	 27 	 93.278µs
0 	 28 	 108.498µs
0 	 29 	 134.81µs
0 	 30 	 93.771µs
0 	 31 	 116.228µs
0 	 32 	 104.083µs
0 	 33 	 110.801µs
0 	 34 	 108.101µs
0 	 35 	 111.92µs
0 	 36 	 107.977µs
0 	 37 	 107.434µs
0 	 38 	 108.57µs
0 	 39 	 108.524µs
0 	 40 	 114.467µs
0 	 41 	 94.824µs
0 	 42 	 110.47µs
0 	 43 	 115.578µs
0 	 44 	 112.018µs
0 	 45 	 112.884µs
0 	 46 	 112.615µs
0 	 47 	 116.186µs
0 	 48 	 111.846µs
0 	 49 	 113.714µs
0 	 50 	 112.736µs
0 	 51 	 112.099µs
0 	 52 	 114.235µs
0 	 53 	 113.087µs
0 	 54 	 111.758µs
0 	 55 	 112.173µs
0 	 56 	 113.784µs
0 	 57 	 111.165µs
0 	 58 	 112.818µs
0 	 59 	 114.142µs
0 	 60 	 112.27µs
0 	 61 	 112.186µs
0 	 62 	 111.093µs
0 	 63 	 118.299µs
0 	 64 	 109.663µs
0 	 65 	 112.893µs
0 	 66 	 113.021µs
0 	 67 	 112.197µs
0 	 68 	 113.67µs
0 	 69 	 112.52µs
0 	 70 	 111.634µs
0 	 71 	 110.526µs
0 	 72 	 112.036µs
0 	 73 	 112.547µs
0 	 74 	 112.227µs
0 	 75 	 260.54µs
0 	 76 	 258.298µs
0 	 77 	 87.818µs
0 	 78 	 89.524µs
0 	 79 	 82.267µs
0 	 80 	 93.13µs
0 	 81 	 91.525µs
0 	 82 	 87.784µs
0 	 83 	 85.657µs
0 	 84 	 87.782µs
0 	 85 	 80.694µs
0 	 86 	 87.539µs
0 	 87 	 85.052µs
0 	 88 	 90.756µs
0 	 89 	 90.959µs
0 	 90 	 95.422µs
0 	 91 	 91.35µs
0 	 92 	 91.369µs
0 	 93 	 91.332µs
0 	 94 	 87.513µs
0 	 95 	 92.596µs
0 	 96 	 93.766µs
0 	 97 	 93.116µs
0 	 98 	 88.351µs
0 	 99 	 88.141µs
0 	 100 	 88.303µs
0 	 101 	 81.442µs
0 	 102 	 86.647µs
0 	 103 	 84.279µs
0 	 104 	 90.796µs
0 	 105 	 94.981µs
0 	 106 	 87.458µs
0 	 107 	 80.652µs
0 	 108 	 91.388µs
0 	 109 	 91.483µs
0 	 110 	 102.113µs
0 	 111 	 112.83µs
0 	 112 	 111.741µs
0 	 113 	 112.45µs
0 	 114 	 114.013µs
0 	 115 	 121.191µs
0 	 116 	 122.044µs
0 	 117 	 113.68µs
0 	 118 	 112.607µs
0 	 119 	 140.841µs
0 	 120 	 96.833µs
0 	 121 	 138.2µs
0 	 122 	 90.026µs
0 	 123 	 113.103µs
0 	 124 	 112.549µs
0 	 125 	 111.725µs
0 	 126 	 111.809µs
0 	 127 	 118.512µs
0 	 128 	 111.834µs
0 	 129 	 113.05µs
0 	 130 	 111.817µs
0 	 131 	 111.669µs
0 	 132 	 112.754µs
0 	 133 	 112.203µs
0 	 134 	 113.172µs
0 	 135 	 113.451µs
0 	 136 	 113.46µs
0 	 137 	 113.077µs
0 	 138 	 113.491µs
0 	 139 	 113.086µs
0 	 140 	 112.594µs
0 	 141 	 112.227µs
0 	 142 	 111.27µs
0 	 143 	 112.95µs
0 	 144 	 112.901µs
0 	 145 	 111.198µs
0 	 146 	 111.879µs
0 	 147 	 114.112µs
0 	 148 	 111.993µs
0 	 149 	 117.16µs
0 	 150 	 113.945µs
0 	 151 	 120.684µs
0 	 152 	 106.947µs
0 	 153 	 112.007µs
0 	 154 	 116.492µs
0 	 155 	 112.385µs
0 	 156 	 112.837µs
0 	 157 	 113.79µs
0 	 158 	 111.308µs
0 	 159 	 118.324µs
0 	 160 	 108.6µs
0 	 161 	 113.479µs
0 	 162 	 111.761µs
0 	 163 	 114.737µs
0 	 164 	 113.234µs
0 	 165 	 112.325µs
0 	 166 	 111.805µs
0 	 167 	 114.238µs
0 	 168 	 110.86µs
0 	 169 	 111.871µs
0 	 170 	 111.776µs
0 	 171 	 111.987µs
0 	 172 	 111.674µs
0 	 173 	 112.424µs
0 	 174 	 112.561µs
0 	 175 	 112.644µs
0 	 176 	 112.077µs
0 	 177 	 113.523µs
0 	 178 	 112.14µs
0 	 179 	 112.8µs
0 	 180 	 111.556µs
0 	 181 	 111.922µs
0 	 182 	 111.201µs
0 	 183 	 111.727µs
0 	 184 	 113.275µs
0 	 185 	 112.965µs
0 	 186 	 116.378µs
0 	 187 	 114.561µs
0 	 188 	 113.028µs
0 	 189 	 111.476µs
0 	 190 	 112.231µs
0 	 191 	 118.879µs
0 	 192 	 108.509µs
0 	 193 	 111.8µs
0 	 194 	 112.541µs
0 	 195 	 111.871µs
0 	 196 	 112.612µs
0 	 197 	 112.932µs
0 	 198 	 111.213µs
0 	 199 	 111.832µs
0 	 200 	 111.838µs
0 	 201 	 111.295µs
0 	 202 	 112.341µs
0 	 203 	 111.053µs
0 	 204 	 111.802µs
0 	 205 	 122.129µs
0 	 206 	 116.929µs
0 	 207 	 109.386µs
0 	 208 	 111.494µs
0 	 209 	 110.405µs
0 	 210 	 111.863µs
0 	 211 	 111.709µs
0 	 212 	 111.476µs
0 	 213 	 111.304µs
0 	 214 	 111.91µs
0 	 215 	 111.443µs
0 	 216 	 112.023µs
0 	 217 	 111.034µs
0 	 218 	 115.851µs
0 	 219 	 112.001µs
0 	 220 	 112.19µs
0 	 221 	 312.294µs
0 	 222 	 110.054µs
0 	 223 	 123.567µs
0 	 224 	 107.818µs
0 	 225 	 114.313µs
0 	 226 	 111.904µs
0 	 227 	 117.373µs
0 	 228 	 110.42µs
0 	 229 	 112.812µs
0 	 230 	 111.749µs
0 	 231 	 111.94µs
0 	 232 	 111.21µs
0 	 233 	 112.095µs
0 	 234 	 111.217µs
0 	 235 	 111.65µs
0 	 236 	 111.811µs
0 	 237 	 111.303µs
0 	 238 	 111.35µs
0 	 239 	 110.294µs
0 	 240 	 111.648µs
0 	 241 	 111.827µs
0 	 242 	 112.854µs
0 	 243 	 111.805µs
0 	 244 	 111.508µs
0 	 245 	 111.093µs
0 	 246 	 111.064µs
0 	 247 	 111.183µs
0 	 248 	 112.512µs
0 	 249 	 112.994µs
0 	 250 	 112.525µs
0 	 251 	 116.106µs
0 	 252 	 112.036µs
0 	 253 	 112.194µs
0 	 254 	 111.741µs
0 	 255 	 127.712µs
0 	 256 	 110.154µs
0 	 257 	 112.817µs
0 	 258 	 110.845µs
0 	 259 	 110.922µs
0 	 260 	 114.117µs
0 	 261 	 111.696µs
0 	 262 	 112.42µs
0 	 263 	 111.715µs
0 	 264 	 111.89µs
0 	 265 	 111.764µs
0 	 266 	 111.061µs
0 	 267 	 110.576µs
0 	 268 	 111.015µs
0 	 269 	 112.497µs
0 	 270 	 112.788µs
0 	 271 	 112.149µs
0 	 272 	 112.05µs
0 	 273 	 111.697µs
0 	 274 	 112.36µs
0 	 275 	 112.115µs
0 	 276 	 112.107µs
0 	 277 	 110.777µs
0 	 278 	 112.162µs
0 	 279 	 113.094µs
0 	 280 	 112.026µs
0 	 281 	 113.706µs
0 	 282 	 116.265µs
0 	 283 	 111.974µs
0 	 284 	 113.156µs
0 	 285 	 112.251µs
0 	 286 	 111.615µs
0 	 287 	 118.211µs
0 	 288 	 113.272µs
0 	 289 	 112.288µs
0 	 290 	 127.26µs
0 	 291 	 115.589µs
0 	 292 	 104.003µs
0 	 293 	 113.848µs
0 	 294 	 112.594µs
0 	 295 	 111.791µs
0 	 296 	 111.529µs
0 	 297 	 111.397µs
0 	 298 	 111.01µs
0 	 299 	 113.487µs
0 	 300 	 111.983µs
0 	 301 	 111.459µs
0 	 302 	 111.433µs
0 	 303 	 111.338µs
0 	 304 	 111.283µs
0 	 305 	 111.263µs
0 	 306 	 110.886µs
0 	 307 	 110.69µs
0 	 308 	 111.505µs
0 	 309 	 111.793µs
0 	 310 	 111.436µs
0 	 311 	 112.359µs
0 	 312 	 112.574µs
0 	 313 	 111.272µs
0 	 314 	 111.628µs
0 	 315 	 111.475µs
0 	 316 	 111.894µs
0 	 317 	 112µs
0 	 318 	 111.801µs
0 	 319 	 119.07µs
