ConnID	RqstID	Latency
0 	 0 	 120.873µs
0 	 1 	 220.642µs
0 	 2 	 176.44µs
0 	 3 	 191.907µs
0 	 4 	 246.357µs
0 	 5 	 194.245µs
0 	 6 	 190.503µs
0 	 7 	 190.097µs
0 	 8 	 244.084µs
0 	 9 	 235.862µs
0 	 10 	 190.188µs
0 	 11 	 182.258µs
0 	 12 	 251.136µs
0 	 13 	 254.964µs
0 	 14 	 200.115µs
0 	 15 	 179.842µs
0 	 16 	 268.464µs
0 	 17 	 284.321µs
0 	 18 	 236.759µs
0 	 19 	 261.251µs
0 	 20 	 295.311µs
0 	 21 	 278.274µs
0 	 22 	 262.094µs
0 	 23 	 236.982µs
0 	 24 	 266.594µs
0 	 25 	 284.369µs
0 	 26 	 268.029µs
0 	 27 	 255.826µs
0 	 28 	 175.637µs
0 	 29 	 241.094µs
0 	 30 	 246.064µs
0 	 31 	 262.389µs
0 	 32 	 255.859µs
0 	 33 	 253.974µs
0 	 34 	 257.979µs
0 	 35 	 247.424µs
0 	 36 	 259.409µs
0 	 37 	 263.909µs
0 	 38 	 234.922µs
0 	 39 	 211.152µs
0 	 40 	 260.862µs
0 	 41 	 257.501µs
0 	 42 	 274.144µs
0 	 43 	 238.267µs
0 	 44 	 221.505µs
0 	 45 	 228.311µs
0 	 46 	 218.277µs
0 	 47 	 246.786µs
0 	 48 	 250.887µs
0 	 49 	 258.904µs
0 	 50 	 252.992µs
0 	 51 	 267.482µs
0 	 52 	 256.866µs
0 	 53 	 253.796µs
0 	 54 	 258.404µs
0 	 55 	 246.402µs
0 	 56 	 231.979µs
0 	 57 	 221.055µs
0 	 58 	 227.366µs
0 	 59 	 254.337µs
0 	 60 	 246.724µs
0 	 61 	 265.091µs
0 	 62 	 241.625µs
0 	 63 	 245.537µs
0 	 64 	 270.757µs
0 	 65 	 264.776µs
0 	 66 	 254.504µs
0 	 67 	 250.347µs
0 	 68 	 303.593µs
0 	 69 	 309.424µs
0 	 70 	 233.287µs
0 	 71 	 227.589µs
0 	 72 	 269.091µs
0 	 73 	 266.384µs
0 	 74 	 265.259µs
0 	 75 	 264.164µs
0 	 76 	 236.419µs
0 	 77 	 288.944µs
0 	 78 	 260.334µs
0 	 79 	 251.602µs
0 	 80 	 287.534µs
0 	 81 	 271.371µs
0 	 82 	 268.149µs
0 	 83 	 271.036µs
0 	 84 	 304.684µs
0 	 85 	 302.676µs
0 	 86 	 306.226µs
0 	 87 	 256.759µs
0 	 88 	 306.541µs
0 	 89 	 286.166µs
0 	 90 	 280.968µs
0 	 91 	 264.947µs
0 	 92 	 261.277µs
0 	 93 	 302.413µs
0 	 94 	 252.999µs
0 	 95 	 269.877µs
0 	 96 	 253.994µs
0 	 97 	 256.074µs
0 	 98 	 259.784µs
0 	 99 	 249.009µs
0 	 100 	 259.149µs
0 	 101 	 255.872µs
0 	 102 	 237.632µs
0 	 103 	 278.054µs
0 	 104 	 266.696µs
0 	 105 	 259.559µs
0 	 106 	 251.69µs
0 	 107 	 256.397µs
0 	 108 	 225.922µs
0 	 109 	 222.352µs
0 	 110 	 224.367µs
0 	 111 	 215.599µs
0 	 112 	 233.647µs
