ConnID	RqstID	Latency
0 	 0 	 147.957µs
0 	 1 	 105.872µs
0 	 2 	 75.858µs
0 	 3 	 65.041µs
0 	 4 	 104.017µs
0 	 5 	 78.573µs
0 	 6 	 64.626µs
0 	 7 	 64.256µs
0 	 8 	 56.308µs
0 	 9 	 75.004µs
0 	 10 	 68.579µs
0 	 11 	 59.219µs
0 	 12 	 56.756µs
0 	 13 	 78.427µs
0 	 14 	 71.772µs
0 	 15 	 65.055µs
0 	 16 	 58.861µs
0 	 17 	 61.955µs
0 	 18 	 74.283µs
0 	 19 	 65.592µs
0 	 20 	 59.237µs
0 	 21 	 61.971µs
0 	 22 	 75.886µs
0 	 23 	 70.457µs
0 	 24 	 59.699µs
0 	 25 	 57.456µs
0 	 26 	 78.658µs
0 	 27 	 66.462µs
0 	 28 	 59.641µs
0 	 29 	 61.444µs
0 	 30 	 73.167µs
0 	 31 	 72.039µs
0 	 32 	 61.418µs
0 	 33 	 61.634µs
0 	 34 	 74.273µs
0 	 35 	 64.197µs
0 	 36 	 58.559µs
0 	 37 	 62.354µs
0 	 38 	 75.45µs
0 	 39 	 66.219µs
0 	 40 	 58.497µs
0 	 41 	 62.535µs
0 	 42 	 75.996µs
0 	 43 	 64.642µs
0 	 44 	 56.005µs
0 	 45 	 84.319µs
0 	 46 	 92.717µs
0 	 47 	 80.074µs
0 	 48 	 65.316µs
0 	 49 	 59.05µs
0 	 50 	 61.656µs
0 	 51 	 75.671µs
0 	 52 	 63.939µs
0 	 53 	 55.743µs
0 	 54 	 63.003µs
0 	 55 	 72.483µs
0 	 56 	 64.715µs
0 	 57 	 55.858µs
0 	 58 	 62.57µs
0 	 59 	 71.773µs
0 	 60 	 58.133µs
0 	 61 	 61.913µs
0 	 62 	 74.356µs
0 	 63 	 72.673µs
0 	 64 	 100.924µs
0 	 65 	 66.97µs
0 	 66 	 63.928µs
0 	 67 	 56.809µs
0 	 68 	 74.872µs
0 	 69 	 63.851µs
0 	 70 	 56.401µs
0 	 71 	 74.762µs
0 	 72 	 69.316µs
0 	 73 	 59.505µs
0 	 74 	 57.067µs
