10ms	1000 	 107.35µs 	 266.971µs 	 346.523µs 	 14.302µs 	 99.9959279558222 	 102395.83022676193 	 204791.66045352386
3ms	1000 	 156.514µs 	 272.617µs 	 357.253µs 	 24.664µs 	 333.2844316196299 	 341283.25797850103 	 682566.5159570021
1ms	1000 	 123.907µs 	 228.824µs 	 320.371µs 	 30.43µs 	 999.650985853403 	 1.0236426095138846e+06 	 2.0472852190277693e+06
300us	1000 	 96.086µs 	 159.772µs 	 325.941µs 	 24.261µs 	 3330.1381989369816 	 3.410061515711469e+06 	 6.820123031422938e+06
100us	1000 	 38.246µs 	 100.759µs 	 260.873µs 	 37.431µs 	 8942.391495413684 	 9.157008891303612e+06 	 1.8314017782607224e+07
30us	1000 	 38.299µs 	 101.261µs 	 1.199614ms 	 108.506µs 	 12072.21619040647 	 1.2361949378976226e+07 	 2.472389875795245e+07
10us	1000 	 41.832µs 	 90.932µs 	 323.596µs 	 26.594µs 	 14083.24748420388 	 1.4421245423824772e+07 	 2.8842490847649544e+07
3us	1000 	 46.585µs 	 82.437µs 	 341.633µs 	 20.883µs 	 14787.06967168905 	 1.5141959343809588e+07 	 3.0283918687619176e+07
1us	1000 	 34.48µs 	 66.874µs 	 280.629µs 	 27.143µs 	 15414.50648415069 	 1.5784454639770307e+07 	 3.1568909279540613e+07
300ns	1000 	 34.83µs 	 64.578µs 	 315.226µs 	 33.501µs 	 15565.79501223985 	 1.5939374092533607e+07 	 3.1878748185067214e+07
100ns	1000 	 33.631µs 	 54.921µs 	 304.369µs 	 24.569µs 	 16205.645230033624 	 1.6594580715554431e+07 	 3.3189161431108862e+07
30ns	1000 	 38.115µs 	 76.845µs 	 443.119µs 	 34.259µs 	 15448.971521798469 	 1.5819746838321632e+07 	 3.1639493676643264e+07
10ns	1000 	 39.59µs 	 62.996µs 	 325.27µs 	 28.486µs 	 15568.446159782761 	 1.5942088867617548e+07 	 3.1884177735235095e+07
3ns	1000 	 34.851µs 	 84.572µs 	 973.23µs 	 57.631µs 	 15262.408807679714 	 1.5628706619064027e+07 	 3.1257413238128055e+07
1ns	1000 	 37.634µs 	 74.709µs 	 301.268µs 	 28.738µs 	 15310.971730572033 	 1.5678435052105762e+07 	 3.1356870104211524e+07
0ns	1000 	 1.849437ms 	 6.222743ms 	 11.157408ms 	 2.943915ms 	 76153.62073912876 	 7.798130763686785e+07 	 1.559626152737357e+08
