ConnID	RqstID	Latency
0 	 0 	 98.512µs
0 	 1 	 205.854µs
0 	 2 	 255.365µs
0 	 3 	 189.931µs
0 	 4 	 205.63µs
0 	 5 	 215.898µs
0 	 6 	 256.609µs
0 	 7 	 203.775µs
0 	 8 	 200.59µs
0 	 9 	 179.524µs
0 	 10 	 257.202µs
0 	 11 	 203.475µs
0 	 12 	 205.8µs
0 	 13 	 209.316µs
0 	 14 	 228.5µs
0 	 15 	 193.852µs
0 	 16 	 196.474µs
0 	 17 	 209.767µs
0 	 18 	 291.738µs
0 	 19 	 232.993µs
0 	 20 	 210.309µs
0 	 21 	 199.093µs
0 	 22 	 249.994µs
0 	 23 	 216.428µs
0 	 24 	 217.785µs
0 	 25 	 213.26µs
0 	 26 	 231.615µs
0 	 27 	 233.977µs
0 	 28 	 235.025µs
0 	 29 	 239.822µs
0 	 30 	 228.072µs
0 	 31 	 247.047µs
0 	 32 	 237.992µs
0 	 33 	 186.267µs
0 	 34 	 202.862µs
0 	 35 	 185.278µs
0 	 36 	 217.185µs
0 	 37 	 220.521µs
0 	 38 	 237.101µs
0 	 39 	 235.049µs
0 	 40 	 222.119µs
0 	 41 	 197.078µs
0 	 42 	 220.837µs
0 	 43 	 236.147µs
0 	 44 	 223.029µs
0 	 45 	 215.506µs
0 	 46 	 229.958µs
0 	 47 	 227.905µs
0 	 48 	 221.615µs
0 	 49 	 254.285µs
0 	 50 	 238.194µs
0 	 51 	 235.009µs
0 	 52 	 221.522µs
0 	 53 	 237.61µs
0 	 54 	 219.082µs
0 	 55 	 214.651µs
0 	 56 	 221.468µs
0 	 57 	 255.529µs
0 	 58 	 267.216µs
0 	 59 	 269.324µs
0 	 60 	 267.553µs
0 	 61 	 256.617µs
0 	 62 	 267.216µs
0 	 63 	 247.957µs
0 	 64 	 239.049µs
0 	 65 	 221.989µs
0 	 66 	 217.592µs
0 	 67 	 230.062µs
0 	 68 	 226.382µs
0 	 69 	 236.974µs
0 	 70 	 271.397µs
0 	 71 	 272.734µs
0 	 72 	 265.586µs
0 	 73 	 275.546µs
0 	 74 	 264.024µs
0 	 75 	 257.391µs
0 	 76 	 266.146µs
0 	 77 	 265.322µs
0 	 78 	 237.094µs
0 	 79 	 264.379µs
0 	 80 	 256.879µs
0 	 81 	 233.897µs
0 	 82 	 250.772µs
0 	 83 	 229.992µs
0 	 84 	 231.859µs
0 	 85 	 253.666µs
0 	 86 	 223.954µs
0 	 87 	 234.802µs
0 	 88 	 240.959µs
0 	 89 	 234.117µs
0 	 90 	 234.204µs
0 	 91 	 203.987µs
0 	 92 	 235.797µs
0 	 93 	 249.657µs
0 	 94 	 235.909µs
0 	 95 	 235.215µs
0 	 96 	 235.914µs
0 	 97 	 231.924µs
0 	 98 	 228.847µs
0 	 99 	 225.032µs
0 	 100 	 220.595µs
0 	 101 	 223.044µs
0 	 102 	 249.671µs
0 	 103 	 237.657µs
0 	 104 	 234.637µs
0 	 105 	 225.142µs
0 	 106 	 225.859µs
0 	 107 	 233.929µs
0 	 108 	 242.399µs
0 	 109 	 236.361µs
0 	 110 	 235.459µs
0 	 111 	 222.222µs
0 	 112 	 234.629µs
0 	 113 	 258.989µs
0 	 114 	 236.807µs
0 	 115 	 235.662µs
0 	 116 	 236.904µs
0 	 117 	 227.487µs
0 	 118 	 225.314µs
0 	 119 	 221.279µs
0 	 120 	 234.894µs
0 	 121 	 226.904µs
0 	 122 	 227.497µs
0 	 123 	 216.779µs
0 	 124 	 226.475µs
0 	 125 	 195.48µs
0 	 126 	 231.942µs
0 	 127 	 238.946µs
0 	 128 	 227.452µs
0 	 129 	 227.092µs
0 	 130 	 250.774µs
0 	 131 	 253.847µs
0 	 132 	 253.837µs
0 	 133 	 252.536µs
0 	 134 	 232.552µs
0 	 135 	 247.684µs
0 	 136 	 254.491µs
0 	 137 	 252.127µs
0 	 138 	 220.917µs
0 	 139 	 249.642µs
0 	 140 	 252.879µs
0 	 141 	 231.95µs
0 	 142 	 250.054µs
0 	 143 	 246.814µs
0 	 144 	 255.574µs
0 	 145 	 264.117µs
0 	 146 	 231.391µs
0 	 147 	 223.704µs
0 	 148 	 224.689µs
0 	 149 	 222.489µs
0 	 150 	 222.771µs
0 	 151 	 246.504µs
0 	 152 	 234.574µs
0 	 153 	 233.359µs
0 	 154 	 234.596µs
0 	 155 	 237.717µs
0 	 156 	 240.454µs
0 	 157 	 238.719µs
0 	 158 	 298.556µs
0 	 159 	 285.421µs
0 	 160 	 262.684µs
0 	 161 	 264.576µs
0 	 162 	 268.886µs
0 	 163 	 224.202µs
0 	 164 	 226.104µs
0 	 165 	 246.661µs
0 	 166 	 284.181µs
0 	 167 	 223.749µs
0 	 168 	 221.802µs
0 	 169 	 236.197µs
0 	 170 	 293.698µs
0 	 171 	 275.841µs
0 	 172 	 274.966µs
0 	 173 	 267.191µs
0 	 174 	 263.69µs
0 	 175 	 251.386µs
0 	 176 	 232.778µs
0 	 177 	 256.839µs
0 	 178 	 229.396µs
0 	 179 	 240.332µs
0 	 180 	 226.792µs
0 	 181 	 205.395µs
0 	 182 	 232.208µs
0 	 183 	 282.451µs
0 	 184 	 234.142µs
0 	 185 	 225.722µs
0 	 186 	 238.392µs
0 	 187 	 218.742µs
0 	 188 	 220.777µs
