ConnID	RqstID	Latency
0 	 0 	 132.177µs
0 	 1 	 121.839µs
0 	 2 	 122.249µs
0 	 3 	 194.663µs
0 	 4 	 120.774µs
0 	 5 	 121.777µs
0 	 6 	 68.549µs
0 	 7 	 48.926µs
0 	 8 	 46.612µs
0 	 9 	 50.861µs
0 	 10 	 44.521µs
0 	 11 	 55.858µs
0 	 12 	 44.442µs
0 	 13 	 43.038µs
0 	 14 	 47.489µs
0 	 15 	 42.476µs
0 	 16 	 52.197µs
0 	 17 	 42.185µs
0 	 18 	 56.85µs
0 	 19 	 41.886µs
0 	 20 	 44.904µs
0 	 21 	 53.375µs
0 	 22 	 45.382µs
0 	 23 	 55.065µs
0 	 24 	 44.678µs
0 	 25 	 55.935µs
0 	 26 	 44.323µs
0 	 27 	 55.288µs
0 	 28 	 44.475µs
0 	 29 	 55.87µs
0 	 30 	 44.666µs
0 	 31 	 50.84µs
0 	 32 	 54.16µs
0 	 33 	 42.244µs
0 	 34 	 44.958µs
0 	 35 	 44.477µs
0 	 36 	 44.711µs
0 	 37 	 48.629µs
0 	 38 	 44.165µs
0 	 39 	 54.883µs
0 	 40 	 45.059µs
0 	 41 	 42.592µs
0 	 42 	 50.192µs
0 	 43 	 42.592µs
0 	 44 	 51.575µs
0 	 45 	 41.957µs
0 	 46 	 56.331µs
0 	 47 	 41.874µs
0 	 48 	 44.859µs
0 	 49 	 44.265µs
0 	 50 	 44.582µs
0 	 51 	 48.886µs
0 	 52 	 44.105µs
0 	 53 	 55.15µs
0 	 54 	 44.357µs
0 	 55 	 55.506µs
0 	 56 	 44.461µs
0 	 57 	 55.67µs
0 	 58 	 44.57µs
0 	 59 	 42.253µs
0 	 60 	 46.709µs
0 	 61 	 42.33µs
0 	 62 	 51.757µs
0 	 63 	 49.143µs
0 	 64 	 60.152µs
0 	 65 	 42.504µs
0 	 66 	 44.941µs
0 	 67 	 44.421µs
0 	 68 	 44.652µs
0 	 69 	 48.444µs
0 	 70 	 44.045µs
0 	 71 	 55.035µs
0 	 72 	 44.249µs
0 	 73 	 55.538µs
0 	 74 	 44.22µs
0 	 75 	 54.827µs
0 	 76 	 44.031µs
0 	 77 	 56.007µs
0 	 78 	 44.264µs
0 	 79 	 42.317µs
0 	 80 	 393.356µs
0 	 81 	 131.061µs
