ConnID	RqstID	Latency
0 	 0 	 65.869µs
0 	 1 	 113.658µs
0 	 2 	 101.403µs
0 	 3 	 107.158µs
0 	 4 	 108.822µs
0 	 5 	 105.424µs
0 	 6 	 111.192µs
0 	 7 	 107.458µs
0 	 8 	 104.238µs
0 	 9 	 102.826µs
0 	 10 	 107.746µs
0 	 11 	 105.85µs
0 	 12 	 112.218µs
0 	 13 	 105.387µs
0 	 14 	 146.812µs
0 	 15 	 145.357µs
0 	 16 	 142.107µs
0 	 17 	 151.009µs
0 	 18 	 147.052µs
0 	 19 	 141.152µs
0 	 20 	 138.163µs
0 	 21 	 143.629µs
0 	 22 	 146.912µs
0 	 23 	 135.146µs
0 	 24 	 133.645µs
0 	 25 	 207.905µs
0 	 26 	 244.045µs
0 	 27 	 235.004µs
0 	 28 	 181.246µs
0 	 29 	 176.074µs
0 	 30 	 230.849µs
0 	 31 	 306.738µs
0 	 32 	 247.347µs
0 	 33 	 130.393µs
0 	 34 	 223.677µs
0 	 35 	 234.008µs
0 	 36 	 200.745µs
0 	 37 	 228.966µs
0 	 38 	 229.497µs
0 	 39 	 238.972µs
0 	 40 	 246.154µs
0 	 41 	 223.737µs
0 	 42 	 214.752µs
0 	 43 	 202.088µs
0 	 44 	 193.47µs
0 	 45 	 223.089µs
0 	 46 	 167.713µs
0 	 47 	 187.722µs
0 	 48 	 183.66µs
0 	 49 	 179.777µs
0 	 50 	 178.516µs
0 	 51 	 182.111µs
0 	 52 	 181.817µs
0 	 53 	 173.58µs
0 	 54 	 177.532µs
0 	 55 	 181.33µs
0 	 56 	 180.242µs
0 	 57 	 173.34µs
0 	 58 	 164.366µs
0 	 59 	 168.572µs
0 	 60 	 190.775µs
0 	 61 	 195.854µs
0 	 62 	 180.353µs
0 	 63 	 187.679µs
0 	 64 	 180.792µs
0 	 65 	 196.308µs
0 	 66 	 173.451µs
0 	 67 	 193.39µs
0 	 68 	 186.784µs
0 	 69 	 185.198µs
0 	 70 	 194.195µs
0 	 71 	 181.123µs
0 	 72 	 200.333µs
0 	 73 	 190.027µs
0 	 74 	 205.454µs
0 	 75 	 185.468µs
0 	 76 	 179.355µs
0 	 77 	 180.568µs
0 	 78 	 185.825µs
0 	 79 	 186.392µs
0 	 80 	 185.852µs
0 	 81 	 185.48µs
0 	 82 	 190.254µs
0 	 83 	 201.527µs
0 	 84 	 196.939µs
0 	 85 	 202.055µs
0 	 86 	 210.98µs
0 	 87 	 255.339µs
0 	 88 	 208.105µs
0 	 89 	 246.394µs
0 	 90 	 197.477µs
0 	 91 	 216.087µs
0 	 92 	 204.322µs
0 	 93 	 249.796µs
0 	 94 	 223.107µs
0 	 95 	 202.708µs
0 	 96 	 216.034µs
0 	 97 	 177.408µs
0 	 98 	 208.627µs
0 	 99 	 190.023µs
0 	 100 	 188.299µs
0 	 101 	 189.188µs
0 	 102 	 161.024µs
0 	 103 	 185.093µs
0 	 104 	 189.231µs
0 	 105 	 188.714µs
0 	 106 	 185.961µs
0 	 107 	 186.751µs
0 	 108 	 179.388µs
0 	 109 	 215.878µs
0 	 110 	 176.544µs
0 	 111 	 223.384µs
0 	 112 	 244.443µs
0 	 113 	 203.247µs
0 	 114 	 206.315µs
0 	 115 	 252.429µs
0 	 116 	 203.405µs
0 	 117 	 215.057µs
0 	 118 	 252.049µs
0 	 119 	 203.212µs
0 	 120 	 205.33µs
0 	 121 	 231.562µs
0 	 122 	 204.76µs
0 	 123 	 205.394µs
