ConnID	RqstID	Latency
0 	 0 	 69.887µs
0 	 1 	 152.287µs
0 	 2 	 162.589µs
0 	 3 	 162.955µs
0 	 4 	 160.807µs
0 	 5 	 159.863µs
0 	 6 	 131.767µs
0 	 7 	 90.086µs
0 	 8 	 66.084µs
0 	 9 	 147.595µs
0 	 10 	 159.116µs
0 	 11 	 165.24µs
0 	 12 	 160.098µs
0 	 13 	 60.806µs
0 	 14 	 56.928µs
0 	 15 	 56.524µs
0 	 16 	 56.704µs
0 	 17 	 52.238µs
0 	 18 	 59.005µs
0 	 19 	 47.184µs
0 	 20 	 46.666µs
0 	 21 	 37.599µs
0 	 22 	 42.618µs
0 	 23 	 36.875µs
0 	 24 	 44.684µs
0 	 25 	 37.065µs
0 	 26 	 42.774µs
0 	 27 	 36.738µs
0 	 28 	 36.397µs
0 	 29 	 36.143µs
0 	 30 	 36.606µs
0 	 31 	 45.051µs
0 	 32 	 44.102µs
0 	 33 	 37.018µs
0 	 34 	 36.667µs
0 	 35 	 36.612µs
0 	 36 	 36.23µs
0 	 37 	 36.2µs
0 	 38 	 36.527µs
0 	 39 	 35.973µs
0 	 40 	 36.288µs
0 	 41 	 36.105µs
0 	 42 	 36.161µs
0 	 43 	 36.168µs
0 	 44 	 36.278µs
0 	 45 	 36.518µs
0 	 46 	 36.51µs
0 	 47 	 36.235µs
0 	 48 	 36.253µs
0 	 49 	 36.113µs
0 	 50 	 36.448µs
0 	 51 	 36.097µs
0 	 52 	 36.028µs
0 	 53 	 36.136µs
0 	 54 	 36.474µs
0 	 55 	 39.176µs
0 	 56 	 36.619µs
0 	 57 	 36.291µs
0 	 58 	 36.423µs
0 	 59 	 35.965µs
0 	 60 	 36.238µs
0 	 61 	 39.257µs
0 	 62 	 36.305µs
0 	 63 	 42.884µs
0 	 64 	 37.987µs
0 	 65 	 42.886µs
0 	 66 	 37.039µs
0 	 67 	 36.598µs
0 	 68 	 36.258µs
0 	 69 	 36.07µs
0 	 70 	 36.327µs
0 	 71 	 36.101µs
0 	 72 	 36.721µs
0 	 73 	 40.689µs
0 	 74 	 37.598µs
0 	 75 	 67.919µs
0 	 76 	 37.639µs
0 	 77 	 36.013µs
0 	 78 	 40.764µs
0 	 79 	 36.96µs
0 	 80 	 36.726µs
0 	 81 	 36.363µs
0 	 82 	 36.203µs
0 	 83 	 36.244µs
0 	 84 	 36.017µs
0 	 85 	 36.23µs
0 	 86 	 36.067µs
0 	 87 	 35.898µs
0 	 88 	 36.337µs
0 	 89 	 36.505µs
0 	 90 	 36.178µs
0 	 91 	 36.108µs
0 	 92 	 36.31µs
0 	 93 	 36.524µs
0 	 94 	 36.284µs
0 	 95 	 46.195µs
0 	 96 	 37.734µs
0 	 97 	 42.673µs
0 	 98 	 36.678µs
0 	 99 	 36.665µs
0 	 100 	 36.361µs
0 	 101 	 36.117µs
0 	 102 	 35.812µs
0 	 103 	 35.704µs
0 	 104 	 35.928µs
0 	 105 	 35.812µs
0 	 106 	 36.492µs
0 	 107 	 35.952µs
0 	 108 	 35.905µs
0 	 109 	 36.167µs
0 	 110 	 36.356µs
0 	 111 	 36.139µs
0 	 112 	 36.016µs
0 	 113 	 35.979µs
0 	 114 	 36.083µs
0 	 115 	 36.033µs
0 	 116 	 38.942µs
0 	 117 	 36.651µs
0 	 118 	 35.683µs
0 	 119 	 35.794µs
0 	 120 	 39.327µs
0 	 121 	 36.196µs
0 	 122 	 36.163µs
0 	 123 	 36.078µs
0 	 124 	 36.183µs
0 	 125 	 36.137µs
0 	 126 	 36.226µs
0 	 127 	 42.715µs
0 	 128 	 37.817µs
0 	 129 	 36.322µs
0 	 130 	 35.896µs
0 	 131 	 36.121µs
0 	 132 	 35.803µs
0 	 133 	 35.726µs
0 	 134 	 36.078µs
0 	 135 	 36.17µs
0 	 136 	 36.168µs
0 	 137 	 36.002µs
0 	 138 	 36.13µs
0 	 139 	 36.684µs
0 	 140 	 36.06µs
0 	 141 	 36.048µs
0 	 142 	 40.128µs
0 	 143 	 36.648µs
0 	 144 	 36.328µs
0 	 145 	 35.972µs
0 	 146 	 36.104µs
0 	 147 	 36.217µs
0 	 148 	 35.921µs
0 	 149 	 35.839µs
0 	 150 	 36.063µs
0 	 151 	 39.713µs
0 	 152 	 36.413µs
0 	 153 	 36.261µs
0 	 154 	 36.066µs
0 	 155 	 36.092µs
0 	 156 	 35.985µs
0 	 157 	 39.055µs
0 	 158 	 36.284µs
0 	 159 	 42.493µs
0 	 160 	 37.447µs
0 	 161 	 39.335µs
0 	 162 	 36.37µs
0 	 163 	 36.353µs
0 	 164 	 36.085µs
0 	 165 	 36.281µs
0 	 166 	 35.878µs
0 	 167 	 36.011µs
0 	 168 	 35.933µs
0 	 169 	 35.854µs
0 	 170 	 35.883µs
0 	 171 	 37.013µs
0 	 172 	 36.134µs
0 	 173 	 35.828µs
0 	 174 	 35.714µs
0 	 175 	 39.935µs
0 	 176 	 36.345µs
0 	 177 	 36.06µs
0 	 178 	 35.984µs
0 	 179 	 36.279µs
0 	 180 	 36.38µs
0 	 181 	 35.965µs
0 	 182 	 43.297µs
0 	 183 	 190.259µs
0 	 184 	 40.885µs
0 	 185 	 39.676µs
0 	 186 	 36.584µs
0 	 187 	 39.813µs
0 	 188 	 36.261µs
0 	 189 	 36.129µs
0 	 190 	 35.752µs
0 	 191 	 43.892µs
0 	 192 	 39.232µs
0 	 193 	 42.999µs
0 	 194 	 37.456µs
0 	 195 	 36.866µs
0 	 196 	 36.65µs
0 	 197 	 36.166µs
0 	 198 	 36.147µs
0 	 199 	 36.141µs
0 	 200 	 36.092µs
0 	 201 	 35.997µs
0 	 202 	 35.997µs
0 	 203 	 36.008µs
0 	 204 	 36.07µs
0 	 205 	 36.229µs
0 	 206 	 40.388µs
0 	 207 	 36.565µs
0 	 208 	 35.847µs
0 	 209 	 36.098µs
0 	 210 	 35.978µs
0 	 211 	 35.832µs
0 	 212 	 38.853µs
0 	 213 	 36.419µs
0 	 214 	 36.087µs
0 	 215 	 36.075µs
0 	 216 	 35.843µs
0 	 217 	 35.684µs
0 	 218 	 35.885µs
0 	 219 	 35.954µs
0 	 220 	 39.078µs
0 	 221 	 36.128µs
0 	 222 	 35.851µs
0 	 223 	 41.9µs
0 	 224 	 37.395µs
0 	 225 	 36.821µs
0 	 226 	 35.722µs
0 	 227 	 35.801µs
0 	 228 	 35.964µs
0 	 229 	 35.93µs
0 	 230 	 35.954µs
0 	 231 	 36.102µs
0 	 232 	 35.925µs
0 	 233 	 36.264µs
0 	 234 	 36.38µs
0 	 235 	 35.877µs
0 	 236 	 36.01µs
0 	 237 	 35.873µs
0 	 238 	 35.765µs
0 	 239 	 38.697µs
0 	 240 	 36.31µs
0 	 241 	 35.671µs
0 	 242 	 35.826µs
0 	 243 	 36.161µs
0 	 244 	 35.901µs
0 	 245 	 39.261µs
0 	 246 	 35.852µs
0 	 247 	 35.797µs
0 	 248 	 35.636µs
0 	 249 	 35.791µs
0 	 250 	 35.829µs
0 	 251 	 36.198µs
0 	 252 	 36.292µs
0 	 253 	 36.785µs
0 	 254 	 36.701µs
0 	 255 	 44.312µs
0 	 256 	 38.55µs
0 	 257 	 36.937µs
0 	 258 	 36.866µs
0 	 259 	 36.551µs
0 	 260 	 36.283µs
0 	 261 	 36.428µs
0 	 262 	 36.339µs
0 	 263 	 36.176µs
0 	 264 	 35.992µs
0 	 265 	 36.116µs
0 	 266 	 35.899µs
0 	 267 	 35.837µs
0 	 268 	 36.236µs
0 	 269 	 36.198µs
0 	 270 	 40.115µs
0 	 271 	 36.22µs
0 	 272 	 36.224µs
0 	 273 	 36.084µs
0 	 274 	 35.99µs
0 	 275 	 36.041µs
0 	 276 	 36.102µs
0 	 277 	 39.62µs
0 	 278 	 36.186µs
0 	 279 	 36.269µs
0 	 280 	 36.091µs
0 	 281 	 36.521µs
0 	 282 	 39.477µs
0 	 283 	 35.791µs
0 	 284 	 35.875µs
0 	 285 	 36.058µs
0 	 286 	 334.887µs
0 	 287 	 152.416µs
0 	 288 	 176.765µs
0 	 289 	 236.827µs
0 	 290 	 218.858µs
0 	 291 	 205.931µs
0 	 292 	 180.088µs
0 	 293 	 195.805µs
0 	 294 	 168.603µs
0 	 295 	 137.463µs
0 	 296 	 147.07µs
0 	 297 	 132.841µs
0 	 298 	 134.514µs
0 	 299 	 134.681µs
0 	 300 	 138.109µs
0 	 301 	 134.613µs
0 	 302 	 135.586µs
0 	 303 	 124.195µs
0 	 304 	 129.583µs
0 	 305 	 129.976µs
0 	 306 	 134.741µs
0 	 307 	 129.918µs
0 	 308 	 133.211µs
0 	 309 	 130.354µs
0 	 310 	 59.49µs
0 	 311 	 50.43µs
0 	 312 	 119.1µs
0 	 313 	 113.547µs
0 	 314 	 125.588µs
0 	 315 	 133.145µs
0 	 316 	 133.399µs
0 	 317 	 134.432µs
0 	 318 	 59.872µs
0 	 319 	 59.108µs
0 	 320 	 54.831µs
0 	 321 	 49.851µs
0 	 322 	 48.734µs
0 	 323 	 42.97µs
0 	 324 	 40.032µs
0 	 325 	 36.128µs
0 	 326 	 36.115µs
0 	 327 	 36.043µs
0 	 328 	 36.134µs
0 	 329 	 35.88µs
0 	 330 	 36.201µs
0 	 331 	 35.98µs
0 	 332 	 36.551µs
0 	 333 	 36.25µs
0 	 334 	 42.985µs
0 	 335 	 36.677µs
0 	 336 	 36.091µs
0 	 337 	 35.785µs
0 	 338 	 35.838µs
0 	 339 	 35.758µs
0 	 340 	 35.827µs
0 	 341 	 35.706µs
0 	 342 	 36.671µs
0 	 343 	 35.898µs
0 	 344 	 36.136µs
0 	 345 	 36.175µs
0 	 346 	 36.042µs
0 	 347 	 35.836µs
0 	 348 	 39.105µs
0 	 349 	 36.264µs
0 	 350 	 36.101µs
0 	 351 	 42.571µs
0 	 352 	 40.944µs
0 	 353 	 36.549µs
0 	 354 	 36.388µs
0 	 355 	 35.908µs
0 	 356 	 36.203µs
0 	 357 	 35.895µs
0 	 358 	 36.115µs
0 	 359 	 36.051µs
0 	 360 	 36.332µs
0 	 361 	 35.993µs
0 	 362 	 35.768µs
0 	 363 	 35.975µs
0 	 364 	 35.953µs
0 	 365 	 35.985µs
0 	 366 	 35.74µs
0 	 367 	 39.191µs
0 	 368 	 36.215µs
0 	 369 	 36.092µs
0 	 370 	 36.025µs
0 	 371 	 35.895µs
0 	 372 	 36.189µs
0 	 373 	 39.138µs
0 	 374 	 35.92µs
0 	 375 	 35.605µs
0 	 376 	 35.848µs
0 	 377 	 35.703µs
0 	 378 	 36.335µs
0 	 379 	 39.706µs
0 	 380 	 36.497µs
0 	 381 	 35.961µs
0 	 382 	 35.907µs
0 	 383 	 45.64µs
0 	 384 	 38.238µs
0 	 385 	 39.955µs
0 	 386 	 36.473µs
0 	 387 	 36.055µs
0 	 388 	 36.144µs
0 	 389 	 36.457µs
0 	 390 	 36.418µs
0 	 391 	 36.037µs
0 	 392 	 35.832µs
0 	 393 	 36.048µs
0 	 394 	 35.863µs
0 	 395 	 35.658µs
0 	 396 	 35.878µs
0 	 397 	 35.651µs
0 	 398 	 39.193µs
0 	 399 	 36.189µs
0 	 400 	 36.137µs
0 	 401 	 36.062µs
0 	 402 	 35.86µs
0 	 403 	 40.25µs
0 	 404 	 38.466µs
0 	 405 	 36.419µs
0 	 406 	 36.19µs
0 	 407 	 35.756µs
0 	 408 	 35.537µs
0 	 409 	 35.628µs
0 	 410 	 39.052µs
0 	 411 	 36.638µs
0 	 412 	 35.948µs
0 	 413 	 35.383µs
0 	 414 	 35.328µs
0 	 415 	 41.425µs
0 	 416 	 37.587µs
0 	 417 	 36.001µs
0 	 418 	 35.815µs
0 	 419 	 35.761µs
0 	 420 	 35.857µs
0 	 421 	 35.9µs
0 	 422 	 36.158µs
0 	 423 	 36.092µs
0 	 424 	 39.104µs
0 	 425 	 35.867µs
0 	 426 	 35.971µs
0 	 427 	 36.119µs
0 	 428 	 36.371µs
0 	 429 	 35.779µs
0 	 430 	 35.784µs
0 	 431 	 35.822µs
0 	 432 	 35.797µs
0 	 433 	 39.177µs
0 	 434 	 36.188µs
0 	 435 	 35.768µs
0 	 436 	 35.885µs
0 	 437 	 35.704µs
0 	 438 	 35.915µs
0 	 439 	 35.963µs
0 	 440 	 35.685µs
0 	 441 	 35.664µs
0 	 442 	 36.006µs
0 	 443 	 35.803µs
0 	 444 	 35.973µs
0 	 445 	 39.422µs
0 	 446 	 35.718µs
0 	 447 	 41.542µs
0 	 448 	 37.573µs
0 	 449 	 39.477µs
0 	 450 	 35.868µs
0 	 451 	 35.995µs
0 	 452 	 36.371µs
0 	 453 	 36.418µs
0 	 454 	 36.531µs
0 	 455 	 36.594µs
0 	 456 	 36.742µs
0 	 457 	 36.309µs
0 	 458 	 35.617µs
0 	 459 	 35.758µs
0 	 460 	 38.794µs
0 	 461 	 36.038µs
0 	 462 	 39.522µs
0 	 463 	 36.498µs
0 	 464 	 35.484µs
0 	 465 	 35.607µs
0 	 466 	 35.998µs
0 	 467 	 35.985µs
0 	 468 	 35.738µs
0 	 469 	 35.771µs
0 	 470 	 35.714µs
0 	 471 	 35.596µs
0 	 472 	 35.623µs
0 	 473 	 35.897µs
0 	 474 	 35.652µs
0 	 475 	 40.651µs
0 	 476 	 39.853µs
0 	 477 	 36.233µs
0 	 478 	 36.051µs
0 	 479 	 41.351µs
0 	 480 	 41.152µs
0 	 481 	 42.811µs
0 	 482 	 39.848µs
0 	 483 	 36.151µs
0 	 484 	 36.277µs
0 	 485 	 35.734µs
0 	 486 	 35.678µs
0 	 487 	 35.889µs
0 	 488 	 36.19µs
0 	 489 	 38.914µs
0 	 490 	 35.958µs
0 	 491 	 35.65µs
0 	 492 	 35.947µs
0 	 493 	 38.734µs
0 	 494 	 35.695µs
0 	 495 	 35.675µs
0 	 496 	 35.612µs
0 	 497 	 39.144µs
0 	 498 	 35.995µs
0 	 499 	 35.72µs
0 	 500 	 35.609µs
0 	 501 	 36.073µs
0 	 502 	 35.814µs
0 	 503 	 35.743µs
0 	 504 	 38.791µs
0 	 505 	 35.96µs
0 	 506 	 35.89µs
0 	 507 	 35.828µs
0 	 508 	 36.622µs
0 	 509 	 36.718µs
0 	 510 	 36.299µs
0 	 511 	 41.982µs
0 	 512 	 285.968µs
0 	 513 	 44.45µs
0 	 514 	 42.192µs
0 	 515 	 37.068µs
0 	 516 	 36.967µs
0 	 517 	 36.729µs
0 	 518 	 35.737µs
0 	 519 	 36.147µs
0 	 520 	 35.9µs
0 	 521 	 36.313µs
0 	 522 	 36.961µs
0 	 523 	 36.132µs
0 	 524 	 35.784µs
0 	 525 	 35.924µs
0 	 526 	 39.954µs
0 	 527 	 36.775µs
0 	 528 	 36.084µs
