ConnID	RqstID	Latency
0 	 0 	 265.812µs
0 	 1 	 416.175µs
0 	 2 	 389.599µs
0 	 3 	 379.483µs
0 	 4 	 329.08µs
0 	 5 	 329.607µs
0 	 6 	 332.035µs
0 	 7 	 440.836µs
0 	 8 	 444.819µs
0 	 9 	 528.331µs
0 	 10 	 398.27µs
0 	 11 	 397.086µs
0 	 12 	 392.164µs
0 	 13 	 391.244µs
0 	 14 	 421.315µs
0 	 15 	 414.014µs
0 	 16 	 419.564µs
0 	 17 	 458.487µs
0 	 18 	 393.544µs
0 	 19 	 396.071µs
0 	 20 	 381.599µs
0 	 21 	 496.204µs
0 	 22 	 357.221µs
0 	 23 	 395.959µs
0 	 24 	 392.764µs
0 	 25 	 377.126µs
0 	 26 	 377.811µs
0 	 27 	 387.643µs
0 	 28 	 407.97µs
0 	 29 	 374.673µs
0 	 30 	 349.595µs
0 	 31 	 389.21µs
0 	 32 	 357.319µs
0 	 33 	 349.047µs
0 	 34 	 358.102µs
0 	 35 	 321.529µs
0 	 36 	 379.311µs
0 	 37 	 378.434µs
0 	 38 	 382.406µs
0 	 39 	 377.16µs
0 	 40 	 383.423µs
0 	 41 	 380.932µs
0 	 42 	 375.473µs
0 	 43 	 364.121µs
0 	 44 	 388.764µs
0 	 45 	 505.837µs
0 	 46 	 379.84µs
0 	 47 	 355.324µs
0 	 48 	 356.086µs
0 	 49 	 365.179µs
0 	 50 	 357.676µs
0 	 51 	 367.888µs
0 	 52 	 350.062µs
0 	 53 	 358.714µs
0 	 54 	 352.721µs
0 	 55 	 380.254µs
0 	 56 	 380.263µs
0 	 57 	 378.335µs
0 	 58 	 395.659µs
0 	 59 	 391.622µs
0 	 60 	 396.732µs
0 	 61 	 385.884µs
0 	 62 	 406.851µs
0 	 63 	 438.472µs
0 	 64 	 377.461µs
0 	 65 	 381.395µs
0 	 66 	 377.525µs
0 	 67 	 380.302µs
0 	 68 	 387.663µs
0 	 69 	 381.997µs
0 	 70 	 377.098µs
0 	 71 	 388.43µs
0 	 72 	 415.138µs
0 	 73 	 424.324µs
0 	 74 	 411.655µs
0 	 75 	 424.663µs
0 	 76 	 430.383µs
0 	 77 	 391.507µs
0 	 78 	 380.505µs
0 	 79 	 395.205µs
0 	 80 	 420.9µs
0 	 81 	 419.292µs
0 	 82 	 433.925µs
0 	 83 	 423.416µs
0 	 84 	 417.149µs
0 	 85 	 414.006µs
0 	 86 	 381.702µs
0 	 87 	 449.04µs
0 	 88 	 372.9µs
0 	 89 	 371.446µs
0 	 90 	 375.417µs
0 	 91 	 369.146µs
0 	 92 	 365.738µs
0 	 93 	 372.974µs
0 	 94 	 370.892µs
0 	 95 	 371.682µs
0 	 96 	 412.096µs
0 	 97 	 367.233µs
0 	 98 	 373.498µs
0 	 99 	 373.599µs
0 	 100 	 373.923µs
0 	 101 	 370.692µs
0 	 102 	 342.587µs
0 	 103 	 391.692µs
0 	 104 	 373.968µs
0 	 105 	 505.255µs
0 	 106 	 368.569µs
0 	 107 	 380.608µs
0 	 108 	 399.522µs
0 	 109 	 372.682µs
0 	 110 	 366.041µs
