10ms	1000 	 226.345µs 	 492.836µs 	 723.488µs 	 44.075µs 	 99.99049341383774 	 102390.26525576985 	 204780.5305115397
3ms	1000 	 348.026µs 	 432.229µs 	 573.327µs 	 20.896µs 	 333.25633923282777 	 341254.49137441564 	 682508.9827488313
1ms	1000 	 271.226µs 	 363.024µs 	 522.498µs 	 33.881µs 	 999.1539234516986 	 1.0231336176145393e+06 	 2.0462672352290787e+06
300us	1000 	 146.49µs 	 304.311µs 	 564.282µs 	 55.288µs 	 3316.5195740487784 	 3.396116043825949e+06 	 6.792232087651898e+06
100us	1000 	 99.636µs 	 179.586µs 	 1.150139ms 	 58.881µs 	 8820.72032366116 	 9.032417611429028e+06 	 1.8064835222858056e+07
30us	1000 	 94.333µs 	 207.198µs 	 1.846603ms 	 179.98µs 	 11457.232842249601 	 1.1732206430463592e+07 	 2.3464412860927183e+07
10us	1000 	 89.2µs 	 167.015µs 	 475.811µs 	 55.138µs 	 13844.190803794134 	 1.4176451383085193e+07 	 2.8352902766170386e+07
3us	1000 	 85.822µs 	 152.011µs 	 683.194µs 	 55.679µs 	 15124.206563327903 	 1.5487187520847773e+07 	 3.0974375041695546e+07
1us	1000 	 89.277µs 	 172.498µs 	 843.232µs 	 64.165µs 	 13289.691934176317 	 1.3608644540596548e+07 	 2.7217289081193097e+07
300ns	1000 	 93.357µs 	 177.679µs 	 506.391µs 	 51.726µs 	 12853.983109377743 	 1.3162478704002809e+07 	 2.6324957408005618e+07
100ns	1000 	 85.982µs 	 147.334µs 	 463.004µs 	 46.884µs 	 15663.80266565967 	 1.6039733929635502e+07 	 3.2079467859271005e+07
30ns	1000 	 85.45µs 	 144.81µs 	 510.517µs 	 46.888µs 	 15811.479602211002 	 1.6190955112664066e+07 	 3.2381910225328133e+07
10ns	1000 	 84.673µs 	 151.175µs 	 484.32µs 	 50.186µs 	 15572.71606575137 	 1.5946461251329403e+07 	 3.1892922502658807e+07
3ns	1000 	 91.649µs 	 176.763µs 	 589.906µs 	 57.135µs 	 13559.149028349346 	 1.388456860502973e+07 	 2.776913721005946e+07
1ns	1000 	 90.659µs 	 161.152µs 	 617.341µs 	 49.786µs 	 14946.681748466417 	 1.5305402110429611e+07 	 3.0610804220859222e+07
0ns	1000 	 1.660988ms 	 2.742763ms 	 3.950634ms 	 730.117µs 	 157730.0500666725 	 1.6151557126827264e+08 	 3.230311425365453e+08
