16	1000 	 301.701µs 	 399.853µs 	 578.091µs 	 37.173µs 	 999.3047347301164 	 127911.0060454549 	 2.0465760967272783e+06
32	1000 	 307.607µs 	 419.457µs 	 547.435µs 	 38.39µs 	 999.3471544856948 	 255832.87154833786 	 2.046662972386703e+06
64	1000 	 285.171µs 	 386.978µs 	 685.313µs 	 33.044µs 	 999.3463365553763 	 511665.32431635266 	 2.0466612972654107e+06
128	1000 	 300.919µs 	 415.013µs 	 647.46µs 	 40.529µs 	 999.3282136003457 	 1.023312090726754e+06 	 2.046624181453508e+06
256	1000 	 309.857µs 	 396.373µs 	 707.859µs 	 41.069µs 	 999.1820855316972 	 2.046324911168916e+06 	 2.046324911168916e+06
512	1000 	 320.963µs 	 412.464µs 	 623.432µs 	 39.713µs 	 999.2228843783612 	 4.0928169344137674e+06 	 2.0464084672068837e+06
1024	1000 	 286.091µs 	 393.547µs 	 584.036µs 	 35.476µs 	 999.3876462069273 	 8.186983597727149e+06 	 2.0467458994317872e+06
2048	1000 	 311.941µs 	 389.002µs 	 1.434169ms 	 51.924µs 	 999.2837124356424 	 1.6372264344545566e+07 	 2.0465330430681957e+06
4096	1000 	 368.615µs 	 588.047µs 	 12.66196ms 	 1.000175ms 	 999.3827262622104 	 3.274777317416011e+07 	 2.046735823385007e+06
8192	1000 	 361.097µs 	 495.813µs 	 1.462808ms 	 55.323µs 	 999.3011557248634 	 6.549020054158465e+07 	 2.0465687669245203e+06
16384	1000 	 408.662µs 	 560.879µs 	 1.60513ms 	 79.196µs 	 999.3936748532224 	 1.3099252775036156e+08 	 2.0467582460993994e+06
32768	1000 	 442.036µs 	 581.515µs 	 1.631673ms 	 111.307µs 	 999.4042521270944 	 2.6198782826960504e+08 	 2.0467799083562894e+06
65536	1000 	 724.879µs 	 837.398µs 	 1.777476ms 	 136.609µs 	 999.3838698503986 	 5.239649703561258e+08 	 2.0467381654536163e+06
131072	1000 	 2.258611ms 	 22.891259ms 	 29.840402ms 	 5.797268ms 	 895.9381365181292 	 9.394592274376339e+08 	 1.8348813035891287e+06
262144	1000 	 4.697335ms 	 25.725966ms 	 31.315401ms 	 3.710336ms 	 447.4191992815901 	 9.383060686117853e+08 	 916314.5201286966
