ConnID	RqstID	Latency
0 	 0 	 233.9µs
0 	 1 	 281.939µs
0 	 2 	 240.205µs
0 	 3 	 237.006µs
0 	 4 	 249.261µs
0 	 5 	 252.267µs
0 	 6 	 219.854µs
0 	 7 	 236.233µs
0 	 8 	 267.956µs
0 	 9 	 237.046µs
0 	 10 	 231.029µs
0 	 11 	 230.198µs
0 	 12 	 202.242µs
0 	 13 	 240.351µs
0 	 14 	 240.291µs
0 	 15 	 242.937µs
0 	 16 	 232.719µs
0 	 17 	 239.305µs
0 	 18 	 232.101µs
0 	 19 	 239.902µs
0 	 20 	 206.457µs
0 	 21 	 233.25µs
0 	 22 	 235.652µs
0 	 23 	 239.658µs
0 	 24 	 238.677µs
0 	 25 	 241.655µs
0 	 26 	 234.363µs
0 	 27 	 241.463µs
0 	 28 	 234.794µs
0 	 29 	 237.468µs
0 	 30 	 233.151µs
0 	 31 	 244.892µs
0 	 32 	 236.983µs
0 	 33 	 229.104µs
0 	 34 	 235.516µs
0 	 35 	 243.661µs
0 	 36 	 200.113µs
0 	 37 	 245.004µs
0 	 38 	 244.63µs
0 	 39 	 239.728µs
0 	 40 	 207.072µs
0 	 41 	 237.214µs
0 	 42 	 244.208µs
0 	 43 	 246.455µs
0 	 44 	 210.745µs
0 	 45 	 208.098µs
0 	 46 	 206.929µs
0 	 47 	 225.148µs
0 	 48 	 201.001µs
0 	 49 	 179.524µs
0 	 50 	 219.278µs
0 	 51 	 219.36µs
0 	 52 	 202.906µs
0 	 53 	 198.719µs
0 	 54 	 201.056µs
0 	 55 	 237.41µs
0 	 56 	 237.485µs
0 	 57 	 220.89µs
0 	 58 	 206.175µs
0 	 59 	 189.461µs
0 	 60 	 211.138µs
0 	 61 	 199.51µs
0 	 62 	 200.602µs
0 	 63 	 217.746µs
0 	 64 	 216.502µs
0 	 65 	 245.092µs
0 	 66 	 238.509µs
0 	 67 	 249.716µs
0 	 68 	 231.851µs
0 	 69 	 219.758µs
0 	 70 	 244.319µs
0 	 71 	 231.98µs
0 	 72 	 230.125µs
0 	 73 	 227.342µs
0 	 74 	 1.913997ms
0 	 75 	 895.536µs
0 	 76 	 872.976µs
0 	 77 	 231.856µs
0 	 78 	 245.307µs
0 	 79 	 250.283µs
0 	 80 	 233.771µs
0 	 81 	 231.203µs
0 	 82 	 252.57µs
0 	 83 	 242.58µs
0 	 84 	 227.056µs
0 	 85 	 239.148µs
0 	 86 	 266.329µs
0 	 87 	 246.656µs
0 	 88 	 173.552µs
0 	 89 	 237.046µs
0 	 90 	 231.671µs
0 	 91 	 240.843µs
0 	 92 	 231.133µs
0 	 93 	 233.067µs
0 	 94 	 230.729µs
0 	 95 	 282.674µs
0 	 96 	 204.144µs
0 	 97 	 200.274µs
0 	 98 	 211.276µs
0 	 99 	 247.058µs
0 	 100 	 244.086µs
0 	 101 	 227.885µs
0 	 102 	 234.449µs
0 	 103 	 248.773µs
0 	 104 	 214.238µs
0 	 105 	 243.973µs
0 	 106 	 242.463µs
0 	 107 	 246.452µs
0 	 108 	 258.509µs
0 	 109 	 247.923µs
0 	 110 	 226.094µs
0 	 111 	 252.934µs
0 	 112 	 234.328µs
0 	 113 	 235.447µs
0 	 114 	 254.618µs
0 	 115 	 238.367µs
0 	 116 	 235.123µs
0 	 117 	 228.974µs
0 	 118 	 240.217µs
0 	 119 	 248.887µs
0 	 120 	 228.126µs
0 	 121 	 224.504µs
0 	 122 	 249.387µs
0 	 123 	 235.297µs
0 	 124 	 243.713µs
0 	 125 	 253.931µs
0 	 126 	 240.6µs
0 	 127 	 258.892µs
0 	 128 	 244.618µs
0 	 129 	 243.339µs
0 	 130 	 255.358µs
0 	 131 	 237.482µs
0 	 132 	 235.733µs
0 	 133 	 208.023µs
0 	 134 	 237.928µs
0 	 135 	 240.601µs
0 	 136 	 238.235µs
0 	 137 	 241.721µs
0 	 138 	 266.363µs
0 	 139 	 240.127µs
0 	 140 	 239.864µs
0 	 141 	 234.759µs
0 	 142 	 231.893µs
0 	 143 	 243.4µs
0 	 144 	 239.126µs
0 	 145 	 232.046µs
0 	 146 	 247.29µs
0 	 147 	 233.679µs
0 	 148 	 242.348µs
0 	 149 	 252.968µs
0 	 150 	 233.507µs
0 	 151 	 223.663µs
0 	 152 	 240.468µs
0 	 153 	 233.707µs
0 	 154 	 233.549µs
0 	 155 	 237.35µs
0 	 156 	 258.686µs
0 	 157 	 262.036µs
0 	 158 	 233.633µs
0 	 159 	 259.06µs
0 	 160 	 252.988µs
0 	 161 	 231.845µs
0 	 162 	 236.042µs
0 	 163 	 251.901µs
0 	 164 	 230.942µs
0 	 165 	 236.578µs
0 	 166 	 234.783µs
0 	 167 	 238.561µs
0 	 168 	 230.548µs
0 	 169 	 244.169µs
0 	 170 	 233.357µs
0 	 171 	 249.39µs
0 	 172 	 245.784µs
0 	 173 	 234.54µs
0 	 174 	 241.528µs
0 	 175 	 231.647µs
0 	 176 	 241.768µs
0 	 177 	 237.076µs
0 	 178 	 205.791µs
0 	 179 	 203.892µs
0 	 180 	 196.945µs
0 	 181 	 229.335µs
0 	 182 	 225.25µs
0 	 183 	 157.92µs
0 	 184 	 157.266µs
0 	 185 	 155.833µs
0 	 186 	 193.174µs
0 	 187 	 202.507µs
0 	 188 	 200.449µs
0 	 189 	 198.527µs
0 	 190 	 206.28µs
0 	 191 	 191.576µs
0 	 192 	 207.108µs
0 	 193 	 200.19µs
0 	 194 	 205.096µs
0 	 195 	 202.309µs
0 	 196 	 199.052µs
0 	 197 	 201.182µs
0 	 198 	 207.496µs
0 	 199 	 244.292µs
0 	 200 	 244.243µs
0 	 201 	 231.044µs
0 	 202 	 237.198µs
0 	 203 	 244.978µs
0 	 204 	 241.141µs
0 	 205 	 234.245µs
0 	 206 	 233.459µs
0 	 207 	 251.362µs
0 	 208 	 260.741µs
0 	 209 	 236.753µs
0 	 210 	 233.575µs
0 	 211 	 230.339µs
0 	 212 	 234.56µs
0 	 213 	 238.433µs
0 	 214 	 236.534µs
0 	 215 	 236.248µs
0 	 216 	 236.388µs
0 	 217 	 237.292µs
0 	 218 	 267.458µs
0 	 219 	 266.006µs
0 	 220 	 236.555µs
0 	 221 	 230.905µs
0 	 222 	 231.281µs
0 	 223 	 247.507µs
0 	 224 	 235.031µs
0 	 225 	 233.142µs
0 	 226 	 234.804µs
0 	 227 	 239.685µs
0 	 228 	 239.437µs
0 	 229 	 232.829µs
0 	 230 	 239.125µs
0 	 231 	 240.482µs
0 	 232 	 220.089µs
0 	 233 	 217.897µs
0 	 234 	 194.291µs
0 	 235 	 196.738µs
0 	 236 	 206.823µs
0 	 237 	 225.316µs
0 	 238 	 243.498µs
