10ms	1000 	 298.139µs 	 387.811µs 	 496.609µs 	 28.552µs 	 99.99216639370195 	 102391.9783871508 	 204783.9567743016
3ms	1000 	 266.557µs 	 387.671µs 	 705.81µs 	 42.355µs 	 333.25462736605465 	 341252.73842283996 	 682505.4768456799
1ms	1000 	 189.742µs 	 276.521µs 	 397.024µs 	 30.958µs 	 999.409302130204 	 1.0233951253813289e+06 	 2.0467902507626577e+06
300us	1000 	 192.602µs 	 267.853µs 	 531.297µs 	 32.227µs 	 3322.0812448322117 	 3.401811194708185e+06 	 6.80362238941637e+06
100us	1000 	 89.335µs 	 145.649µs 	 1.091975ms 	 67.21µs 	 9709.370481410686 	 9.942395372964542e+06 	 1.9884790745929085e+07
30us	1000 	 68.638µs 	 116.46µs 	 404.994µs 	 31.129µs 	 12701.109688332803 	 1.300593632085279e+07 	 2.601187264170558e+07
10us	1000 	 73.876µs 	 110.013µs 	 421.043µs 	 33.535µs 	 15426.848637453675 	 1.5797093004752563e+07 	 3.1594186009505127e+07
3us	1000 	 74.725µs 	 135.185µs 	 1.631018ms 	 180.793µs 	 15868.122698100698 	 1.6248957642855115e+07 	 3.249791528571023e+07
1us	1000 	 73.702µs 	 105.515µs 	 506.711µs 	 40.23µs 	 15613.309290710624 	 1.5988028713687679e+07 	 3.1976057427375358e+07
300ns	1000 	 78.805µs 	 97.26µs 	 326.711µs 	 28.395µs 	 16408.82280086003 	 1.680263454808067e+07 	 3.360526909616134e+07
100ns	1000 	 76.813µs 	 113.62µs 	 340.127µs 	 28.804µs 	 16071.370513602591 	 1.6457083405929053e+07 	 3.2914166811858106e+07
30ns	1000 	 73.985µs 	 99.803µs 	 348.992µs 	 29.871µs 	 16255.394352615915 	 1.6645523817078697e+07 	 3.3291047634157393e+07
10ns	1000 	 77.813µs 	 126.778µs 	 2.616095ms 	 136.501µs 	 15427.740428760972 	 1.5798006199051235e+07 	 3.159601239810247e+07
3ns	1000 	 77.11µs 	 112.888µs 	 363.913µs 	 29.555µs 	 16424.684796748385 	 1.6818877231870346e+07 	 3.363775446374069e+07
1ns	1000 	 74.21µs 	 121.252µs 	 407.753µs 	 38.042µs 	 15911.917227224947 	 1.6293803240678346e+07 	 3.258760648135669e+07
0ns	1000 	 1.941822ms 	 6.462971ms 	 12.732325ms 	 3.537145ms 	 61759.579837226454 	 6.324180975331989e+07 	 1.2648361950663978e+08
