ConnID	RqstID	Latency
0 	 0 	 442.237µs
0 	 1 	 439.477µs
0 	 2 	 436.285µs
0 	 3 	 382.935µs
0 	 4 	 402.283µs
0 	 5 	 330.637µs
0 	 6 	 369.858µs
0 	 7 	 348.344µs
0 	 8 	 318.753µs
0 	 9 	 274.335µs
0 	 10 	 340.088µs
0 	 11 	 299.946µs
0 	 12 	 316.945µs
0 	 13 	 317.021µs
0 	 14 	 358.051µs
0 	 15 	 322.048µs
0 	 16 	 309.961µs
0 	 17 	 347.081µs
0 	 18 	 299.805µs
0 	 19 	 315.589µs
0 	 20 	 335.261µs
0 	 21 	 321.39µs
0 	 22 	 331.259µs
0 	 23 	 320.883µs
0 	 24 	 323.345µs
0 	 25 	 321.15µs
0 	 26 	 311.743µs
0 	 27 	 318.104µs
0 	 28 	 317.541µs
0 	 29 	 326.154µs
0 	 30 	 349.516µs
0 	 31 	 331.711µs
0 	 32 	 349.813µs
0 	 33 	 341.244µs
0 	 34 	 375.015µs
0 	 35 	 404.111µs
0 	 36 	 387.66µs
0 	 37 	 369.719µs
0 	 38 	 384.833µs
0 	 39 	 354.482µs
0 	 40 	 326.9µs
0 	 41 	 375.146µs
0 	 42 	 356.496µs
0 	 43 	 358.443µs
0 	 44 	 346.831µs
0 	 45 	 363.238µs
0 	 46 	 344.332µs
0 	 47 	 358.884µs
0 	 48 	 360.389µs
0 	 49 	 362.273µs
0 	 50 	 351.299µs
0 	 51 	 352.65µs
0 	 52 	 361.435µs
0 	 53 	 351.046µs
0 	 54 	 358.605µs
0 	 55 	 348.158µs
0 	 56 	 351.33µs
0 	 57 	 341.865µs
0 	 58 	 356.681µs
0 	 59 	 364.239µs
0 	 60 	 353.406µs
0 	 61 	 341.791µs
0 	 62 	 366.72µs
0 	 63 	 372.232µs
0 	 64 	 341.741µs
0 	 65 	 346.348µs
0 	 66 	 351.972µs
0 	 67 	 360.007µs
0 	 68 	 331.965µs
0 	 69 	 360.761µs
0 	 70 	 355.345µs
0 	 71 	 350.645µs
0 	 72 	 328.38µs
0 	 73 	 353.578µs
0 	 74 	 348.572µs
0 	 75 	 352.838µs
0 	 76 	 364.18µs
0 	 77 	 345.875µs
0 	 78 	 353.108µs
0 	 79 	 360.464µs
0 	 80 	 351.048µs
0 	 81 	 230.869µs
0 	 82 	 349.198µs
0 	 83 	 348.478µs
0 	 84 	 353.375µs
0 	 85 	 344.446µs
0 	 86 	 341.636µs
0 	 87 	 352.565µs
0 	 88 	 343.077µs
0 	 89 	 357.524µs
0 	 90 	 337.188µs
0 	 91 	 349.535µs
0 	 92 	 338.783µs
0 	 93 	 368.028µs
0 	 94 	 332.231µs
0 	 95 	 349.077µs
0 	 96 	 335.434µs
0 	 97 	 361.963µs
0 	 98 	 339.735µs
0 	 99 	 342.343µs
0 	 100 	 358.586µs
0 	 101 	 323.572µs
0 	 102 	 357.512µs
0 	 103 	 336.663µs
0 	 104 	 353.829µs
0 	 105 	 340.451µs
0 	 106 	 343.885µs
0 	 107 	 342.885µs
0 	 108 	 352.568µs
0 	 109 	 333.675µs
0 	 110 	 369.745µs
0 	 111 	 341.161µs
