ConnID	RqstID	Latency
0 	 0 	 565.148µs
0 	 1 	 476.099µs
0 	 2 	 523.324µs
0 	 3 	 493.895µs
0 	 4 	 479.824µs
0 	 5 	 391.607µs
0 	 6 	 427.696µs
0 	 7 	 443.676µs
0 	 8 	 384.643µs
0 	 9 	 418.297µs
0 	 10 	 379.601µs
0 	 11 	 425.027µs
0 	 12 	 392.749µs
0 	 13 	 351.179µs
0 	 14 	 434.217µs
0 	 15 	 380.277µs
0 	 16 	 384.362µs
0 	 17 	 400.403µs
0 	 18 	 375.171µs
0 	 19 	 431.84µs
0 	 20 	 402.909µs
0 	 21 	 331.453µs
0 	 22 	 327.031µs
0 	 23 	 377.808µs
0 	 24 	 350.783µs
0 	 25 	 332.977µs
0 	 26 	 390.329µs
0 	 27 	 324.576µs
0 	 28 	 366.024µs
0 	 29 	 362.397µs
0 	 30 	 352.346µs
0 	 31 	 360.737µs
0 	 32 	 383.836µs
0 	 33 	 311.138µs
0 	 34 	 331.186µs
0 	 35 	 363.076µs
0 	 36 	 334.296µs
0 	 37 	 370.515µs
0 	 38 	 371.524µs
0 	 39 	 341.196µs
0 	 40 	 393.642µs
0 	 41 	 375.5µs
0 	 42 	 315.746µs
0 	 43 	 393.283µs
0 	 44 	 352.395µs
0 	 45 	 311.275µs
0 	 46 	 311.364µs
0 	 47 	 339.883µs
0 	 48 	 336.269µs
0 	 49 	 359.217µs
0 	 50 	 347.956µs
0 	 51 	 329.766µs
0 	 52 	 347.161µs
0 	 53 	 384.264µs
0 	 54 	 316.164µs
0 	 55 	 366.423µs
0 	 56 	 390.526µs
0 	 57 	 361.786µs
0 	 58 	 321.4µs
0 	 59 	 329.622µs
0 	 60 	 363.531µs
0 	 61 	 365.367µs
0 	 62 	 417.965µs
0 	 63 	 340.756µs
0 	 64 	 376.949µs
0 	 65 	 402.526µs
0 	 66 	 405.357µs
0 	 67 	 442.511µs
0 	 68 	 416.184µs
0 	 69 	 454.4µs
0 	 70 	 377.257µs
0 	 71 	 299.558µs
0 	 72 	 358.255µs
0 	 73 	 422.84µs
0 	 74 	 394.288µs
0 	 75 	 369.376µs
0 	 76 	 297.355µs
0 	 77 	 344.75µs
0 	 78 	 343.581µs
0 	 79 	 339.94µs
0 	 80 	 372.929µs
0 	 81 	 367.978µs
0 	 82 	 349.885µs
0 	 83 	 340.858µs
0 	 84 	 370.733µs
0 	 85 	 421.977µs
0 	 86 	 319.929µs
0 	 87 	 337.404µs
0 	 88 	 346.365µs
0 	 89 	 346.77µs
0 	 90 	 409.263µs
0 	 91 	 386.838µs
0 	 92 	 341.411µs
0 	 93 	 384.473µs
0 	 94 	 423.795µs
0 	 95 	 384.956µs
0 	 96 	 426.36µs
0 	 97 	 361.035µs
0 	 98 	 360.906µs
0 	 99 	 373.281µs
0 	 100 	 368.252µs
0 	 101 	 395.385µs
0 	 102 	 381.043µs
0 	 103 	 372.451µs
0 	 104 	 386.632µs
0 	 105 	 327.686µs
0 	 106 	 303.762µs
0 	 107 	 320.807µs
0 	 108 	 330.658µs
0 	 109 	 330.42µs
0 	 110 	 420.884µs
0 	 111 	 399.904µs
0 	 112 	 363.824µs
0 	 113 	 360.938µs
0 	 114 	 393.093µs
0 	 115 	 375.929µs
0 	 116 	 401.012µs
0 	 117 	 371.608µs
0 	 118 	 365.815µs
0 	 119 	 383.996µs
0 	 120 	 324.1µs
0 	 121 	 364.292µs
0 	 122 	 395.383µs
0 	 123 	 342.546µs
0 	 124 	 362.021µs
0 	 125 	 480.687µs
0 	 126 	 343.006µs
0 	 127 	 354.184µs
0 	 128 	 365.83µs
0 	 129 	 316.924µs
0 	 130 	 372.564µs
0 	 131 	 370.241µs
0 	 132 	 385.102µs
0 	 133 	 367.409µs
0 	 134 	 378.308µs
0 	 135 	 311.972µs
0 	 136 	 431.466µs
0 	 137 	 388.188µs
0 	 138 	 380.911µs
0 	 139 	 407µs
0 	 140 	 349.895µs
0 	 141 	 393.199µs
0 	 142 	 376.675µs
0 	 143 	 368.134µs
0 	 144 	 377.091µs
0 	 145 	 418.485µs
0 	 146 	 375.369µs
0 	 147 	 368.333µs
0 	 148 	 381.87µs
0 	 149 	 413.694µs
0 	 150 	 384.188µs
0 	 151 	 336.52µs
0 	 152 	 351.798µs
0 	 153 	 385.131µs
0 	 154 	 363.143µs
0 	 155 	 376.154µs
0 	 156 	 373.325µs
0 	 157 	 383.343µs
0 	 158 	 342.512µs
0 	 159 	 366.068µs
0 	 160 	 291.209µs
0 	 161 	 301.591µs
0 	 162 	 354.612µs
0 	 163 	 334.867µs
0 	 164 	 361.881µs
0 	 165 	 399.073µs
0 	 166 	 397.887µs
0 	 167 	 359.236µs
0 	 168 	 541.358µs
0 	 169 	 341.516µs
0 	 170 	 343.729µs
0 	 171 	 349.631µs
0 	 172 	 355.018µs
0 	 173 	 357.055µs
0 	 174 	 393.788µs
0 	 175 	 373.428µs
0 	 176 	 385.193µs
0 	 177 	 386.396µs
0 	 178 	 391.391µs
0 	 179 	 390.767µs
0 	 180 	 295.243µs
0 	 181 	 306.765µs
0 	 182 	 317.872µs
0 	 183 	 359.366µs
0 	 184 	 369.973µs
0 	 185 	 348.995µs
0 	 186 	 321.076µs
0 	 187 	 431.772µs
0 	 188 	 406.196µs
0 	 189 	 360.475µs
0 	 190 	 424.058µs
0 	 191 	 324.51µs
0 	 192 	 302.952µs
0 	 193 	 426.29µs
0 	 194 	 402.556µs
0 	 195 	 340.084µs
0 	 196 	 414.322µs
0 	 197 	 379.359µs
0 	 198 	 350.1µs
0 	 199 	 420.807µs
0 	 200 	 363.774µs
0 	 201 	 359.787µs
0 	 202 	 384.057µs
0 	 203 	 403.388µs
0 	 204 	 418.034µs
0 	 205 	 348.749µs
0 	 206 	 364.878µs
0 	 207 	 354.165µs
0 	 208 	 365.08µs
0 	 209 	 311.68µs
0 	 210 	 416.901µs
0 	 211 	 375.967µs
0 	 212 	 325.291µs
0 	 213 	 360.083µs
0 	 214 	 382.379µs
0 	 215 	 331.171µs
0 	 216 	 412.694µs
0 	 217 	 423.149µs
0 	 218 	 428.629µs
0 	 219 	 395.024µs
0 	 220 	 288.978µs
0 	 221 	 365.754µs
0 	 222 	 383.916µs
0 	 223 	 330.207µs
0 	 224 	 330.834µs
0 	 225 	 363.312µs
0 	 226 	 457.02µs
0 	 227 	 398.854µs
0 	 228 	 378.312µs
0 	 229 	 358.928µs
0 	 230 	 374.49µs
0 	 231 	 499.307µs
0 	 232 	 391.713µs
0 	 233 	 344.781µs
0 	 234 	 349.325µs
0 	 235 	 363.697µs
0 	 236 	 356.428µs
0 	 237 	 387.905µs
0 	 238 	 362.788µs
0 	 239 	 420.696µs
0 	 240 	 345.947µs
0 	 241 	 349.22µs
0 	 242 	 473.106µs
0 	 243 	 426.989µs
0 	 244 	 354.866µs
0 	 245 	 361.713µs
0 	 246 	 354.72µs
0 	 247 	 345.492µs
0 	 248 	 418.851µs
0 	 249 	 406.815µs
0 	 250 	 408.251µs
0 	 251 	 287.734µs
0 	 252 	 381.748µs
0 	 253 	 335.901µs
