ConnID	RqstID	Latency
0 	 0 	 157.33µs
0 	 1 	 216.859µs
0 	 2 	 299.502µs
0 	 3 	 268.673µs
0 	 4 	 262.06µs
0 	 5 	 224.183µs
0 	 6 	 258.8µs
0 	 7 	 291.943µs
0 	 8 	 215.098µs
0 	 9 	 223.603µs
0 	 10 	 224.911µs
0 	 11 	 229.634µs
0 	 12 	 186.439µs
0 	 13 	 222.368µs
0 	 14 	 220.159µs
0 	 15 	 226.342µs
0 	 16 	 222.844µs
0 	 17 	 198.647µs
0 	 18 	 224.908µs
0 	 19 	 224.131µs
0 	 20 	 179.921µs
0 	 21 	 182.412µs
0 	 22 	 201.991µs
0 	 23 	 189.365µs
0 	 24 	 177.633µs
0 	 25 	 197.554µs
0 	 26 	 176.479µs
0 	 27 	 212.342µs
0 	 28 	 186.258µs
0 	 29 	 219.577µs
0 	 30 	 232.688µs
0 	 31 	 190.914µs
0 	 32 	 188.813µs
0 	 33 	 134.547µs
0 	 34 	 152.134µs
0 	 35 	 133.66µs
0 	 36 	 164.246µs
0 	 37 	 208.17µs
0 	 38 	 215.19µs
0 	 39 	 209.512µs
0 	 40 	 212.185µs
0 	 41 	 217.807µs
0 	 42 	 212.033µs
0 	 43 	 219.042µs
0 	 44 	 188.601µs
0 	 45 	 229.632µs
0 	 46 	 202.022µs
0 	 47 	 188.455µs
0 	 48 	 221.569µs
0 	 49 	 208.983µs
0 	 50 	 181.92µs
0 	 51 	 220.165µs
0 	 52 	 220.424µs
0 	 53 	 221.741µs
0 	 54 	 177.565µs
0 	 55 	 199.113µs
0 	 56 	 200.888µs
0 	 57 	 196.996µs
0 	 58 	 205.367µs
0 	 59 	 203.611µs
0 	 60 	 206.277µs
0 	 61 	 179.28µs
0 	 62 	 169.497µs
0 	 63 	 176.597µs
0 	 64 	 177.744µs
0 	 65 	 132.896µs
0 	 66 	 158.614µs
0 	 67 	 195.576µs
0 	 68 	 214.818µs
0 	 69 	 183.372µs
0 	 70 	 181.958µs
0 	 71 	 202.065µs
0 	 72 	 211.581µs
