ConnID	RqstID	Latency
0 	 0 	 150.157µs
0 	 1 	 240.615µs
0 	 2 	 250.04µs
0 	 3 	 353.747µs
0 	 4 	 297.048µs
0 	 5 	 289µs
0 	 6 	 231.493µs
0 	 7 	 256.16µs
0 	 8 	 257.859µs
0 	 9 	 275.052µs
0 	 10 	 268.1µs
0 	 11 	 313.782µs
0 	 12 	 309.337µs
0 	 13 	 312.832µs
0 	 14 	 309.919µs
0 	 15 	 307.075µs
0 	 16 	 305.387µs
0 	 17 	 257.127µs
0 	 18 	 272.788µs
0 	 19 	 258.553µs
0 	 20 	 303.637µs
0 	 21 	 341.704µs
0 	 22 	 314.125µs
0 	 23 	 322.847µs
0 	 24 	 257.6µs
0 	 25 	 273.74µs
0 	 26 	 320.259µs
0 	 27 	 320.31µs
0 	 28 	 355.031µs
0 	 29 	 356.654µs
0 	 30 	 327.455µs
0 	 31 	 331.195µs
0 	 32 	 312.674µs
0 	 33 	 312.632µs
0 	 34 	 274.388µs
0 	 35 	 301.387µs
0 	 36 	 313.652µs
0 	 37 	 234.521µs
0 	 38 	 255.495µs
0 	 39 	 281.432µs
0 	 40 	 255.465µs
0 	 41 	 281.263µs
0 	 42 	 274.235µs
0 	 43 	 307.937µs
0 	 44 	 271.658µs
0 	 45 	 273.39µs
0 	 46 	 265.87µs
0 	 47 	 312.6µs
0 	 48 	 313.117µs
0 	 49 	 262.587µs
0 	 50 	 274.44µs
0 	 51 	 306.562µs
0 	 52 	 269.362µs
0 	 53 	 278.185µs
0 	 54 	 280.078µs
0 	 55 	 314.812µs
0 	 56 	 315.384µs
0 	 57 	 269.952µs
0 	 58 	 239.792µs
0 	 59 	 283.365µs
0 	 60 	 290.217µs
0 	 61 	 267.068µs
0 	 62 	 309.574µs
0 	 63 	 285.635µs
0 	 64 	 265.022µs
0 	 65 	 246.107µs
0 	 66 	 266.912µs
0 	 67 	 282.972µs
0 	 68 	 274.912µs
0 	 69 	 268.3µs
0 	 70 	 276.325µs
0 	 71 	 319.857µs
0 	 72 	 281.215µs
0 	 73 	 257.2µs
0 	 74 	 278.59µs
0 	 75 	 332.757µs
0 	 76 	 280.337µs
0 	 77 	 305.26µs
0 	 78 	 291.308µs
0 	 79 	 274.447µs
0 	 80 	 270.833µs
0 	 81 	 257.23µs
0 	 82 	 270.3µs
0 	 83 	 270.322µs
0 	 84 	 275.888µs
0 	 85 	 269.107µs
0 	 86 	 275.22µs
0 	 87 	 266.995µs
0 	 88 	 263.649µs
0 	 89 	 274.89µs
0 	 90 	 277.09µs
0 	 91 	 278.367µs
0 	 92 	 249.737µs
0 	 93 	 228.294µs
0 	 94 	 226.149µs
0 	 95 	 258.83µs
0 	 96 	 249.783µs
0 	 97 	 279.462µs
0 	 98 	 269.327µs
0 	 99 	 264.318µs
0 	 100 	 267.802µs
0 	 101 	 275.933µs
0 	 102 	 273.83µs
0 	 103 	 269.578µs
0 	 104 	 271.31µs
0 	 105 	 276.577µs
0 	 106 	 265.843µs
0 	 107 	 263.392µs
0 	 108 	 264.96µs
0 	 109 	 273.325µs
0 	 110 	 263.94µs
0 	 111 	 290.655µs
0 	 112 	 288.902µs
0 	 113 	 310.282µs
0 	 114 	 308.172µs
0 	 115 	 306.297µs
0 	 116 	 310.484µs
0 	 117 	 248.35µs
0 	 118 	 274.175µs
0 	 119 	 256.605µs
0 	 120 	 242.421µs
0 	 121 	 287.324µs
0 	 122 	 317.441µs
0 	 123 	 307.875µs
0 	 124 	 270.925µs
0 	 125 	 272.545µs
0 	 126 	 312.057µs
0 	 127 	 279.07µs
0 	 128 	 247.455µs
0 	 129 	 241.768µs
0 	 130 	 347.864µs
0 	 131 	 308.912µs
0 	 132 	 307.342µs
0 	 133 	 330.597µs
0 	 134 	 315.694µs
0 	 135 	 310.729µs
0 	 136 	 311.612µs
0 	 137 	 309.893µs
0 	 138 	 309.506µs
0 	 139 	 315.775µs
0 	 140 	 322.706µs
0 	 141 	 327.852µs
0 	 142 	 306.654µs
0 	 143 	 325.496µs
0 	 144 	 265.175µs
0 	 145 	 212.138µs
0 	 146 	 244.747µs
0 	 147 	 292.239µs
0 	 148 	 318.82µs
0 	 149 	 288.922µs
0 	 150 	 307.38µs
0 	 151 	 286.509µs
0 	 152 	 267.682µs
0 	 153 	 261.314µs
0 	 154 	 260.169µs
0 	 155 	 265.233µs
0 	 156 	 262.535µs
0 	 157 	 259.825µs
0 	 158 	 257.315µs
0 	 159 	 266.239µs
0 	 160 	 232.843µs
0 	 161 	 213.041µs
0 	 162 	 232.492µs
0 	 163 	 293.598µs
0 	 164 	 293.904µs
0 	 165 	 300.787µs
0 	 166 	 298.984µs
0 	 167 	 263.918µs
0 	 168 	 250.585µs
0 	 169 	 260.645µs
0 	 170 	 267.323µs
0 	 171 	 258.506µs
0 	 172 	 265.495µs
0 	 173 	 265.379µs
