ConnID	RqstID	Latency
0 	 0 	 263.881µs
0 	 1 	 302.256µs
0 	 2 	 274.883µs
0 	 3 	 277.777µs
0 	 4 	 272.468µs
0 	 5 	 272.434µs
0 	 6 	 298.184µs
0 	 7 	 228.267µs
0 	 8 	 260.574µs
0 	 9 	 235.664µs
0 	 10 	 251.304µs
0 	 11 	 266.96µs
0 	 12 	 242.645µs
0 	 13 	 254.238µs
0 	 14 	 227.18µs
0 	 15 	 232.875µs
0 	 16 	 256.344µs
0 	 17 	 244.007µs
0 	 18 	 238.178µs
0 	 19 	 242.931µs
0 	 20 	 237.62µs
0 	 21 	 297.267µs
0 	 22 	 243.788µs
0 	 23 	 232.763µs
0 	 24 	 244.587µs
0 	 25 	 235.383µs
0 	 26 	 240.747µs
0 	 27 	 239.309µs
0 	 28 	 271.099µs
0 	 29 	 234.029µs
0 	 30 	 261.635µs
0 	 31 	 227.683µs
0 	 32 	 274.476µs
0 	 33 	 220.655µs
0 	 34 	 230.515µs
0 	 35 	 256.941µs
0 	 36 	 238.418µs
0 	 37 	 286.284µs
0 	 38 	 221.863µs
0 	 39 	 296.564µs
0 	 40 	 233.74µs
0 	 41 	 286.626µs
0 	 42 	 219.061µs
0 	 43 	 259.118µs
0 	 44 	 339.733µs
0 	 45 	 257.88µs
0 	 46 	 249.861µs
0 	 47 	 245.774µs
0 	 48 	 236.95µs
0 	 49 	 239.973µs
0 	 50 	 255.687µs
0 	 51 	 230.264µs
0 	 52 	 241.908µs
0 	 53 	 298.232µs
0 	 54 	 244.609µs
0 	 55 	 220.879µs
0 	 56 	 210.056µs
0 	 57 	 232.589µs
0 	 58 	 234.242µs
0 	 59 	 259.081µs
0 	 60 	 242.897µs
0 	 61 	 232.311µs
0 	 62 	 244.539µs
0 	 63 	 250.461µs
0 	 64 	 225.137µs
0 	 65 	 224.264µs
0 	 66 	 218.187µs
0 	 67 	 218.422µs
0 	 68 	 231.836µs
0 	 69 	 238.72µs
0 	 70 	 282.884µs
0 	 71 	 210.908µs
0 	 72 	 237.597µs
0 	 73 	 259.725µs
0 	 74 	 237.567µs
0 	 75 	 238.531µs
0 	 76 	 247.012µs
0 	 77 	 255.613µs
0 	 78 	 241.892µs
0 	 79 	 240.507µs
0 	 80 	 241.66µs
0 	 81 	 236.238µs
0 	 82 	 243.006µs
0 	 83 	 242.404µs
0 	 84 	 239.202µs
0 	 85 	 241.721µs
0 	 86 	 212.713µs
0 	 87 	 228.727µs
0 	 88 	 228.568µs
0 	 89 	 218.778µs
0 	 90 	 267.861µs
0 	 91 	 232.833µs
0 	 92 	 269.233µs
0 	 93 	 232.895µs
0 	 94 	 250.412µs
0 	 95 	 278.638µs
0 	 96 	 276.029µs
0 	 97 	 271.462µs
0 	 98 	 298.826µs
0 	 99 	 250.989µs
0 	 100 	 279.134µs
0 	 101 	 274.47µs
0 	 102 	 246.242µs
0 	 103 	 226.697µs
0 	 104 	 247.8µs
0 	 105 	 249.062µs
0 	 106 	 240.138µs
0 	 107 	 263.823µs
0 	 108 	 209.85µs
0 	 109 	 195.185µs
0 	 110 	 172.933µs
0 	 111 	 226.531µs
0 	 112 	 193.959µs
0 	 113 	 189.324µs
0 	 114 	 245.999µs
0 	 115 	 274.704µs
0 	 116 	 224.712µs
0 	 117 	 255.367µs
0 	 118 	 289.916µs
0 	 119 	 260.072µs
0 	 120 	 241.582µs
0 	 121 	 275.129µs
0 	 122 	 229.786µs
0 	 123 	 232.776µs
0 	 124 	 244.012µs
0 	 125 	 246.031µs
0 	 126 	 269.393µs
0 	 127 	 246.589µs
0 	 128 	 235.024µs
0 	 129 	 265.363µs
0 	 130 	 237.871µs
0 	 131 	 236.165µs
0 	 132 	 239.244µs
