ConnID	RqstID	Latency
0 	 0 	 257.244µs
0 	 1 	 284.326µs
0 	 2 	 252.845µs
0 	 3 	 278.599µs
0 	 4 	 280.556µs
0 	 5 	 297.766µs
0 	 6 	 282.856µs
0 	 7 	 297.502µs
0 	 8 	 285.893µs
0 	 9 	 298.015µs
0 	 10 	 281.792µs
0 	 11 	 251.682µs
0 	 12 	 267.21µs
0 	 13 	 268.966µs
0 	 14 	 261.812µs
0 	 15 	 254.725µs
0 	 16 	 305.699µs
0 	 17 	 275.536µs
0 	 18 	 260.641µs
0 	 19 	 258.557µs
0 	 20 	 295.791µs
0 	 21 	 268.053µs
0 	 22 	 254.375µs
0 	 23 	 249.088µs
0 	 24 	 313.172µs
0 	 25 	 288.392µs
0 	 26 	 293.321µs
0 	 27 	 257.857µs
0 	 28 	 249.731µs
0 	 29 	 263.744µs
0 	 30 	 250.061µs
0 	 31 	 274.045µs
0 	 32 	 254.434µs
0 	 33 	 266.977µs
0 	 34 	 254.691µs
0 	 35 	 257.302µs
0 	 36 	 271.391µs
0 	 37 	 268.832µs
0 	 38 	 265.532µs
0 	 39 	 257.039µs
0 	 40 	 252.932µs
0 	 41 	 269.698µs
0 	 42 	 257.053µs
0 	 43 	 285.007µs
0 	 44 	 296.612µs
0 	 45 	 284.645µs
0 	 46 	 260.091µs
0 	 47 	 275.049µs
0 	 48 	 248.82µs
0 	 49 	 216.83µs
0 	 50 	 269.471µs
0 	 51 	 269.886µs
0 	 52 	 252.205µs
0 	 53 	 279.188µs
0 	 54 	 281.063µs
0 	 55 	 291.089µs
0 	 56 	 280.432µs
0 	 57 	 286.769µs
0 	 58 	 234.838µs
0 	 59 	 309.168µs
0 	 60 	 328.507µs
0 	 61 	 304.297µs
0 	 62 	 348.61µs
0 	 63 	 357.534µs
0 	 64 	 332.789µs
0 	 65 	 325.45µs
0 	 66 	 300.068µs
0 	 67 	 304.103µs
0 	 68 	 300.641µs
0 	 69 	 291.71µs
0 	 70 	 312.834µs
0 	 71 	 319.486µs
0 	 72 	 312.976µs
0 	 73 	 282.934µs
0 	 74 	 314.845µs
0 	 75 	 299.447µs
0 	 76 	 342.534µs
0 	 77 	 359.181µs
0 	 78 	 277.233µs
0 	 79 	 255.483µs
0 	 80 	 295.633µs
0 	 81 	 257.32µs
0 	 82 	 263.869µs
0 	 83 	 266.801µs
0 	 84 	 327.016µs
0 	 85 	 266.886µs
0 	 86 	 257.829µs
0 	 87 	 262.175µs
0 	 88 	 309.121µs
0 	 89 	 300.232µs
0 	 90 	 259.616µs
0 	 91 	 252.03µs
0 	 92 	 308.792µs
0 	 93 	 298.779µs
0 	 94 	 300.547µs
0 	 95 	 315.547µs
0 	 96 	 302.311µs
0 	 97 	 260.044µs
0 	 98 	 265.56µs
0 	 99 	 298.535µs
0 	 100 	 308.597µs
0 	 101 	 347.269µs
0 	 102 	 273.471µs
0 	 103 	 269.951µs
0 	 104 	 304.958µs
0 	 105 	 258.87µs
0 	 106 	 264.756µs
0 	 107 	 274.755µs
0 	 108 	 309.171µs
0 	 109 	 302.287µs
0 	 110 	 287.447µs
0 	 111 	 307.73µs
0 	 112 	 304.305µs
0 	 113 	 253.549µs
0 	 114 	 255.795µs
0 	 115 	 294.1µs
0 	 116 	 329.152µs
0 	 117 	 322.721µs
0 	 118 	 259.827µs
0 	 119 	 267.902µs
0 	 120 	 298.144µs
0 	 121 	 289.623µs
0 	 122 	 294.229µs
0 	 123 	 291.38µs
0 	 124 	 284.081µs
0 	 125 	 301.3µs
0 	 126 	 257.082µs
0 	 127 	 278.544µs
0 	 128 	 277.147µs
0 	 129 	 263.012µs
0 	 130 	 318.133µs
0 	 131 	 256.6µs
0 	 132 	 269.912µs
0 	 133 	 273.897µs
0 	 134 	 259.516µs
0 	 135 	 285.21µs
0 	 136 	 266.001µs
0 	 137 	 255.216µs
0 	 138 	 254.185µs
0 	 139 	 266.583µs
0 	 140 	 256.179µs
0 	 141 	 288.058µs
0 	 142 	 267.766µs
0 	 143 	 298.229µs
0 	 144 	 286.182µs
0 	 145 	 280.542µs
0 	 146 	 280.962µs
0 	 147 	 268.01µs
0 	 148 	 263.076µs
0 	 149 	 300.497µs
0 	 150 	 339.407µs
0 	 151 	 325.666µs
0 	 152 	 327.768µs
0 	 153 	 283.139µs
0 	 154 	 284.916µs
0 	 155 	 291.32µs
0 	 156 	 287.152µs
0 	 157 	 271.592µs
0 	 158 	 261.785µs
0 	 159 	 372.891µs
0 	 160 	 365.73µs
0 	 161 	 360.027µs
0 	 162 	 344.689µs
0 	 163 	 362.226µs
0 	 164 	 360.339µs
0 	 165 	 363.622µs
0 	 166 	 361.927µs
0 	 167 	 369.702µs
0 	 168 	 372.03µs
0 	 169 	 363.578µs
0 	 170 	 348.465µs
0 	 171 	 366.055µs
0 	 172 	 376.042µs
0 	 173 	 321.15µs
0 	 174 	 367.848µs
0 	 175 	 336.483µs
0 	 176 	 362.688µs
0 	 177 	 350.692µs
0 	 178 	 286.385µs
0 	 179 	 287.846µs
0 	 180 	 346.223µs
0 	 181 	 301.542µs
0 	 182 	 312.371µs
0 	 183 	 304.057µs
0 	 184 	 373.519µs
0 	 185 	 343.242µs
0 	 186 	 312.291µs
0 	 187 	 294.961µs
0 	 188 	 346.93µs
0 	 189 	 297.794µs
0 	 190 	 301.286µs
0 	 191 	 310.591µs
0 	 192 	 346.809µs
0 	 193 	 349.44µs
0 	 194 	 308.078µs
0 	 195 	 303.769µs
0 	 196 	 362.674µs
0 	 197 	 307.874µs
0 	 198 	 283.864µs
0 	 199 	 318.572µs
0 	 200 	 366.652µs
0 	 201 	 324.953µs
0 	 202 	 321.435µs
0 	 203 	 336.405µs
0 	 204 	 358.728µs
0 	 205 	 341.531µs
0 	 206 	 293.246µs
0 	 207 	 305.414µs
0 	 208 	 334.035µs
0 	 209 	 310.689µs
0 	 210 	 339.4µs
0 	 211 	 309.445µs
0 	 212 	 329.764µs
0 	 213 	 373.856µs
0 	 214 	 325.775µs
0 	 215 	 321.453µs
0 	 216 	 361.452µs
0 	 217 	 333.446µs
0 	 218 	 290.509µs
0 	 219 	 291.439µs
0 	 220 	 337.408µs
0 	 221 	 377.068µs
0 	 222 	 352.133µs
0 	 223 	 346.566µs
0 	 224 	 323.677µs
0 	 225 	 320.874µs
0 	 226 	 334.262µs
0 	 227 	 321.331µs
0 	 228 	 292.955µs
0 	 229 	 301.38µs
0 	 230 	 286.882µs
0 	 231 	 286.921µs
0 	 232 	 300.705µs
0 	 233 	 289.97µs
0 	 234 	 295.379µs
0 	 235 	 315.891µs
0 	 236 	 300.018µs
0 	 237 	 312.15µs
0 	 238 	 289.823µs
0 	 239 	 304.704µs
0 	 240 	 303.49µs
0 	 241 	 294.74µs
0 	 242 	 294.988µs
0 	 243 	 322.121µs
0 	 244 	 321.837µs
0 	 245 	 315.744µs
0 	 246 	 299.996µs
0 	 247 	 291.591µs
0 	 248 	 260.165µs
0 	 249 	 342.074µs
0 	 250 	 387.082µs
0 	 251 	 369.354µs
0 	 252 	 363.528µs
0 	 253 	 369.504µs
0 	 254 	 341.425µs
0 	 255 	 312.96µs
0 	 256 	 293.662µs
0 	 257 	 309.623µs
0 	 258 	 298.599µs
0 	 259 	 351.175µs
0 	 260 	 375.968µs
0 	 261 	 339.686µs
0 	 262 	 345.563µs
0 	 263 	 376.241µs
0 	 264 	 363.536µs
0 	 265 	 371.259µs
0 	 266 	 362.001µs
0 	 267 	 339.727µs
0 	 268 	 339.181µs
0 	 269 	 348.616µs
0 	 270 	 341.762µs
0 	 271 	 338.773µs
0 	 272 	 347.859µs
0 	 273 	 331.67µs
0 	 274 	 338.872µs
0 	 275 	 328.9µs
0 	 276 	 361.932µs
0 	 277 	 369.7µs
0 	 278 	 323.601µs
0 	 279 	 332.52µs
0 	 280 	 331.695µs
0 	 281 	 336.583µs
0 	 282 	 310.243µs
0 	 283 	 309.014µs
0 	 284 	 383.207µs
0 	 285 	 321.401µs
0 	 286 	 339.6µs
0 	 287 	 353.933µs
0 	 288 	 353.563µs
0 	 289 	 296.681µs
0 	 290 	 301.845µs
0 	 291 	 332.897µs
0 	 292 	 355.513µs
0 	 293 	 317.61µs
0 	 294 	 335.805µs
0 	 295 	 324.962µs
0 	 296 	 366.289µs
0 	 297 	 345.33µs
0 	 298 	 300.91µs
0 	 299 	 310.34µs
0 	 300 	 381.981µs
0 	 301 	 324.267µs
0 	 302 	 294.542µs
0 	 303 	 335.211µs
0 	 304 	 358.318µs
0 	 305 	 360.654µs
0 	 306 	 307.075µs
0 	 307 	 290.078µs
0 	 308 	 338.073µs
0 	 309 	 314.338µs
0 	 310 	 295.673µs
0 	 311 	 295.834µs
0 	 312 	 353.18µs
0 	 313 	 338.016µs
0 	 314 	 306.454µs
0 	 315 	 290.851µs
0 	 316 	 328.352µs
0 	 317 	 321.265µs
0 	 318 	 317.811µs
0 	 319 	 349.539µs
0 	 320 	 362.12µs
0 	 321 	 321.21µs
0 	 322 	 333.268µs
0 	 323 	 273.225µs
0 	 324 	 311.942µs
0 	 325 	 305.156µs
0 	 326 	 282.747µs
0 	 327 	 364.02µs
0 	 328 	 328.157µs
0 	 329 	 317.473µs
0 	 330 	 328.714µs
0 	 331 	 287.832µs
0 	 332 	 292.573µs
0 	 333 	 303.421µs
0 	 334 	 302.265µs
0 	 335 	 304.787µs
0 	 336 	 300.66µs
0 	 337 	 297.144µs
0 	 338 	 289.96µs
0 	 339 	 338.683µs
0 	 340 	 316.372µs
0 	 341 	 308.336µs
0 	 342 	 287.212µs
0 	 343 	 319.234µs
0 	 344 	 333.893µs
0 	 345 	 315.34µs
0 	 346 	 297.823µs
0 	 347 	 301.49µs
0 	 348 	 277.849µs
0 	 349 	 287.614µs
0 	 350 	 355.562µs
0 	 351 	 386.13µs
0 	 352 	 342.355µs
0 	 353 	 342.625µs
0 	 354 	 332.623µs
0 	 355 	 334.197µs
0 	 356 	 297.824µs
0 	 357 	 286.789µs
0 	 358 	 294.81µs
0 	 359 	 344.407µs
0 	 360 	 347.099µs
0 	 361 	 356.122µs
0 	 362 	 331.932µs
0 	 363 	 379.217µs
0 	 364 	 365.55µs
0 	 365 	 364.83µs
0 	 366 	 359.397µs
0 	 367 	 359.236µs
0 	 368 	 295.525µs
0 	 369 	 298.776µs
0 	 370 	 300.301µs
0 	 371 	 338.763µs
0 	 372 	 312.015µs
0 	 373 	 323.86µs
0 	 374 	 363.092µs
0 	 375 	 293.036µs
0 	 376 	 294.177µs
0 	 377 	 276.051µs
0 	 378 	 294.672µs
0 	 379 	 283.374µs
0 	 380 	 286.802µs
0 	 381 	 256.44µs
0 	 382 	 290.093µs
0 	 383 	 267.022µs
0 	 384 	 269.775µs
0 	 385 	 288.378µs
0 	 386 	 307.033µs
0 	 387 	 304.376µs
0 	 388 	 298.881µs
0 	 389 	 252.059µs
0 	 390 	 263.51µs
0 	 391 	 250.355µs
0 	 392 	 255.142µs
0 	 393 	 265.595µs
0 	 394 	 262.489µs
0 	 395 	 266.004µs
0 	 396 	 254.403µs
0 	 397 	 255.461µs
0 	 398 	 257.163µs
0 	 399 	 276.192µs
0 	 400 	 310.344µs
0 	 401 	 298.769µs
0 	 402 	 326.367µs
0 	 403 	 337.494µs
0 	 404 	 324.599µs
0 	 405 	 304.197µs
0 	 406 	 293.445µs
0 	 407 	 262.149µs
0 	 408 	 246.137µs
0 	 409 	 276.392µs
0 	 410 	 283.562µs
0 	 411 	 304.31µs
0 	 412 	 303.104µs
0 	 413 	 298.601µs
0 	 414 	 302.46µs
0 	 415 	 307.759µs
0 	 416 	 315.011µs
0 	 417 	 295.321µs
0 	 418 	 324.879µs
0 	 419 	 294.205µs
0 	 420 	 305.248µs
0 	 421 	 293.076µs
0 	 422 	 326.177µs
0 	 423 	 340.671µs
0 	 424 	 325.358µs
0 	 425 	 350.376µs
0 	 426 	 350.984µs
0 	 427 	 292.929µs
0 	 428 	 252.944µs
0 	 429 	 277.147µs
0 	 430 	 258.913µs
0 	 431 	 280.132µs
0 	 432 	 258.393µs
0 	 433 	 275.422µs
0 	 434 	 293.872µs
0 	 435 	 280.936µs
0 	 436 	 285.677µs
0 	 437 	 292.039µs
0 	 438 	 285.915µs
0 	 439 	 256.712µs
0 	 440 	 272.937µs
0 	 441 	 254.703µs
0 	 442 	 279.539µs
0 	 443 	 253.801µs
0 	 444 	 247.938µs
0 	 445 	 267.262µs
0 	 446 	 280.579µs
0 	 447 	 292.953µs
0 	 448 	 280.618µs
0 	 449 	 255.09µs
0 	 450 	 311.719µs
0 	 451 	 295.096µs
0 	 452 	 361.402µs
0 	 453 	 324.497µs
0 	 454 	 325.374µs
0 	 455 	 325.314µs
0 	 456 	 280.822µs
0 	 457 	 249.367µs
0 	 458 	 249.296µs
0 	 459 	 311.597µs
0 	 460 	 293.108µs
0 	 461 	 297.524µs
0 	 462 	 310.812µs
0 	 463 	 326.673µs
0 	 464 	 344.339µs
0 	 465 	 320.023µs
0 	 466 	 343.391µs
0 	 467 	 319.565µs
0 	 468 	 327.31µs
0 	 469 	 307.901µs
0 	 470 	 290.268µs
0 	 471 	 320.917µs
0 	 472 	 318.703µs
0 	 473 	 296.304µs
0 	 474 	 295.728µs
0 	 475 	 327.99µs
0 	 476 	 332.99µs
0 	 477 	 283.065µs
0 	 478 	 301.889µs
0 	 479 	 271.203µs
0 	 480 	 310.776µs
0 	 481 	 258.896µs
0 	 482 	 262.427µs
0 	 483 	 282.403µs
0 	 484 	 357.272µs
0 	 485 	 331.304µs
0 	 486 	 275.018µs
0 	 487 	 266.223µs
0 	 488 	 302.585µs
0 	 489 	 270.302µs
0 	 490 	 279.478µs
0 	 491 	 293.884µs
0 	 492 	 291.226µs
0 	 493 	 296.421µs
0 	 494 	 253.28µs
0 	 495 	 280.34µs
0 	 496 	 339.166µs
0 	 497 	 286.926µs
0 	 498 	 283.663µs
0 	 499 	 288.38µs
0 	 500 	 356.576µs
0 	 501 	 299.1µs
0 	 502 	 270.945µs
0 	 503 	 253.477µs
0 	 504 	 305.41µs
0 	 505 	 295.215µs
0 	 506 	 285.28µs
0 	 507 	 256.398µs
0 	 508 	 312.288µs
0 	 509 	 323.964µs
0 	 510 	 284.071µs
0 	 511 	 286.807µs
0 	 512 	 312.913µs
0 	 513 	 284.087µs
0 	 514 	 283.806µs
0 	 515 	 297.83µs
0 	 516 	 328.49µs
0 	 517 	 296.757µs
0 	 518 	 261.752µs
0 	 519 	 246.976µs
0 	 520 	 307.598µs
0 	 521 	 305.364µs
0 	 522 	 254.986µs
0 	 523 	 286.559µs
0 	 524 	 277.702µs
0 	 525 	 285.112µs
0 	 526 	 282.458µs
0 	 527 	 295.738µs
0 	 528 	 287.079µs
0 	 529 	 328.412µs
0 	 530 	 329.542µs
0 	 531 	 333.37µs
0 	 532 	 318.154µs
0 	 533 	 336.667µs
0 	 534 	 321.595µs
0 	 535 	 330.425µs
0 	 536 	 300.283µs
0 	 537 	 311.306µs
0 	 538 	 330.852µs
0 	 539 	 311.267µs
0 	 540 	 315.33µs
0 	 541 	 314.708µs
0 	 542 	 329.383µs
0 	 543 	 334.763µs
0 	 544 	 296.755µs
0 	 545 	 301.355µs
0 	 546 	 314.29µs
0 	 547 	 317.072µs
0 	 548 	 281.477µs
0 	 549 	 326.247µs
0 	 550 	 384.377µs
0 	 551 	 375.634µs
0 	 552 	 372.398µs
0 	 553 	 367.524µs
0 	 554 	 372.731µs
0 	 555 	 378.127µs
0 	 556 	 292.596µs
0 	 557 	 302.141µs
0 	 558 	 292.56µs
0 	 559 	 381.078µs
0 	 560 	 362.391µs
0 	 561 	 334.451µs
0 	 562 	 350.335µs
0 	 563 	 356.861µs
0 	 564 	 376.959µs
0 	 565 	 359.944µs
0 	 566 	 334.398µs
0 	 567 	 347.188µs
0 	 568 	 334.141µs
0 	 569 	 336.306µs
0 	 570 	 333.695µs
0 	 571 	 375.641µs
0 	 572 	 384.415µs
0 	 573 	 367.861µs
0 	 574 	 365.883µs
0 	 575 	 367.74µs
0 	 576 	 365.651µs
0 	 577 	 336.273µs
0 	 578 	 304.183µs
0 	 579 	 306.072µs
0 	 580 	 333.361µs
0 	 581 	 290.37µs
0 	 582 	 287.561µs
0 	 583 	 321.497µs
0 	 584 	 341.676µs
0 	 585 	 346.615µs
0 	 586 	 305.471µs
0 	 587 	 328.943µs
0 	 588 	 370.253µs
0 	 589 	 322.295µs
0 	 590 	 330.067µs
0 	 591 	 322.769µs
0 	 592 	 337.885µs
0 	 593 	 354.933µs
0 	 594 	 321.705µs
0 	 595 	 290.058µs
0 	 596 	 338.861µs
0 	 597 	 341.968µs
0 	 598 	 270.576µs
0 	 599 	 307.33µs
0 	 600 	 365.018µs
0 	 601 	 320.761µs
0 	 602 	 301.071µs
0 	 603 	 301.195µs
0 	 604 	 354.676µs
0 	 605 	 295.351µs
0 	 606 	 295.481µs
0 	 607 	 312.152µs
0 	 608 	 330.621µs
0 	 609 	 343.21µs
0 	 610 	 305.994µs
0 	 611 	 293.542µs
0 	 612 	 337.915µs
0 	 613 	 334.759µs
0 	 614 	 319.415µs
0 	 615 	 348.695µs
0 	 616 	 372.303µs
0 	 617 	 346.381µs
0 	 618 	 295.605µs
0 	 619 	 292.775µs
0 	 620 	 337.479µs
0 	 621 	 331.202µs
0 	 622 	 320.9µs
0 	 623 	 331.14µs
0 	 624 	 317.037µs
0 	 625 	 318.217µs
0 	 626 	 336.261µs
0 	 627 	 321.994µs
0 	 628 	 327.99µs
0 	 629 	 330.459µs
0 	 630 	 299.231µs
0 	 631 	 285.48µs
0 	 632 	 303.614µs
0 	 633 	 320.256µs
0 	 634 	 298.076µs
0 	 635 	 284.838µs
0 	 636 	 284.262µs
0 	 637 	 306.832µs
0 	 638 	 315.623µs
0 	 639 	 335.28µs
0 	 640 	 334.106µs
0 	 641 	 326.694µs
0 	 642 	 386.961µs
0 	 643 	 294.723µs
0 	 644 	 290.527µs
0 	 645 	 302.928µs
0 	 646 	 290.366µs
0 	 647 	 286.487µs
0 	 648 	 273.582µs
0 	 649 	 288.858µs
0 	 650 	 368.916µs
0 	 651 	 357.319µs
0 	 652 	 365.806µs
0 	 653 	 378.566µs
0 	 654 	 360.063µs
0 	 655 	 373.847µs
0 	 656 	 324.086µs
0 	 657 	 332.124µs
0 	 658 	 316.393µs
0 	 659 	 411.327µs
0 	 660 	 364.086µs
0 	 661 	 333.138µs
0 	 662 	 328.433µs
0 	 663 	 372.947µs
0 	 664 	 361.033µs
0 	 665 	 365.434µs
0 	 666 	 381.098µs
0 	 667 	 346.514µs
0 	 668 	 329.627µs
0 	 669 	 328.661µs
0 	 670 	 342.577µs
0 	 671 	 385.134µs
0 	 672 	 368.348µs
0 	 673 	 311.855µs
0 	 674 	 357.704µs
0 	 675 	 345.643µs
0 	 676 	 375.636µs
0 	 677 	 361.41µs
0 	 678 	 326.718µs
0 	 679 	 302.994µs
0 	 680 	 359.24µs
0 	 681 	 327.509µs
0 	 682 	 310.614µs
0 	 683 	 319.929µs
0 	 684 	 326.21µs
0 	 685 	 299.44µs
0 	 686 	 302.909µs
0 	 687 	 299.53µs
0 	 688 	 361.931µs
0 	 689 	 333.891µs
0 	 690 	 332.767µs
0 	 691 	 335.361µs
0 	 692 	 362.652µs
0 	 693 	 392.603µs
0 	 694 	 300.615µs
0 	 695 	 287.263µs
0 	 696 	 330.641µs
0 	 697 	 304.934µs
0 	 698 	 280.694µs
0 	 699 	 294.476µs
0 	 700 	 370.246µs
0 	 701 	 362.046µs
0 	 702 	 340.168µs
0 	 703 	 370.667µs
0 	 704 	 361.851µs
0 	 705 	 320.282µs
0 	 706 	 297.726µs
0 	 707 	 308.453µs
0 	 708 	 335.366µs
0 	 709 	 307.668µs
0 	 710 	 297.492µs
0 	 711 	 293.719µs
0 	 712 	 333.272µs
0 	 713 	 361.977µs
0 	 714 	 325.737µs
0 	 715 	 319.692µs
0 	 716 	 370.752µs
0 	 717 	 348.747µs
0 	 718 	 297.889µs
0 	 719 	 290.131µs
0 	 720 	 344.362µs
0 	 721 	 313.528µs
0 	 722 	 319.727µs
0 	 723 	 288.104µs
0 	 724 	 314.23µs
0 	 725 	 325.111µs
0 	 726 	 322.718µs
0 	 727 	 322.885µs
0 	 728 	 348.309µs
0 	 729 	 303.815µs
0 	 730 	 288.766µs
0 	 731 	 299.701µs
0 	 732 	 298.284µs
0 	 733 	 320.501µs
0 	 734 	 298.282µs
0 	 735 	 317.208µs
0 	 736 	 286.501µs
0 	 737 	 307.854µs
0 	 738 	 316.275µs
0 	 739 	 302.473µs
0 	 740 	 338.385µs
0 	 741 	 349.889µs
0 	 742 	 323.87µs
0 	 743 	 290.518µs
0 	 744 	 289.165µs
0 	 745 	 294.601µs
0 	 746 	 305.687µs
0 	 747 	 290.021µs
0 	 748 	 319.491µs
0 	 749 	 337.366µs
0 	 750 	 365.452µs
0 	 751 	 342.925µs
0 	 752 	 331.714µs
0 	 753 	 343.147µs
0 	 754 	 339.434µs
0 	 755 	 293.478µs
0 	 756 	 288.381µs
0 	 757 	 293.915µs
0 	 758 	 306.617µs
0 	 759 	 326.595µs
0 	 760 	 344.889µs
0 	 761 	 346.796µs
0 	 762 	 330.215µs
0 	 763 	 364.03µs
0 	 764 	 365.532µs
0 	 765 	 390.145µs
0 	 766 	 357.828µs
0 	 767 	 355.827µs
0 	 768 	 333.096µs
0 	 769 	 358.903µs
0 	 770 	 340.894µs
0 	 771 	 369.477µs
0 	 772 	 367.246µs
0 	 773 	 343.013µs
0 	 774 	 384.272µs
0 	 775 	 394.476µs
0 	 776 	 365.271µs
0 	 777 	 360.34µs
0 	 778 	 346.011µs
0 	 779 	 321.635µs
0 	 780 	 362.615µs
0 	 781 	 327.973µs
0 	 782 	 304.139µs
0 	 783 	 315.992µs
0 	 784 	 347.983µs
0 	 785 	 338.966µs
0 	 786 	 294.119µs
0 	 787 	 306.415µs
0 	 788 	 367.992µs
0 	 789 	 312.758µs
0 	 790 	 328.274µs
0 	 791 	 333.817µs
0 	 792 	 367.713µs
0 	 793 	 343.905µs
0 	 794 	 314.131µs
0 	 795 	 292.175µs
0 	 796 	 328.668µs
0 	 797 	 366.799µs
0 	 798 	 313.407µs
0 	 799 	 337.68µs
0 	 800 	 357.167µs
0 	 801 	 301.392µs
0 	 802 	 306.235µs
0 	 803 	 299.483µs
0 	 804 	 330.229µs
0 	 805 	 392.769µs
0 	 806 	 305.225µs
0 	 807 	 305.639µs
0 	 808 	 349.009µs
0 	 809 	 289.65µs
0 	 810 	 304.41µs
0 	 811 	 293.496µs
0 	 812 	 335.285µs
0 	 813 	 344.108µs
0 	 814 	 318.213µs
0 	 815 	 332.248µs
0 	 816 	 384.349µs
0 	 817 	 301.611µs
0 	 818 	 310.621µs
0 	 819 	 288.116µs
0 	 820 	 343.881µs
0 	 821 	 333.813µs
0 	 822 	 298.749µs
0 	 823 	 325.822µs
0 	 824 	 330.904µs
0 	 825 	 318.652µs
0 	 826 	 318.113µs
0 	 827 	 314.847µs
0 	 828 	 288.224µs
0 	 829 	 293.946µs
0 	 830 	 316.392µs
0 	 831 	 329.599µs
0 	 832 	 311.346µs
0 	 833 	 311.848µs
0 	 834 	 289.946µs
0 	 835 	 293.293µs
0 	 836 	 282.864µs
0 	 837 	 311.435µs
0 	 838 	 336.761µs
0 	 839 	 312.81µs
0 	 840 	 330.57µs
0 	 841 	 337.699µs
0 	 842 	 340.886µs
0 	 843 	 326.519µs
0 	 844 	 300.099µs
0 	 845 	 283.714µs
0 	 846 	 287.089µs
0 	 847 	 325.794µs
0 	 848 	 303.013µs
0 	 849 	 320.028µs
0 	 850 	 302.481µs
0 	 851 	 337.536µs
0 	 852 	 362.845µs
0 	 853 	 373.561µs
0 	 854 	 320.13µs
0 	 855 	 324.333µs
0 	 856 	 339.695µs
0 	 857 	 342.509µs
0 	 858 	 290.529µs
0 	 859 	 298.271µs
