ConnID	RqstID	Latency
0 	 0 	 302.121µs
0 	 1 	 327.946µs
0 	 2 	 357.905µs
0 	 3 	 346.845µs
0 	 4 	 337.258µs
0 	 5 	 330.647µs
0 	 6 	 332.167µs
0 	 7 	 346.094µs
0 	 8 	 331.265µs
0 	 9 	 284.922µs
0 	 10 	 284.81µs
0 	 11 	 311.774µs
0 	 12 	 295.895µs
0 	 13 	 293.509µs
0 	 14 	 296.224µs
0 	 15 	 328.127µs
0 	 16 	 296.517µs
0 	 17 	 311.32µs
0 	 18 	 286.505µs
0 	 19 	 290.925µs
0 	 20 	 313.187µs
0 	 21 	 305.818µs
0 	 22 	 315.951µs
0 	 23 	 333.662µs
0 	 24 	 323.819µs
0 	 25 	 337.837µs
0 	 26 	 327.024µs
0 	 27 	 327.582µs
0 	 28 	 326.424µs
0 	 29 	 321.229µs
0 	 30 	 293.2µs
0 	 31 	 481.989µs
0 	 32 	 406.456µs
0 	 33 	 298.054µs
0 	 34 	 314.884µs
0 	 35 	 300.689µs
0 	 36 	 280.283µs
0 	 37 	 293.96µs
0 	 38 	 281.669µs
0 	 39 	 322.242µs
0 	 40 	 292.74µs
0 	 41 	 323.524µs
0 	 42 	 305.642µs
0 	 43 	 317.125µs
0 	 44 	 307.199µs
0 	 45 	 263.821µs
0 	 46 	 290.064µs
0 	 47 	 270.342µs
0 	 48 	 239.708µs
0 	 49 	 265.261µs
0 	 50 	 263.938µs
0 	 51 	 265.589µs
0 	 52 	 270.008µs
0 	 53 	 288.746µs
0 	 54 	 286.332µs
0 	 55 	 294.575µs
0 	 56 	 288.906µs
0 	 57 	 265.336µs
0 	 58 	 283.64µs
0 	 59 	 284.865µs
0 	 60 	 268.049µs
0 	 61 	 264.36µs
0 	 62 	 283.111µs
0 	 63 	 270.286µs
0 	 64 	 262.721µs
0 	 65 	 267.212µs
0 	 66 	 282.956µs
0 	 67 	 297.519µs
0 	 68 	 299.035µs
0 	 69 	 265.536µs
0 	 70 	 287.672µs
0 	 71 	 285.561µs
0 	 72 	 280.773µs
0 	 73 	 290.594µs
0 	 74 	 299.024µs
0 	 75 	 293.205µs
0 	 76 	 264.293µs
0 	 77 	 284.627µs
0 	 78 	 286.936µs
0 	 79 	 271.456µs
0 	 80 	 283.638µs
0 	 81 	 256.871µs
0 	 82 	 296.403µs
0 	 83 	 248.513µs
0 	 84 	 287.077µs
0 	 85 	 261.906µs
0 	 86 	 264.752µs
0 	 87 	 252.237µs
0 	 88 	 289.176µs
0 	 89 	 267.837µs
0 	 90 	 282.873µs
0 	 91 	 274.512µs
0 	 92 	 275.942µs
0 	 93 	 266.126µs
0 	 94 	 251.999µs
0 	 95 	 336.603µs
0 	 96 	 266.593µs
0 	 97 	 271.78µs
0 	 98 	 246.402µs
0 	 99 	 286.545µs
0 	 100 	 264.362µs
0 	 101 	 263.749µs
