top - 21:02:22 up 15 days,  5:05,  6 users,  load average: 0.87, 0.76, 0.44
Tasks: 355 total,   2 running, 353 sleeping,   0 stopped,   0 zombie
%Cpu(s):  0.0 us,  0.1 sy,  0.0 ni, 99.9 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
KiB Mem:  98996304 total, 22576420 used, 76419888 free,   259488 buffers
KiB Swap: 29296636 total,        0 used, 29296636 free. 20430240 cached Mem

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU %MEM     TIME+ COMMAND
   89 root      20   0       0      0      0 R  88.6  0.0  16:10.30 ksoftirqd/3
 8470 root      20   0    6632    868    616 S  38.0  0.0   2:47.97 iperf3
    8 root      20   0       0      0      0 S   6.3  0.0  23:31.93 rcu_sched
13349 root      20   0       0      0      0 S   6.3  0.0   0:49.14 kworker/3:2
    1 root      20   0   33748   3148   1496 S   0.0  0.0   0:06.20 init
    2 root      20   0       0      0      0 S   0.0  0.0   0:00.06 kthreadd
    3 root      20   0       0      0      0 S   0.0  0.0   0:07.67 ksoftirqd/0
    5 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/0:0H
    6 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/u64:0
    9 root      20   0       0      0      0 S   0.0  0.0  12:29.83 rcuos/0
   10 root      20   0       0      0      0 S   0.0  0.0  15:32.88 rcuos/1
   11 root      20   0       0      0      0 S   0.0  0.0  13:47.88 rcuos/2
   12 root      20   0       0      0      0 S   0.0  0.0   4:41.39 rcuos/3
   13 root      20   0       0      0      0 S   0.0  0.0   2:05.85 rcuos/4
   14 root      20   0       0      0      0 S   0.0  0.0   0:46.30 rcuos/5
   15 root      20   0       0      0      0 S   0.0  0.0   2:11.06 rcuos/6
   16 root      20   0       0      0      0 S   0.0  0.0   0:47.14 rcuos/7
   17 root      20   0       0      0      0 S   0.0  0.0   2:29.32 rcuos/8
   18 root      20   0       0      0      0 S   0.0  0.0   1:10.03 rcuos/9
   19 root      20   0       0      0      0 S   0.0  0.0   2:32.32 rcuos/10
   20 root      20   0       0      0      0 S   0.0  0.0   1:10.97 rcuos/11
   21 root      20   0       0      0      0 S   0.0  0.0   0:06.79 rcuos/12
   22 root      20   0       0      0      0 S   0.0  0.0   0:00.72 rcuos/13
   23 root      20   0       0      0      0 S   0.0  0.0   0:12.97 rcuos/14
   24 root      20   0       0      0      0 S   0.0  0.0   0:03.52 rcuos/15
   25 root      20   0       0      0      0 S   0.0  0.0   0:06.28 rcuos/16
   26 root      20   0       0      0      0 S   0.0  0.0   0:00.56 rcuos/17
   27 root      20   0       0      0      0 S   0.0  0.0   0:03.04 rcuos/18
   28 root      20   0       0      0      0 S   0.0  0.0   0:00.66 rcuos/19
   29 root      20   0       0      0      0 S   0.0  0.0   0:05.12 rcuos/20
   30 root      20   0       0      0      0 S   0.0  0.0   0:00.47 rcuos/21
   31 root      20   0       0      0      0 S   0.0  0.0   0:07.93 rcuos/22
   32 root      20   0       0      0      0 S   0.0  0.0   0:02.29 rcuos/23
   33 root      20   0       0      0      0 S   0.0  0.0   0:00.01 rcuos/24
   34 root      20   0       0      0      0 S   0.0  0.0   0:00.01 rcuos/25
   35 root      20   0       0      0      0 S   0.0  0.0   0:00.01 rcuos/26
   36 root      20   0       0      0      0 S   0.0  0.0   0:00.01 rcuos/27
   37 root      20   0       0      0      0 S   0.0  0.0   0:00.01 rcuos/28
   38 root      20   0       0      0      0 S   0.0  0.0   0:00.01 rcuos/29
   39 root      20   0       0      0      0 S   0.0  0.0   0:00.02 rcuos/30
   40 root      20   0       0      0      0 S   0.0  0.0   0:00.02 rcuos/31
   41 root      20   0       0      0      0 S   0.0  0.0   0:00.00 rcu_bh
   42 root      20   0       0      0      0 S   0.0  0.0   0:00.00 rcuob/0
   43 root      20   0       0      0      0 S   0.0  0.0   0:00.00 rcuob/1
   44 root      20   0       0      0      0 S   0.0  0.0   0:00.00 rcuob/2
   45 root      20   0       0      0      0 S   0.0  0.0   0:00.00 rcuob/3
   46 root      20   0       0      0      0 S   0.0  0.0   0:00.00 rcuob/4
   47 root      20   0       0      0      0 S   0.0  0.0   0:00.00 rcuob/5
   48 root      20   0       0      0      0 S   0.0  0.0   0:00.00 rcuob/6
   49 root      20   0       0      0      0 S   0.0  0.0   0:00.00 rcuob/7
   50 root      20   0       0      0      0 S   0.0  0.0   0:00.00 rcuob/8
   51 root      20   0       0      0      0 S   0.0  0.0   0:00.00 rcuob/9
   52 root      20   0       0      0      0 S   0.0  0.0   0:00.00 rcuob/10
   53 root      20   0       0      0      0 S   0.0  0.0   0:00.00 rcuob/11
   54 root      20   0       0      0      0 S   0.0  0.0   0:00.00 rcuob/12
   55 root      20   0       0      0      0 S   0.0  0.0   0:00.00 rcuob/13
   56 root      20   0       0      0      0 S   0.0  0.0   0:00.00 rcuob/14
   57 root      20   0       0      0      0 S   0.0  0.0   0:00.00 rcuob/15
   58 root      20   0       0      0      0 S   0.0  0.0   0:00.00 rcuob/16
   59 root      20   0       0      0      0 S   0.0  0.0   0:00.00 rcuob/17
   60 root      20   0       0      0      0 S   0.0  0.0   0:00.00 rcuob/18
   61 root      20   0       0      0      0 S   0.0  0.0   0:00.00 rcuob/19
   62 root      20   0       0      0      0 S   0.0  0.0   0:00.00 rcuob/20
   63 root      20   0       0      0      0 S   0.0  0.0   0:00.00 rcuob/21
   64 root      20   0       0      0      0 S   0.0  0.0   0:00.00 rcuob/22
   65 root      20   0       0      0      0 S   0.0  0.0   0:00.00 rcuob/23
   66 root      20   0       0      0      0 S   0.0  0.0   0:00.00 rcuob/24
   67 root      20   0       0      0      0 S   0.0  0.0   0:00.00 rcuob/25
   68 root      20   0       0      0      0 S   0.0  0.0   0:00.00 rcuob/26
   69 root      20   0       0      0      0 S   0.0  0.0   0:00.00 rcuob/27
   70 root      20   0       0      0      0 S   0.0  0.0   0:00.00 rcuob/28
   71 root      20   0       0      0      0 S   0.0  0.0   0:00.00 rcuob/29
   72 root      20   0       0      0      0 S   0.0  0.0   0:00.00 rcuob/30
   73 root      20   0       0      0      0 S   0.0  0.0   0:00.00 rcuob/31
   74 root      rt   0       0      0      0 S   0.0  0.0   0:00.85 migration/0
   75 root      rt   0       0      0      0 S   0.0  0.0   0:03.47 watchdog/0
   76 root      rt   0       0      0      0 S   0.0  0.0   0:03.69 watchdog/1
   77 root      rt   0       0      0      0 S   0.0  0.0   0:02.52 migration/1
   78 root      20   0       0      0      0 S   0.0  0.0   0:02.04 ksoftirqd/1
   80 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/1:0H
   82 root      rt   0       0      0      0 S   0.0  0.0   0:03.56 watchdog/2
   83 root      rt   0       0      0      0 S   0.0  0.0   0:00.63 migration/2
   84 root      20   0       0      0      0 S   0.0  0.0   0:06.33 ksoftirqd/2
   86 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/2:0H
   87 root      rt   0       0      0      0 S   0.0  0.0   0:03.63 watchdog/3
   88 root      rt   0       0      0      0 S   0.0  0.0   0:00.54 migration/3
   91 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/3:0H
