10ms	1000 	 32.478µs 	 124.819µs 	 424.568µs 	 64.662µs 	 99.99757495880968 	 102397.51675782111 	 204795.03351564222
3ms	1000 	 34.687µs 	 112.759µs 	 677.385µs 	 66.036µs 	 333.2913595082938 	 341290.35213649285 	 682580.7042729857
1ms	1000 	 27.553µs 	 61.889µs 	 1.026438ms 	 41.083µs 	 999.799321280032 	 1.0237945049907528e+06 	 2.0475890099815056e+06
300us	1000 	 27.152µs 	 41.073µs 	 1.098042ms 	 51.036µs 	 3321.6135844748237 	 3.4013323105022195e+06 	 6.802664621004439e+06
100us	1000 	 22.053µs 	 33.61µs 	 180.089µs 	 17.278µs 	 9933.67444511786 	 1.0172082631800689e+07 	 2.0344165263601378e+07
30us	1000 	 18.824µs 	 39.77µs 	 1.13013ms 	 81.134µs 	 16114.122795900212 	 1.6500861743001817e+07 	 3.3001723486003634e+07
10us	1000 	 21.645µs 	 28.542µs 	 99.973µs 	 4.419µs 	 16686.65561142359 	 1.7087135346097756e+07 	 3.417427069219551e+07
3us	1000 	 21.726µs 	 33.264µs 	 184.368µs 	 18.017µs 	 16792.096349824773 	 1.7195106662220567e+07 	 3.4390213324441135e+07
1us	1000 	 21.438µs 	 44.762µs 	 1.140159ms 	 93.294µs 	 17300.638770724563 	 1.7715854101221953e+07 	 3.5431708202443905e+07
300ns	1000 	 21.901µs 	 31.9µs 	 697.41µs 	 44.136µs 	 17098.21507116354 	 1.7508572232871465e+07 	 3.501714446574293e+07
100ns	1000 	 19.681µs 	 35.182µs 	 943.315µs 	 54.887µs 	 16923.1837734557 	 1.7329340184018638e+07 	 3.4658680368037276e+07
30ns	1000 	 21.736µs 	 26.794µs 	 96.869µs 	 4.632µs 	 17543.154845182537 	 1.7964190561466917e+07 	 3.5928381122933835e+07
10ns	1000 	 22.169µs 	 49.748µs 	 1.130077ms 	 119.584µs 	 17009.799107128427 	 1.741803428569951e+07 	 3.483606857139902e+07
3ns	1000 	 20.543µs 	 29.003µs 	 199.477µs 	 13.087µs 	 17411.542616535236 	 1.7829419639332082e+07 	 3.5658839278664164e+07
1ns	1000 	 21.972µs 	 34.941µs 	 851.299µs 	 59.776µs 	 17171.440035081938 	 1.7583554595923904e+07 	 3.516710919184781e+07
0ns	1000 	 1.166742ms 	 4.232611ms 	 7.294451ms 	 1.759148ms 	 116915.81231411116 	 1.1972179180964983e+08 	 2.3944358361929965e+08
