16	1000 	 30.907µs 	 62.426µs 	 284.821µs 	 19.785µs 	 999.7988764588162 	 127974.25618672847 	 2.0475880989876555e+06
32	1000 	 36.312µs 	 98.394µs 	 235.632µs 	 52.111µs 	 999.5824314363445 	 255893.10244770418 	 2.0471448195816334e+06
64	1000 	 54.837µs 	 133.049µs 	 323.076µs 	 45.615µs 	 999.5966267756174 	 511793.4729091161 	 2.0471738916364645e+06
128	1000 	 51.197µs 	 123.267µs 	 518.338µs 	 52.405µs 	 999.5814642455243 	 1.0235714193874169e+06 	 2.0471428387748338e+06
256	1000 	 37.171µs 	 92.84µs 	 414.615µs 	 36.637µs 	 999.6241942830319 	 2.0472303498916493e+06 	 2.0472303498916493e+06
512	1000 	 36.798µs 	 77.526µs 	 345.5µs 	 37.09µs 	 999.7747637428008 	 4.095077432290512e+06 	 2.047538716145256e+06
1024	1000 	 32.009µs 	 83.551µs 	 612.916µs 	 57.944µs 	 999.7995941705469 	 8.19035827544512e+06 	 2.04758956886128e+06
2048	1000 	 32.594µs 	 63.174µs 	 662.886µs 	 31.152µs 	 999.7055907023605 	 1.6379176398067474e+07 	 2.0473970497584343e+06
4096	1000 	 44.85µs 	 113.199µs 	 799.919µs 	 69.61µs 	 999.5153549946702 	 3.2752119152465355e+07 	 2.0470074470290847e+06
8192	1000 	 46.94µs 	 111.996µs 	 1.518702ms 	 87.466µs 	 999.790271995063 	 6.552225526546845e+07 	 2.047570477045889e+06
16384	1000 	 54.257µs 	 215.855µs 	 2.725507ms 	 189.036µs 	 999.7534228153038 	 1.310396806352475e+08 	 2.0474950099257422e+06
32768	1000 	 63.237µs 	 137.709µs 	 1.439175ms 	 121.934µs 	 999.7459615519317 	 2.620774053450696e+08 	 2.0474797292583562e+06
65536	1000 	 103.873µs 	 173.44µs 	 1.114058ms 	 134.469µs 	 999.7425103180126 	 5.241530012496102e+08 	 2.0474726611312898e+06
131072	1000 	 142.56µs 	 283.367µs 	 1.921637ms 	 253.597µs 	 999.8010665823789 	 1.0483674031926845e+09 	 2.047592584360712e+06
262144	1000 	 217.96µs 	 485.369µs 	 2.551251ms 	 344.566µs 	 999.7473338563145 	 2.0966221206914377e+09 	 2.0474825397377321e+06
