Location,Test,timestamp,Deployment,RequestPeriod(ns),NumValidRtt(ns),MinRtt(ns),AvgRtt(ns),MaxRtt(ns),StdRtt(ns),Tps,TxBandwidth(bps),RxBandwidth(bps)
10gRemote,basic,20160518_17-19,kvmBridgeBr0,1E+07,1000,2.45407E+05,4.78303E+05,1.532677E+06,4.883E+04,99.99283267374248,102392.6606579123,204785.3213158246
10gRemote,basic,20160518_17-19,kvmBridgeBr0,3E+06,1000,3.35325E+05,4.56088E+05,5.0308E+06,1.60592E+05,333.243729648493,341241.57916005683,682483.1583201137
10gRemote,basic,20160518_17-19,kvmBridgeBr0,1E+06,1000,2.99783E+05,3.61532E+05,4.98719E+05,2.1872E+04,999.3956105075675,1.0233811051597492e+06,2.0467622103194983e+06
10gRemote,basic,20160518_17-19,kvmBridgeBr0,3E+05,1000,1.48504E+05,2.7634E+05,4.45069E+05,5.7919E+04,3326.0420283460203,3.405867037026325e+06,6.81173407405265e+06
10gRemote,basic,20160518_17-19,kvmBridgeBr0,1E+05,1000,1.08498E+05,1.58858E+05,4.01122E+05,3.2077E+04,9734.998542476018,9.968638507495442e+06,1.9937277014990885e+07
10gRemote,basic,20160518_17-19,kvmBridgeBr0,3E+04,1000,9.6236E+04,1.93116E+05,1.748737E+06,1.94444E+05,12055.239421635904,1.2344565167755166e+07,2.4689130335510332e+07
10gRemote,basic,20160518_17-19,kvmBridgeBr0,1E+04,1000,9.0583E+04,1.45027E+05,4.29735E+05,3.7961E+04,15012.723207855042,1.5373028564843563e+07,3.0746057129687127e+07
10gRemote,basic,20160518_17-19,kvmBridgeBr0,3E+03,1000,9.811E+04,1.45538E+05,1.104953E+06,4.459E+04,15477.211493092473,1.5848664568926692e+07,3.1697329137853384e+07
10gRemote,basic,20160518_17-19,kvmBridgeBr0,1E+03,1000,9.5282E+04,1.63379E+05,1.561188E+06,1.48547E+05,15819.978015609351,1.6199657487983976e+07,3.239931497596795e+07
10gRemote,basic,20160518_17-19,kvmBridgeBr0,3E+02,1000,9.6419E+04,1.44183E+05,3.69667E+05,3.1406E+04,16004.214101623525,1.638831524006249e+07,3.277663048012498e+07
10gRemote,basic,20160518_17-19,kvmBridgeBr0,1E+02,1000,9.3074E+04,1.43584E+05,4.34166E+05,3.4545E+04,15719.354442581944,1.609661894920391e+07,3.219323789840782e+07
