Location,Test,timestamp,Deployment,RequestSize(byte),NumValidRtt,MinRtt(ns),AvgRtt(ns),MaxRtt(ns),StdRtt(ns),Tps,TxBandwidth(bps),RxBandwidth(bps)
10gRemote,basic,20160518_17-19,kvmBridgeBr0,16,1000,2.12528E+05,3.78629E+05,1.782121E+06,5.8777E+04,999.3132669264019,127912.09816657944,2.046593570665271e+06
10gRemote,basic,20160518_17-19,kvmBridgeBr0,32,1000,2.38997E+05,3.7131E+05,6.0379E+05,3.0575E+04,999.4800484902144,255866.89241349488,2.046935139307959e+06
10gRemote,basic,20160518_17-19,kvmBridgeBr0,64,1000,2.53677E+05,3.768E+05,8.90031E+05,3.3236E+04,999.4126042365734,511699.2533691256,2.0467970134765024e+06
10gRemote,basic,20160518_17-19,kvmBridgeBr0,128,1000,2.38656E+05,3.72705E+05,1.500851E+06,5.2108E+04,999.3491908284093,1.0233335714082911e+06,2.0466671428165822e+06
10gRemote,basic,20160518_17-19,kvmBridgeBr0,256,1000,2.43582E+05,3.65471E+05,6.07983E+05,2.7871E+04,999.3400727915113,2.046648469077015e+06,2.046648469077015e+06
10gRemote,basic,20160518_17-19,kvmBridgeBr0,512,1000,1.94577E+05,3.64254E+05,1.018172E+06,3.4945E+04,999.4408668048295,4.0937097904325817e+06,2.0468548952162908e+06
10gRemote,basic,20160518_17-19,kvmBridgeBr0,1024,1000,2.99795E+05,3.64881E+05,5.4633E+05,2.8243E+04,999.495722424174,8.187868958098833e+06,2.0469672395247084e+06
10gRemote,basic,20160518_17-19,kvmBridgeBr0,2048,1000,2.59147E+05,3.76865E+05,1.410595E+06,5.4868E+04,999.3259646301167,1.6372956604499832e+07,2.046619575562479e+06
10gRemote,basic,20160518_17-19,kvmBridgeBr0,4096,1000,2.586E+05,3.7621E+05,1.360942E+06,5.6332E+04,999.4562797924923,3.2750183376240388e+07,2.0468864610150242e+06
10gRemote,basic,20160518_17-19,kvmBridgeBr0,8192,1000,3.57604E+05,4.47196E+05,1.421944E+06,5.5881E+04,999.1668477215279,6.548139853227805e+07,2.0462937041336892e+06
10gRemote,basic,20160518_17-19,kvmBridgeBr0,16384,1000,2.88932E+05,4.03119E+05,2.2932E+06,1.09247E+05,999.366960992229,1.3098902631117344e+08,2.046703536112085e+06
10gRemote,basic,20160518_17-19,kvmBridgeBr0,32768,1000,4.03017E+05,5.15073E+05,3.119712E+06,1.42456E+05,999.464401019995,2.6200359594098556e+08,2.0469030932889497e+06
10gRemote,basic,20160518_17-19,kvmBridgeBr0,65536,1000,6.67368E+05,7.81204E+05,1.647187E+06,1.17645E+05,999.4817037702844,5.240162635063149e+08,2.0469385293215425e+06
10gRemote,basic,20160518_17-19,kvmBridgeBr0,131072,1000,1.109068E+06,1.459034E+06,4.798186E+06,5.03665E+05,999.2071810606018,1.0477446690878016e+09,2.0463763068121125e+06
10gRemote,basic,20160518_17-19,kvmBridgeBr0,262144,1000,3.017644E+06,1.5203161E+07,3.2599502E+07,2.483912E+06,887.3006349491401,1.860804301184859e+09,1.817191700375839e+06
10gRemote,basic,20160518_17-19,kvmNetworkDefault,16,1000,2.41462E+05,3.484E+05,9.02854E+05,4.6758E+04,999.3177607681348,127912.67337832125,2.04660277405314e+06
10gRemote,basic,20160518_17-19,kvmNetworkDefault,32,1000,2.12097E+05,3.60169E+05,4.96584E+05,2.8951E+04,999.4257909055189,255853.00247181283,2.0468240197745026e+06
10gRemote,basic,20160518_17-19,kvmNetworkDefault,64,1000,3.0563E+05,4.00101E+05,1.7421E+06,5.8222E+04,999.4391157676703,511712.8272730472,2.0468513090921887e+06
10gRemote,basic,20160518_17-19,kvmNetworkDefault,128,1000,2.49982E+05,3.60839E+05,3.877967E+06,1.90997E+05,999.3035204218892,1.0232868049120145e+06,2.046573609824029e+06
10gRemote,basic,20160518_17-19,kvmNetworkDefault,256,1000,3.22044E+05,4.00574E+05,6.87026E+05,4.1081E+04,999.3440785153782,2.0466566727994946e+06,2.0466566727994946e+06
10gRemote,basic,20160518_17-19,kvmNetworkDefault,512,1000,2.97229E+05,3.81815E+05,1.147455E+06,4.1885E+04,999.3193985338376,4.0932122563945986e+06,2.0466061281972993e+06
10gRemote,basic,20160518_17-19,kvmNetworkDefault,1024,1000,3.00975E+05,4.02659E+05,1.747653E+06,5.7755E+04,999.2577133986942,8.185919188162103e+06,2.0464797970405258e+06
10gRemote,basic,20160518_17-19,kvmNetworkDefault,2048,1000,2.9537E+05,4.33385E+05,4.899723E+06,2.07765E+05,999.2846431018273,1.6372279592580339e+07,2.0465349490725424e+06
10gRemote,basic,20160518_17-19,kvmNetworkDefault,4096,1000,3.26229E+05,4.4246E+05,1.458544E+06,5.6745E+04,999.2089262930539,3.274207809677079e+07,2.0463798810481743e+06
10gRemote,basic,20160518_17-19,kvmNetworkDefault,8192,1000,2.77639E+05,4.64626E+05,1.521024E+06,5.9951E+04,999.2714052373849,6.548825081363726e+07,2.0465078379261643e+06
10gRemote,basic,20160518_17-19,kvmNetworkDefault,16384,1000,2.68225E+05,4.86151E+05,1.594871E+06,8.9004E+04,999.3796760406643,1.3099069289800195e+08,2.0467295765312805e+06
10gRemote,basic,20160518_17-19,kvmNetworkDefault,32768,1000,3.17923E+05,5.35076E+05,1.696249E+06,1.26505E+05,999.3197370726616,2.619656731551758e+08,2.046606821524811e+06
10gRemote,basic,20160518_17-19,kvmNetworkDefault,65536,1000,4.33875E+05,6.10799E+05,1.802014E+06,1.61205E+05,999.3146000952325,5.239286530547293e+08,2.0465963009950363e+06
10gRemote,basic,20160518_17-19,kvmNetworkDefault,131072,1000,6.87982E+05,9.33372E+05,2.988699E+06,2.26691E+05,999.4663149717945,1.0480163906878644e+09,2.0469070130622352e+06
10gRemote,basic,20160518_17-19,kvmNetworkDefault,262144,1000,2.478324E+06,2.5979752E+07,5.6676823E+07,1.5322145E+07,848.6727265214822,1.7797957057699795e+09,1.7380817439159956e+06
10gRemote,basic,20160518_17-19,lxcBridgeBr0,16,1000,1.27322E+05,1.91094E+05,1.067447E+06,4.1939E+04,999.5839771470473,127946.74907482206,2.047147985197153e+06
10gRemote,basic,20160518_17-19,lxcBridgeBr0,32,1000,1.45494E+05,2.05274E+05,4.51329E+05,2.8711E+04,999.2826000321978,255816.34560824264,2.0465307648659411e+06
10gRemote,basic,20160518_17-19,lxcBridgeBr0,64,1000,1.5138E+05,1.82002E+05,1.573395E+06,5.28E+04,999.489485757912,511738.61670805095,2.0469544668322038e+06
10gRemote,basic,20160518_17-19,lxcBridgeBr0,128,1000,1.63386E+05,2.25465E+05,1.479074E+06,5.2733E+04,999.4197548798724,1.0234058289969893e+06,2.0468116579939786e+06
10gRemote,basic,20160518_17-19,lxcBridgeBr0,256,1000,1.41535E+05,2.02574E+05,5.40545E+05,3.3817E+04,999.3735956283809,2.0467171238469242e+06,2.0467171238469242e+06
10gRemote,basic,20160518_17-19,lxcBridgeBr0,512,1000,1.48078E+05,2.015E+05,1.383759E+06,5.2681E+04,999.3625136480815,4.093388855902542e+06,2.046694427951271e+06
10gRemote,basic,20160518_17-19,lxcBridgeBr0,1024,1000,1.56834E+05,2.24605E+05,4.1695E+05,3.0862E+04,999.306557196604,8.18631931655458e+06,2.046579829138645e+06
10gRemote,basic,20160518_17-19,lxcBridgeBr0,2048,1000,1.62573E+05,2.65969E+05,1.670047E+06,6.7317E+04,999.4689891223621,1.6375299917780781e+07,2.0469124897225976e+06
