Location,Test,timestamp,Deployment,Bandwidth(Mbits/sec),Retry
10gRemote,basic,20160518_17-19,kvmBridgeBr0,1.9300E+03,218
10gRemote,basic,20160518_17-19,kvmNetworkDefault,2.9600E+03,0
10gRemote,basic,20160518_17-19,lxcBridgeBr0,1.9300E+03,37
10gRemote,basic,20160518_17-19,lxcNetworkDefault,3.0000E+03,69
10gRemote,basic,20160518_17-19,physical,6.3900E+03,0
Local,basic,20160513_21-33,kvmBridgeBr0,1.9500E+04,0
Local,basic,20160513_21-33,kvmNetworkDefault,2.0700E+04,0
Local,basic,20160513_21-33,lxcBridgeBr0,1.6500E+04,0
Local,basic,20160513_21-33,lxcNetworkDefault,1.7800E+04,0
Local,basic,20160513_21-33,physical,3.3200E+04,0
Remote,basic,20160513_20-22,kvmBridgeBr0,9.4300E+02,0
Remote,basic,20160513_20-22,kvmNetworkDefault,9.4200E+02,0
Remote,basic,20160513_20-22,lxcBridgeBr0,9.4400E+02,0
Remote,basic,20160513_20-22,lxcNetworkDefault,9.4200E+02,0
Remote,basic,20160513_20-22,physical,9.4300E+02,0
Local,ovs2.5.0,20160517_18-02,kvmBridgeOvsbr0,2.2000E+04,0
Local,ovs2.5.0,20160517_18-02,lxcBridgeOvsbr0,1.7500E+04,0
Remote,ovs2.5.0,20160517_17-47,kvmBridgeOvsbr0,9.4300E+02,0
Remote,ovs2.5.0,20160517_17-47,lxcBridgeOvsbr0,9.4300E+02,0
10gRemote,ovs2.5.0,20160518_19-15,kvmBridgeOvsbr0,1.9300E+03,44
10gRemote,ovs2.5.0,20160518_19-15,lxcBridgeOvsbr0,1.9400E+03,69
Local,ovs,20160513_22-03,kvmBridgeOvsbr0,1.9900E+04,0
Local,ovs,20160513_22-03,lxcBridgeOvsbr0,1.7700E+04,0
Remote,ovs,20160513_22-12,kvmBridgeOvsbr0,9.4300E+02,0
Remote,ovs,20160513_22-12,lxcBridgeOvsbr0,9.4200E+02,0
Local,rtl8139,20160513_22-49,kvmRtl8139NetworkDefault,9.2300E+02,16
10gRemote,unikernel,20160518_18-31,osvBridgeBr0,1.8800E+03,212
Local,unikernel,20160513_19-36,osvBridgeBr0,1.9200E+04,0
Remote,unikernel,20160513_19-28,osvBridgeBr0,9.2900E+02,0
