Location,Test,timestamp,Deployment,NumValidRtt(ns),MinRtt(ns),AvgRtt(ns),MaxRtt(ns),StdRtt(ns),Tps
10gRemote,basic,20160518_17-19,kvmBridgeBr0,100000,2.26238E+05,3.8354E+05,2.704038E+06,4.9401E+04,999.9936804099374
10gRemote,basic,20160518_17-19,kvmNetworkDefault,100000,2.22455E+05,3.82499E+05,2.746746E+06,5.0633E+04,999.9531247873886
10gRemote,basic,20160518_17-19,lxcBridgeBr0,100000,1.22686E+05,2.08849E+05,2.408765E+06,4.709E+04,999.9541073762297
10gRemote,basic,20160518_17-19,lxcNetworkDefault,100000,1.55597E+05,3.06389E+05,3.289181E+06,5.2786E+04,999.9343145448624
10gRemote,basic,20160518_17-19,physical,100000,1.07417E+05,2.02051E+05,6.487301E+06,7.7751E+04,999.9544190177206
Local,basic,20160513_21-33,kvmBridgeBr0,100000,1.12543E+05,3.28024E+05,2.730233E+06,4.8623E+04,999.9939807862312
Local,basic,20160513_21-33,kvmNetworkDefault,100000,1.19543E+05,3.36217E+05,2.204365E+06,4.4557E+04,999.9957407481413
Local,basic,20160513_21-33,lxcBridgeBr0,100000,7.5562E+04,1.59989E+05,2.466166E+06,4.5154E+04,999.9960133458935
Local,basic,20160513_21-33,lxcNetworkDefault,100000,8.4921E+04,2.18174E+05,4.705463E+06,4.5738E+04,999.9944541007571
Local,basic,20160513_21-33,physical,100000,4.866E+04,1.7787E+05,7.259583E+06,7.9812E+04,999.9967793503727
Remote,basic,20160513_20-22,kvmBridgeBr0,100000,2.32721E+05,3.90259E+05,2.920073E+06,4.7801E+04,999.9723372352497
Remote,basic,20160513_20-22,kvmNetworkDefault,100000,2.08245E+05,3.92297E+05,2.645199E+06,4.8706E+04,999.9724408495277
Remote,basic,20160513_20-22,lxcBridgeBr0,100000,1.50157E+05,2.84699E+05,2.574116E+06,3.61E+04,999.9628929469845
Remote,basic,20160513_20-22,lxcNetworkDefault,100000,1.83197E+05,3.36854E+05,3.711768E+06,4.8072E+04,999.9846293362609
Remote,basic,20160513_20-22,physical,100000,1.11075E+05,2.48496E+05,3.339528E+06,4.7519E+04,999.9937625689057
Local,ovs2.5.0,20160517_18-02,kvmBridgeOvsbr0,100000,1.05837E+05,3.19685E+05,4.117554E+06,6.2468E+04,999.9656269615464
Local,ovs2.5.0,20160517_18-02,lxcBridgeOvsbr0,100000,5.1362E+04,2.16194E+05,9.069762E+06,1.24224E+05,999.9951638433885
Remote,ovs2.5.0,20160517_17-47,kvmBridgeOvsbr0,100000,1.68186E+05,3.71961E+05,3.687896E+06,5.3938E+04,999.9633194955088
Remote,ovs2.5.0,20160517_17-47,lxcBridgeOvsbr0,100000,1.31059E+05,2.7642E+05,9.368596E+06,1.09925E+05,999.9741554579576
10gRemote,ovs2.5.0,20160518_19-15,kvmBridgeOvsbr0,100000,1.78578E+05,3.7399E+05,2.113448E+06,4.7108E+04,999.9922484400872
10gRemote,ovs2.5.0,20160518_19-15,lxcBridgeOvsbr0,100000,1.5581E+05,2.86591E+05,2.252389E+06,4.4869E+04,999.9534465773221
Local,ovs,20160513_22-03,kvmBridgeOvsbr0,100000,1.47707E+05,3.32083E+05,1.964614E+06,4.2631E+04,999.9945017902304
Local,ovs,20160513_22-03,lxcBridgeOvsbr0,100000,5.8892E+04,2.36788E+05,8.575843E+06,2.40768E+05,999.9957627079548
Remote,ovs,20160513_22-12,kvmBridgeOvsbr0,100000,1.6051E+05,3.66182E+05,3.597641E+06,4.6716E+04,999.9646107724418
Remote,ovs,20160513_22-12,lxcBridgeOvsbr0,100000,9.5602E+04,2.88906E+05,8.764801E+06,2.69157E+05,999.9937539590134
Local,rtl8139,20160513_22-49,kvmRtl8139NetworkDefault,100000,1.89649E+05,3.94219E+05,6.828355E+06,6.3606E+04,999.9934817524878
