Location,Test,timestamp,Deployment,Tps
10gRemote,basic,20160518_17-19,kvmBridgeBr0,4288.39
10gRemote,basic,20160518_17-19,kvmNetworkDefault,6518.86
10gRemote,basic,20160518_17-19,lxcBridgeBr0,8522.32
10gRemote,basic,20160518_17-19,lxcNetworkDefault,6756.70
10gRemote,basic,20160518_17-19,physical,12632.26
Local,basic,20160513_21-33,kvmBridgeBr0,21277.12
Local,basic,20160513_21-33,kvmNetworkDefault,20999.33
Local,basic,20160513_21-33,lxcBridgeBr0,47667.52
Local,basic,20160513_21-33,lxcNetworkDefault,47124.21
Local,basic,20160513_21-33,physical,54557.29
Remote,basic,20160513_20-22,kvmBridgeBr0,3392.39
Remote,basic,20160513_20-22,kvmNetworkDefault,3432.84
Remote,basic,20160513_20-22,lxcBridgeBr0,5287.64
Remote,basic,20160513_20-22,lxcNetworkDefault,4955.33
Remote,basic,20160513_20-22,physical,13593.85
Local,ovs2.5.0,20160517_18-02,kvmBridgeOvsbr0,18593.37
Local,ovs2.5.0,20160517_18-02,lxcBridgeOvsbr0,46294.73
Remote,ovs2.5.0,20160517_17-47,kvmBridgeOvsbr0,4012.09
Remote,ovs2.5.0,20160517_17-47,lxcBridgeOvsbr0,6240.62
10gRemote,ovs2.5.0,20160518_19-15,kvmBridgeOvsbr0,3912.02
10gRemote,ovs2.5.0,20160518_19-15,lxcBridgeOvsbr0,6057.13
Local,ovs,20160513_22-03,kvmBridgeOvsbr0,21032.23
Local,ovs,20160513_22-03,lxcBridgeOvsbr0,46079.70
Remote,ovs,20160513_22-12,kvmBridgeOvsbr0,3861.94
Remote,ovs,20160513_22-12,lxcBridgeOvsbr0,5942.77
Local,rtl8139,20160513_22-49,kvmRtl8139NetworkDefault,4717.53
10gRemote,unikernel,20160518_18-31,osvBridgeBr0,7724.18
Local,unikernel,20160513_19-36,osvBridgeBr0,32681.82
Remote,unikernel,20160513_19-28,osvBridgeBr0,7517.89
