Location,Test,timestamp,Deployment,Command,Tps
10gRemote,basic,20160518_17-19,kvmBridgeBr0,"PING_INLINE","66889.63"
10gRemote,basic,20160518_17-19,kvmBridgeBr0,"PING_BULK","65231.57"
10gRemote,basic,20160518_17-19,kvmBridgeBr0,"SET","65963.06"
10gRemote,basic,20160518_17-19,kvmBridgeBr0,"GET","63371.36"
10gRemote,basic,20160518_17-19,kvmBridgeBr0,"INCR","58411.21"
10gRemote,basic,20160518_17-19,kvmBridgeBr0,"LPUSH","66755.67"
10gRemote,basic,20160518_17-19,kvmBridgeBr0,"LPOP","64516.13"
10gRemote,basic,20160518_17-19,kvmBridgeBr0,"SADD","65189.05"
10gRemote,basic,20160518_17-19,kvmBridgeBr0,"SPOP","61162.08"
10gRemote,basic,20160518_17-19,kvmBridgeBr0,"LPUSH (needed to benchmark LRANGE)","64350.06"
10gRemote,basic,20160518_17-19,kvmBridgeBr0,"LRANGE_100 (first 100 elements)","41597.34"
10gRemote,basic,20160518_17-19,kvmBridgeBr0,"LRANGE_300 (first 300 elements)","16977.93"
10gRemote,basic,20160518_17-19,kvmBridgeBr0,"LRANGE_500 (first 450 elements)","12033.69"
10gRemote,basic,20160518_17-19,kvmBridgeBr0,"LRANGE_600 (first 600 elements)","10250.10"
10gRemote,basic,20160518_17-19,kvmBridgeBr0,"MSET (10 keys)","57570.52"
10gRemote,basic,20160518_17-19,kvmNetworkDefault,"PING_INLINE","57937.43"
10gRemote,basic,20160518_17-19,kvmNetworkDefault,"PING_BULK","54704.60"
10gRemote,basic,20160518_17-19,kvmNetworkDefault,"SET","50556.12"
10gRemote,basic,20160518_17-19,kvmNetworkDefault,"GET","55772.45"
10gRemote,basic,20160518_17-19,kvmNetworkDefault,"INCR","57870.37"
10gRemote,basic,20160518_17-19,kvmNetworkDefault,"LPUSH","62344.14"
10gRemote,basic,20160518_17-19,kvmNetworkDefault,"LPOP","61538.46"
10gRemote,basic,20160518_17-19,kvmNetworkDefault,"SADD","63938.62"
10gRemote,basic,20160518_17-19,kvmNetworkDefault,"SPOP","58962.27"
10gRemote,basic,20160518_17-19,kvmNetworkDefault,"LPUSH (needed to benchmark LRANGE)","55279.16"
10gRemote,basic,20160518_17-19,kvmNetworkDefault,"LRANGE_100 (first 100 elements)","37216.23"
10gRemote,basic,20160518_17-19,kvmNetworkDefault,"LRANGE_300 (first 300 elements)","17464.20"
10gRemote,basic,20160518_17-19,kvmNetworkDefault,"LRANGE_500 (first 450 elements)","12610.34"
10gRemote,basic,20160518_17-19,kvmNetworkDefault,"LRANGE_600 (first 600 elements)","10210.33"
10gRemote,basic,20160518_17-19,kvmNetworkDefault,"MSET (10 keys)","53908.36"
10gRemote,basic,20160518_17-19,lxcBridgeBr0,"PING_INLINE","49652.43"
10gRemote,basic,20160518_17-19,lxcBridgeBr0,"PING_BULK","51072.52"
10gRemote,basic,20160518_17-19,lxcBridgeBr0,"SET","49825.61"
10gRemote,basic,20160518_17-19,lxcBridgeBr0,"GET","49900.20"
10gRemote,basic,20160518_17-19,lxcBridgeBr0,"INCR","51203.28"
10gRemote,basic,20160518_17-19,lxcBridgeBr0,"LPUSH","51334.70"
10gRemote,basic,20160518_17-19,lxcBridgeBr0,"LPOP","51255.77"
10gRemote,basic,20160518_17-19,lxcBridgeBr0,"SADD","48709.21"
10gRemote,basic,20160518_17-19,lxcBridgeBr0,"SPOP","50787.20"
10gRemote,basic,20160518_17-19,lxcBridgeBr0,"LPUSH (needed to benchmark LRANGE)","49164.21"
10gRemote,basic,20160518_17-19,lxcBridgeBr0,"LRANGE_100 (first 100 elements)","34083.16"
10gRemote,basic,20160518_17-19,lxcBridgeBr0,"LRANGE_300 (first 300 elements)","17064.85"
10gRemote,basic,20160518_17-19,lxcBridgeBr0,"LRANGE_500 (first 450 elements)","12196.61"
10gRemote,basic,20160518_17-19,lxcBridgeBr0,"LRANGE_600 (first 600 elements)","9790.48"
10gRemote,basic,20160518_17-19,lxcBridgeBr0,"MSET (10 keys)","44052.86"
10gRemote,basic,20160518_17-19,lxcNetworkDefault,"PING_INLINE","73206.44"
10gRemote,basic,20160518_17-19,lxcNetworkDefault,"PING_BULK","74239.05"
10gRemote,basic,20160518_17-19,lxcNetworkDefault,"SET","74183.98"
10gRemote,basic,20160518_17-19,lxcNetworkDefault,"GET","70028.02"
10gRemote,basic,20160518_17-19,lxcNetworkDefault,"INCR","70175.44"
10gRemote,basic,20160518_17-19,lxcNetworkDefault,"LPUSH","69832.40"
10gRemote,basic,20160518_17-19,lxcNetworkDefault,"LPOP","71225.07"
10gRemote,basic,20160518_17-19,lxcNetworkDefault,"SADD","69637.88"
10gRemote,basic,20160518_17-19,lxcNetworkDefault,"SPOP","66979.23"
10gRemote,basic,20160518_17-19,lxcNetworkDefault,"LPUSH (needed to benchmark LRANGE)","68870.52"
10gRemote,basic,20160518_17-19,lxcNetworkDefault,"LRANGE_100 (first 100 elements)","40950.04"
