Location,Test,timestamp,Deployment,NumValidRtt(ns),MinRtt(ns),AvgRtt(ns),MaxRtt(ns),StdRtt(ns),Tps
10gRemote,basic,20160518_17-19,kvmBridgeBr0,100000,1.29839E+05,2.14696E+05,2.456877E+06,5.7161E+04,4652.411755734886
10gRemote,basic,20160518_17-19,kvmNetworkDefault,100000,1.24941E+05,2.13479E+05,2.42494E+06,5.9005E+04,4679.240250586032
10gRemote,basic,20160518_17-19,lxcBridgeBr0,100000,1.09812E+05,1.70174E+05,1.958774E+06,3.6078E+04,5869.317526335135
10gRemote,basic,20160518_17-19,lxcNetworkDefault,100000,9.2777E+04,1.69638E+05,1.724491E+06,4.9565E+04,5889.160769455415
10gRemote,basic,20160518_17-19,physical,100000,8.3518E+04,1.20386E+05,6.30886E+06,4.7882E+04,8294.33992510823
Local,basic,20160513_21-33,kvmBridgeBr0,100000,5.0979E+04,9.4008E+04,1.948077E+06,3.0013E+04,10624.992989364
Local,basic,20160513_21-33,kvmNetworkDefault,100000,5.1868E+04,1.0335E+05,2.380673E+06,4.4917E+04,9663.564990994615
Local,basic,20160513_21-33,lxcBridgeBr0,100000,3.414E+04,4.7794E+04,1.844692E+06,2.5626E+04,20865.884809165123
Local,basic,20160513_21-33,lxcNetworkDefault,100000,3.9408E+04,6.1232E+04,3.254414E+06,2.5175E+04,16293.623857871084
Local,basic,20160513_21-33,physical,100000,3.1281E+04,3.88E+04,5.979523E+06,4.2528E+04,25700.50873702146
Remote,basic,20160513_20-22,kvmBridgeBr0,100000,1.0053E+05,3.30773E+05,2.724405E+06,6.2171E+04,3021.1102545775125
Remote,basic,20160513_20-22,kvmNetworkDefault,100000,1.14443E+05,3.27223E+05,1.906156E+06,1.08878E+05,3053.902087091574
Remote,basic,20160513_20-22,lxcBridgeBr0,100000,1.03069E+05,2.20481E+05,2.890839E+06,4.0909E+04,4530.997065966715
Remote,basic,20160513_20-22,lxcNetworkDefault,100000,9.7721E+04,2.40546E+05,2.032901E+06,6.1261E+04,4153.799391062779
Remote,basic,20160513_20-22,physical,100000,6.9425E+04,1.17964E+05,3.141929E+06,4.9338E+04,8464.031545415777
Local,ovs2.5.0,20160517_18-02,kvmBridgeOvsbr0,100000,5.5787E+04,1.05332E+05,2.501613E+06,3.6422E+04,9482.836628792724
Local,ovs2.5.0,20160517_18-02,lxcBridgeOvsbr0,100000,3.5025E+04,4.6744E+04,4.188883E+06,2.5962E+04,21336.60641655163
Remote,ovs2.5.0,20160517_17-47,kvmBridgeOvsbr0,100000,1.08961E+05,2.77055E+05,3.008405E+06,7.5487E+04,3606.3205563868514
Remote,ovs2.5.0,20160517_17-47,lxcBridgeOvsbr0,100000,8.2802E+04,2.06072E+05,7.343302E+06,5.563E+04,4846.38344581384
10gRemote,ovs2.5.0,20160518_19-15,kvmBridgeOvsbr0,100000,1.18932E+05,2.64506E+05,2.671856E+06,7.8534E+04,3777.379307692284
10gRemote,ovs2.5.0,20160518_19-15,lxcBridgeOvsbr0,100000,1.08764E+05,2.38066E+05,2.333177E+06,4.4008E+04,4195.573196463259
Local,ovs,20160513_22-03,kvmBridgeOvsbr0,100000,4.9176E+04,1.05241E+05,1.899911E+06,3.6939E+04,9489.689264718038
Local,ovs,20160513_22-03,lxcBridgeOvsbr0,100000,3.8151E+04,6.0062E+04,3.947998E+06,2.6953E+04,16610.24423880692
Remote,ovs,20160513_22-12,kvmBridgeOvsbr0,100000,1.0759E+05,2.96305E+05,4.458781E+06,6.6395E+04,3372.3649359308547
Remote,ovs,20160513_22-12,lxcBridgeOvsbr0,100000,7.4717E+04,1.91111E+05,3.795887E+06,4.8715E+04,5226.260791992374
Local,rtl8139,20160513_22-49,kvmRtl8139NetworkDefault,100000,1.38234E+05,2.58573E+05,2.45678E+06,3.7274E+04,3864.5559364077835
