16	1000 	 200.472µs 	 273.511µs 	 555.316µs 	 31.403µs 	 999.3753114796756 	 127920.03986939848 	 2.0467206379103756e+06
32	1000 	 208.646µs 	 336.374µs 	 9.128624ms 	 521.137µs 	 999.3530997508224 	 255834.39353621053 	 2.0466751482896842e+06
64	1000 	 175.538µs 	 331.521µs 	 9.165356ms 	 542.635µs 	 999.463747720798 	 511725.43883304857 	 2.0469017553321943e+06
128	1000 	 186.291µs 	 332.437µs 	 8.985912ms 	 513.297µs 	 999.489301945767 	 1.0234770451924654e+06 	 2.0469540903849308e+06
256	1000 	 161.142µs 	 303.285µs 	 8.945571ms 	 505.034µs 	 999.4199057047119 	 2.04681196688325e+06 	 2.04681196688325e+06
512	1000 	 202.194µs 	 281.437µs 	 476.652µs 	 29.343µs 	 999.4687204080425 	 4.093823878791342e+06 	 2.046911939395671e+06
1024	1000 	 177.005µs 	 250.386µs 	 1.600808ms 	 51.276µs 	 999.5256111515888 	 8.1881138065538155e+06 	 2.0470284516384539e+06
2048	1000 	 204.573µs 	 294.27µs 	 1.606636ms 	 59.332µs 	 999.4031714170774 	 1.6374221560497396e+07 	 2.0467776950621745e+06
4096	1000 	 230.976µs 	 317.921µs 	 4.057178ms 	 162.435µs 	 999.4736471931786 	 3.2750752471226078e+07 	 2.0469220294516298e+06
8192	1000 	 240.277µs 	 315.699µs 	 1.271544ms 	 45.771µs 	 999.3414819317981 	 6.549284335988232e+07 	 2.0466513549963224e+06
16384	1000 	 288.705µs 	 343.48µs 	 730.516µs 	 31.295µs 	 999.4796259301577 	 1.3100379352991763e+08 	 2.046934273904963e+06
32768	1000 	 429.286µs 	 497.957µs 	 2.028509ms 	 65.704µs 	 999.4768648136649 	 2.6200686324971336e+08 	 2.0469286191383856e+06
65536	1000 	 647.532µs 	 730.372µs 	 1.416995ms 	 38.158µs 	 999.4851781780279 	 5.240180850966019e+08 	 2.0469456449086012e+06
131072	1000 	 1.057917ms 	 1.198097ms 	 2.916311ms 	 179.925µs 	 999.208060664983 	 1.0477455914198452e+09 	 2.0463781082418852e+06
262144	1000 	 3.818466ms 	 14.665883ms 	 26.69772ms 	 2.511193ms 	 903.9561619733818 	 1.8957334729948015e+09 	 1.8513022197214859e+06
