ConnID	RqstID	Latency
0 	 0 	 316.152µs
0 	 1 	 332.865µs
0 	 2 	 396.342µs
0 	 3 	 381.946µs
0 	 4 	 408.071µs
0 	 5 	 384.692µs
0 	 6 	 388.842µs
0 	 7 	 399.404µs
0 	 8 	 393.526µs
0 	 9 	 353.687µs
0 	 10 	 324.805µs
0 	 11 	 310.482µs
0 	 12 	 305.19µs
0 	 13 	 313.367µs
0 	 14 	 315.68µs
0 	 15 	 307.588µs
0 	 16 	 313.502µs
0 	 17 	 280µs
0 	 18 	 328.662µs
0 	 19 	 303.669µs
0 	 20 	 325.472µs
0 	 21 	 346.389µs
0 	 22 	 353.549µs
0 	 23 	 309.557µs
0 	 24 	 315.797µs
0 	 25 	 306.188µs
0 	 26 	 303.962µs
0 	 27 	 332.612µs
0 	 28 	 316.317µs
0 	 29 	 314.942µs
0 	 30 	 308.577µs
0 	 31 	 333.769µs
0 	 32 	 314.332µs
0 	 33 	 307.274µs
0 	 34 	 309.835µs
0 	 35 	 311.912µs
0 	 36 	 310.47µs
0 	 37 	 324.215µs
0 	 38 	 309.362µs
0 	 39 	 321.71µs
0 	 40 	 253.935µs
0 	 41 	 263.76µs
0 	 42 	 261.091µs
0 	 43 	 313.224µs
0 	 44 	 311.949µs
0 	 45 	 363.219µs
0 	 46 	 368.937µs
0 	 47 	 343.802µs
0 	 48 	 363.084µs
0 	 49 	 360.099µs
0 	 50 	 334.442µs
0 	 51 	 325.345µs
0 	 52 	 320.102µs
0 	 53 	 305.747µs
0 	 54 	 316.22µs
0 	 55 	 330.337µs
0 	 56 	 316.142µs
0 	 57 	 314.765µs
0 	 58 	 513.968µs
0 	 59 	 349.34µs
0 	 60 	 320.972µs
0 	 61 	 324.633µs
0 	 62 	 311.842µs
0 	 63 	 335.047µs
0 	 64 	 353.482µs
0 	 65 	 319.027µs
0 	 66 	 316.08µs
0 	 67 	 191.675µs
0 	 68 	 251.15µs
0 	 69 	 238.1µs
0 	 70 	 301.249µs
0 	 71 	 240.923µs
0 	 72 	 248.826µs
0 	 73 	 211.728µs
0 	 74 	 195.265µs
0 	 75 	 209.904µs
0 	 76 	 206.483µs
0 	 77 	 235.726µs
0 	 78 	 200.098µs
0 	 79 	 200.178µs
0 	 80 	 208.503µs
0 	 81 	 266.28µs
0 	 82 	 220.851µs
0 	 83 	 235.618µs
0 	 84 	 239.515µs
0 	 85 	 289.895µs
0 	 86 	 300.038µs
0 	 87 	 291.455µs
0 	 88 	 300.937µs
0 	 89 	 307.357µs
0 	 90 	 300.74µs
0 	 91 	 297.437µs
0 	 92 	 320.937µs
0 	 93 	 355.081µs
0 	 94 	 267.037µs
0 	 95 	 268.35µs
0 	 96 	 273.868µs
0 	 97 	 290.905µs
0 	 98 	 261.28µs
0 	 99 	 283.178µs
0 	 100 	 282.232µs
0 	 101 	 256.28µs
0 	 102 	 258.332µs
0 	 103 	 268.25µs
0 	 104 	 290.91µs
0 	 105 	 260.635µs
0 	 106 	 268.705µs
0 	 107 	 266.875µs
0 	 108 	 255.498µs
0 	 109 	 276.925µs
0 	 110 	 254.433µs
0 	 111 	 240.135µs
0 	 112 	 237.69µs
0 	 113 	 247.775µs
0 	 114 	 238.218µs
0 	 115 	 242.926µs
0 	 116 	 252.88µs
0 	 117 	 254.713µs
0 	 118 	 251.867µs
0 	 119 	 259.712µs
0 	 120 	 238.601µs
0 	 121 	 239.87µs
0 	 122 	 254.618µs
0 	 123 	 229.735µs
0 	 124 	 227.548µs
0 	 125 	 233.023µs
0 	 126 	 229.321µs
0 	 127 	 244.297µs
0 	 128 	 229.72µs
0 	 129 	 250.453µs
0 	 130 	 263.415µs
0 	 131 	 255.457µs
0 	 132 	 250.618µs
0 	 133 	 203.708µs
0 	 134 	 232.263µs
0 	 135 	 232.266µs
0 	 136 	 232.238µs
0 	 137 	 225.111µs
0 	 138 	 231.465µs
0 	 139 	 246.881µs
0 	 140 	 201.675µs
0 	 141 	 223.043µs
0 	 142 	 231.546µs
0 	 143 	 232.236µs
0 	 144 	 230.456µs
0 	 145 	 228.995µs
0 	 146 	 224.535µs
0 	 147 	 235.067µs
0 	 148 	 202.059µs
0 	 149 	 232.43µs
0 	 150 	 198.928µs
0 	 151 	 235.98µs
0 	 152 	 235.55µs
0 	 153 	 204.036µs
0 	 154 	 231.091µs
0 	 155 	 206.216µs
0 	 156 	 235.326µs
0 	 157 	 235.14µs
0 	 158 	 236.853µs
0 	 159 	 247.518µs
0 	 160 	 229.828µs
0 	 161 	 234.577µs
0 	 162 	 234.016µs
0 	 163 	 233.906µs
0 	 164 	 231.418µs
0 	 165 	 231.485µs
0 	 166 	 228.828µs
0 	 167 	 222.806µs
0 	 168 	 237.853µs
0 	 169 	 236.096µs
0 	 170 	 238.983µs
0 	 171 	 214.783µs
0 	 172 	 233.965µs
0 	 173 	 224.715µs
0 	 174 	 225.623µs
0 	 175 	 229.478µs
0 	 176 	 228.476µs
0 	 177 	 233.837µs
0 	 178 	 231.94µs
0 	 179 	 230.255µs
0 	 180 	 251.3µs
0 	 181 	 226.551µs
0 	 182 	 230.958µs
0 	 183 	 237.768µs
0 	 184 	 228.31µs
0 	 185 	 228.338µs
0 	 186 	 231.02µs
0 	 187 	 229.031µs
0 	 188 	 230.501µs
0 	 189 	 231.68µs
0 	 190 	 229.571µs
0 	 191 	 259.405µs
0 	 192 	 231.193µs
0 	 193 	 231.268µs
0 	 194 	 253.852µs
0 	 195 	 238.048µs
0 	 196 	 243.535µs
0 	 197 	 259.178µs
0 	 198 	 263.508µs
0 	 199 	 257.965µs
0 	 200 	 262.165µs
0 	 201 	 268.54µs
0 	 202 	 260.246µs
0 	 203 	 257.965µs
0 	 204 	 262.395µs
0 	 205 	 257.228µs
0 	 206 	 262.827µs
0 	 207 	 258.192µs
0 	 208 	 257.533µs
0 	 209 	 225.528µs
0 	 210 	 232.312µs
0 	 211 	 232.373µs
0 	 212 	 237.045µs
0 	 213 	 213.243µs
0 	 214 	 265.08µs
0 	 215 	 254.255µs
0 	 216 	 267.462µs
0 	 217 	 257.697µs
0 	 218 	 254.278µs
0 	 219 	 283.053µs
0 	 220 	 285.862µs
0 	 221 	 274.778µs
0 	 222 	 239.701µs
0 	 223 	 264.235µs
0 	 224 	 205.391µs
0 	 225 	 230.876µs
0 	 226 	 226.95µs
0 	 227 	 227.03µs
0 	 228 	 219.558µs
0 	 229 	 223.331µs
0 	 230 	 283.008µs
0 	 231 	 291.32µs
0 	 232 	 256.088µs
0 	 233 	 247.853µs
0 	 234 	 270.838µs
0 	 235 	 235.538µs
0 	 236 	 276.685µs
0 	 237 	 244.823µs
0 	 238 	 263.957µs
0 	 239 	 241.222µs
0 	 240 	 230.921µs
0 	 241 	 191.511µs
0 	 242 	 190.785µs
0 	 243 	 219.258µs
0 	 244 	 193.341µs
0 	 245 	 219.378µs
0 	 246 	 223.228µs
0 	 247 	 209.451µs
0 	 248 	 237.738µs
0 	 249 	 234.168µs
0 	 250 	 298.12µs
0 	 251 	 255.181µs
0 	 252 	 256.655µs
0 	 253 	 254.952µs
0 	 254 	 255.833µs
0 	 255 	 218.576µs
0 	 256 	 253.96µs
0 	 257 	 234.023µs
0 	 258 	 232.93µs
0 	 259 	 192.843µs
0 	 260 	 228.448µs
0 	 261 	 229.168µs
0 	 262 	 213.228µs
0 	 263 	 224.471µs
0 	 264 	 219.85µs
0 	 265 	 224.908µs
0 	 266 	 229.648µs
0 	 267 	 232.02µs
0 	 268 	 202.99µs
0 	 269 	 228.153µs
0 	 270 	 223.563µs
0 	 271 	 226.741µs
0 	 272 	 220.813µs
0 	 273 	 226.168µs
0 	 274 	 203.838µs
0 	 275 	 218.628µs
0 	 276 	 229.036µs
0 	 277 	 229.877µs
0 	 278 	 225.215µs
0 	 279 	 215.02µs
0 	 280 	 223.435µs
0 	 281 	 200.743µs
0 	 282 	 213.398µs
0 	 283 	 224.616µs
0 	 284 	 220.623µs
0 	 285 	 221.088µs
0 	 286 	 227.975µs
0 	 287 	 218.258µs
0 	 288 	 237.43µs
0 	 289 	 185.351µs
0 	 290 	 197.528µs
0 	 291 	 193.099µs
0 	 292 	 178.915µs
0 	 293 	 163.351µs
0 	 294 	 162.822µs
0 	 295 	 160.933µs
0 	 296 	 160.871µs
0 	 297 	 160.611µs
0 	 298 	 160.529µs
0 	 299 	 158.531µs
0 	 300 	 161.106µs
0 	 301 	 162.926µs
0 	 302 	 159.314µs
0 	 303 	 166.639µs
0 	 304 	 160.367µs
0 	 305 	 160.153µs
0 	 306 	 160.204µs
0 	 307 	 162.654µs
0 	 308 	 160.021µs
0 	 309 	 160.656µs
0 	 310 	 160.248µs
0 	 311 	 161.558µs
0 	 312 	 171.359µs
0 	 313 	 159.258µs
0 	 314 	 160.164µs
0 	 315 	 160.587µs
0 	 316 	 159.163µs
0 	 317 	 169.669µs
0 	 318 	 162.436µs
0 	 319 	 173.736µs
0 	 320 	 161.076µs
0 	 321 	 159.971µs
0 	 322 	 161.026µs
0 	 323 	 161.311µs
0 	 324 	 159.778µs
0 	 325 	 160.294µs
0 	 326 	 160.961µs
0 	 327 	 159.821µs
0 	 328 	 161.696µs
0 	 329 	 161.931µs
0 	 330 	 161.506µs
0 	 331 	 159.894µs
0 	 332 	 159.784µs
0 	 333 	 158.818µs
0 	 334 	 159.624µs
0 	 335 	 165.019µs
0 	 336 	 160.403µs
0 	 337 	 159.904µs
0 	 338 	 159.419µs
0 	 339 	 158.168µs
0 	 340 	 159.768µs
0 	 341 	 158.616µs
0 	 342 	 312.587µs
0 	 343 	 180.734µs
0 	 344 	 177.604µs
0 	 345 	 183.691µs
0 	 346 	 172.244µs
0 	 347 	 175.85µs
0 	 348 	 171.971µs
0 	 349 	 172.981µs
0 	 350 	 175.649µs
0 	 351 	 185.556µs
0 	 352 	 174.361µs
0 	 353 	 172.466µs
0 	 354 	 158.789µs
0 	 355 	 171.553µs
0 	 356 	 174.321µs
0 	 357 	 166.746µs
0 	 358 	 179.833µs
0 	 359 	 171.191µs
0 	 360 	 171.866µs
0 	 361 	 173.891µs
0 	 362 	 174.425µs
0 	 363 	 173.573µs
0 	 364 	 175.606µs
0 	 365 	 167.494µs
0 	 366 	 173.506µs
0 	 367 	 166.379µs
0 	 368 	 169.171µs
0 	 369 	 170.883µs
0 	 370 	 171.374µs
0 	 371 	 166.831µs
0 	 372 	 163.129µs
0 	 373 	 167.623µs
0 	 374 	 167.691µs
0 	 375 	 164.846µs
0 	 376 	 168.073µs
0 	 377 	 165.713µs
0 	 378 	 166.131µs
0 	 379 	 174.716µs
0 	 380 	 178.223µs
0 	 381 	 181.033µs
0 	 382 	 171.644µs
0 	 383 	 191.856µs
0 	 384 	 169.911µs
0 	 385 	 161.788µs
0 	 386 	 173.721µs
0 	 387 	 179.314µs
0 	 388 	 172.194µs
0 	 389 	 160.691µs
0 	 390 	 161.441µs
0 	 391 	 163.218µs
0 	 392 	 162.038µs
0 	 393 	 162.066µs
0 	 394 	 161.219µs
0 	 395 	 172.811µs
0 	 396 	 162.096µs
0 	 397 	 162.094µs
0 	 398 	 161.381µs
0 	 399 	 162.016µs
0 	 400 	 162.399µs
0 	 401 	 160.036µs
0 	 402 	 161.594µs
0 	 403 	 164.511µs
0 	 404 	 160.518µs
0 	 405 	 163.458µs
0 	 406 	 162.221µs
0 	 407 	 161.763µs
0 	 408 	 165.134µs
0 	 409 	 162.016µs
0 	 410 	 163.551µs
0 	 411 	 161.719µs
0 	 412 	 319.545µs
0 	 413 	 163.116µs
0 	 414 	 161.646µs
0 	 415 	 175.856µs
0 	 416 	 161.846µs
0 	 417 	 162.161µs
0 	 418 	 161.126µs
0 	 419 	 162.801µs
0 	 420 	 163.131µs
0 	 421 	 159.826µs
0 	 422 	 160.501µs
0 	 423 	 160.851µs
0 	 424 	 162.089µs
0 	 425 	 160.564µs
0 	 426 	 157.694µs
0 	 427 	 161.816µs
0 	 428 	 161.071µs
0 	 429 	 173.896µs
0 	 430 	 162.526µs
0 	 431 	 159.991µs
0 	 432 	 160.708µs
0 	 433 	 159.314µs
0 	 434 	 161.561µs
0 	 435 	 212.118µs
0 	 436 	 165.301µs
0 	 437 	 164.631µs
0 	 438 	 163.673µs
0 	 439 	 161.396µs
0 	 440 	 162.606µs
0 	 441 	 172.118µs
0 	 442 	 164.091µs
0 	 443 	 162.671µs
0 	 444 	 160.226µs
0 	 445 	 161.276µs
0 	 446 	 161.653µs
0 	 447 	 177.136µs
0 	 448 	 161.523µs
0 	 449 	 159.891µs
0 	 450 	 158.363µs
0 	 451 	 160.851µs
0 	 452 	 161.996µs
0 	 453 	 174.316µs
0 	 454 	 162.068µs
0 	 455 	 159.902µs
0 	 456 	 172.663µs
0 	 457 	 158.414µs
0 	 458 	 159.838µs
0 	 459 	 158.728µs
0 	 460 	 176.224µs
0 	 461 	 171.763µs
0 	 462 	 172.423µs
0 	 463 	 229.871µs
0 	 464 	 278.292µs
0 	 465 	 221.643µs
0 	 466 	 293.43µs
0 	 467 	 231.106µs
0 	 468 	 264.27µs
0 	 469 	 298.93µs
0 	 470 	 260.242µs
0 	 471 	 278.808µs
0 	 472 	 275.722µs
0 	 473 	 264.34µs
0 	 474 	 249.313µs
0 	 475 	 270.833µs
0 	 476 	 276.718µs
0 	 477 	 259.862µs
0 	 478 	 236.28µs
0 	 479 	 249.57µs
0 	 480 	 234.2µs
0 	 481 	 236.798µs
0 	 482 	 237.646µs
0 	 483 	 223.633µs
0 	 484 	 228.736µs
0 	 485 	 230.233µs
0 	 486 	 232.488µs
0 	 487 	 238.473µs
0 	 488 	 232.995µs
0 	 489 	 238.048µs
0 	 490 	 242.563µs
0 	 491 	 197.581µs
0 	 492 	 224.08µs
0 	 493 	 236.963µs
0 	 494 	 229.127µs
0 	 495 	 232.315µs
0 	 496 	 240.428µs
0 	 497 	 235.665µs
0 	 498 	 233.83µs
0 	 499 	 233.393µs
0 	 500 	 241.168µs
0 	 501 	 237.731µs
0 	 502 	 243.106µs
0 	 503 	 194.891µs
0 	 504 	 189.921µs
0 	 505 	 269.775µs
0 	 506 	 268.395µs
0 	 507 	 266.102µs
0 	 508 	 272.88µs
0 	 509 	 507.926µs
0 	 510 	 272.27µs
0 	 511 	 284.909µs
0 	 512 	 259.24µs
0 	 513 	 264.58µs
0 	 514 	 268.76µs
0 	 515 	 265.83µs
0 	 516 	 270.378µs
0 	 517 	 270.69µs
0 	 518 	 272.983µs
0 	 519 	 272.78µs
0 	 520 	 267.088µs
0 	 521 	 264.035µs
0 	 522 	 266.306µs
0 	 523 	 326.732µs
0 	 524 	 269.547µs
0 	 525 	 270.235µs
0 	 526 	 273.458µs
0 	 527 	 265.018µs
0 	 528 	 273.665µs
0 	 529 	 273.56µs
0 	 530 	 268.265µs
0 	 531 	 271.005µs
0 	 532 	 268.787µs
0 	 533 	 271.283µs
0 	 534 	 273.055µs
0 	 535 	 265.463µs
0 	 536 	 261.775µs
0 	 537 	 258.8µs
0 	 538 	 273.738µs
0 	 539 	 328.274µs
0 	 540 	 302.647µs
0 	 541 	 308.82µs
0 	 542 	 310.37µs
0 	 543 	 272.971µs
0 	 544 	 312.067µs
0 	 545 	 256.39µs
0 	 546 	 336.16µs
0 	 547 	 342.439µs
0 	 548 	 313.364µs
0 	 549 	 321.27µs
0 	 550 	 315.38µs
0 	 551 	 320.094µs
0 	 552 	 309.205µs
0 	 553 	 258.29µs
0 	 554 	 333.732µs
0 	 555 	 321.557µs
0 	 556 	 312.505µs
0 	 557 	 303.975µs
0 	 558 	 256.22µs
0 	 559 	 343.302µs
0 	 560 	 324.809µs
0 	 561 	 319.832µs
0 	 562 	 305.223µs
0 	 563 	 325.057µs
0 	 564 	 318.134µs
0 	 565 	 307.567µs
0 	 566 	 311.469µs
0 	 567 	 311.945µs
0 	 568 	 260.54µs
0 	 569 	 335.772µs
0 	 570 	 309.149µs
0 	 571 	 323.004µs
0 	 572 	 307.487µs
0 	 573 	 244.075µs
0 	 574 	 205.323µs
0 	 575 	 218.393µs
0 	 576 	 161.381µs
0 	 577 	 154.529µs
0 	 578 	 166.693µs
0 	 579 	 190.561µs
0 	 580 	 170.231µs
0 	 581 	 170.836µs
0 	 582 	 169.766µs
0 	 583 	 169.331µs
0 	 584 	 167.653µs
0 	 585 	 166.671µs
0 	 586 	 153.471µs
0 	 587 	 151.681µs
0 	 588 	 153.063µs
0 	 589 	 155.703µs
0 	 590 	 169.554µs
0 	 591 	 169.758µs
0 	 592 	 168.583µs
0 	 593 	 153.863µs
0 	 594 	 167.583µs
0 	 595 	 154.446µs
0 	 596 	 153.196µs
0 	 597 	 169.716µs
0 	 598 	 167.209µs
0 	 599 	 170.016µs
0 	 600 	 153.259µs
0 	 601 	 158.058µs
0 	 602 	 167.016µs
0 	 603 	 149.516µs
0 	 604 	 154.041µs
0 	 605 	 149.616µs
0 	 606 	 151.261µs
0 	 607 	 179.116µs
0 	 608 	 154.186µs
0 	 609 	 168.031µs
0 	 610 	 168.228µs
0 	 611 	 150.203µs
0 	 612 	 167.474µs
0 	 613 	 150.433µs
0 	 614 	 150.774µs
0 	 615 	 167.109µs
0 	 616 	 150.686µs
0 	 617 	 151.699µs
0 	 618 	 155.443µs
0 	 619 	 161.276µs
0 	 620 	 188.371µs
0 	 621 	 150.757µs
0 	 622 	 155.556µs
0 	 623 	 153.236µs
0 	 624 	 166.671µs
0 	 625 	 165.279µs
0 	 626 	 166.931µs
0 	 627 	 152.321µs
