10ms	1000 	 164.348µs 	 428.185µs 	 553.055µs 	 45.831µs 	 99.99563813026738 	 102395.5334453938 	 204791.0668907876
3ms	1000 	 163.767µs 	 404.78µs 	 1.60157ms 	 70.8µs 	 333.27882180486716 	 341277.513528184 	 682555.027056368
1ms	1000 	 169.822µs 	 268.988µs 	 531.876µs 	 64.719µs 	 999.5253264220074 	 1.0235139342561356e+06 	 2.0470278685122712e+06
300us	1000 	 114.449µs 	 264.308µs 	 483.618µs 	 65.471µs 	 3327.4876584730555 	 3.407347362276409e+06 	 6.814694724552818e+06
100us	1000 	 59.949µs 	 128.826µs 	 449.697µs 	 37.996µs 	 9225.23726756738 	 9.446642961988997e+06 	 1.8893285923977993e+07
30us	1000 	 56.648µs 	 136.451µs 	 1.609626ms 	 154.951µs 	 12251.681690332178 	 1.254572205090015e+07 	 2.50914441018003e+07
10us	1000 	 58.377µs 	 102.7µs 	 679.478µs 	 41.869µs 	 14606.969326868932 	 1.4957536590713786e+07 	 2.9915073181427572e+07
3us	1000 	 63.308µs 	 112.791µs 	 341.293µs 	 34.398µs 	 14954.805978141818 	 1.5313721321617221e+07 	 3.0627442643234443e+07
1us	1000 	 64.565µs 	 109.993µs 	 397.922µs 	 34.053µs 	 15534.441487895021 	 1.5907268083604502e+07 	 3.1814536167209003e+07
300ns	1000 	 51.212µs 	 88.241µs 	 377.768µs 	 27.29µs 	 16326.825428064056 	 1.6718669238337593e+07 	 3.3437338476675186e+07
100ns	1000 	 57.224µs 	 105.47µs 	 399.299µs 	 34.913µs 	 14585.314566000694 	 1.493536211558471e+07 	 2.987072423116942e+07
30ns	1000 	 55.661µs 	 103.682µs 	 361.548µs 	 31.672µs 	 14717.88262182477 	 1.5071111804748565e+07 	 3.014222360949713e+07
10ns	1000 	 61.099µs 	 102.857µs 	 402.684µs 	 34.537µs 	 15458.743866685401 	 1.5829753719485851e+07 	 3.1659507438971702e+07
3ns	1000 	 55.026µs 	 94.98µs 	 493.668µs 	 33.665µs 	 16495.905996562054 	 1.6891807740479544e+07 	 3.378361548095909e+07
1ns	1000 	 56.574µs 	 104.969µs 	 331.601µs 	 33.529µs 	 16254.486746294688 	 1.664459442820576e+07 	 3.328918885641152e+07
0ns	1000 	 5.1611ms 	 6.14806ms 	 7.376053ms 	 751.374µs 	 73192.46808515622 	 7.494908731919996e+07 	 1.4989817463839993e+08
