ConnID	RqstID	Latency
0 	 0 	 208.516µs
0 	 1 	 142.464µs
0 	 2 	 144.441µs
0 	 3 	 146.195µs
0 	 4 	 142.42µs
0 	 5 	 164.392µs
0 	 6 	 139.059µs
0 	 7 	 105.381µs
0 	 8 	 108.9µs
0 	 9 	 109.44µs
0 	 10 	 112.187µs
0 	 11 	 110.408µs
0 	 12 	 108.345µs
0 	 13 	 108.502µs
0 	 14 	 109.015µs
0 	 15 	 107.367µs
0 	 16 	 108.685µs
0 	 17 	 109.251µs
0 	 18 	 283.088µs
0 	 19 	 85.863µs
0 	 20 	 80.189µs
0 	 21 	 96.519µs
0 	 22 	 130.176µs
0 	 23 	 86.772µs
0 	 24 	 108.637µs
0 	 25 	 105.297µs
0 	 26 	 152.229µs
0 	 27 	 92.761µs
0 	 28 	 108.503µs
0 	 29 	 131.2µs
0 	 30 	 147.986µs
0 	 31 	 137.346µs
0 	 32 	 109.587µs
0 	 33 	 154.299µs
0 	 34 	 202.301µs
0 	 35 	 145.71µs
0 	 36 	 100.661µs
0 	 37 	 114.507µs
0 	 38 	 96.849µs
0 	 39 	 96.294µs
0 	 40 	 99.758µs
0 	 41 	 226.119µs
0 	 42 	 225.021µs
0 	 43 	 154.685µs
0 	 44 	 123.558µs
0 	 45 	 128.778µs
0 	 46 	 139.468µs
0 	 47 	 123.842µs
0 	 48 	 353.12µs
0 	 49 	 147.535µs
0 	 50 	 135.254µs
0 	 51 	 128.774µs
0 	 52 	 94.067µs
0 	 53 	 102.96µs
0 	 54 	 99.659µs
0 	 55 	 98.584µs
0 	 56 	 100.789µs
0 	 57 	 100.822µs
0 	 58 	 98.195µs
0 	 59 	 99.25µs
0 	 60 	 100.415µs
0 	 61 	 99.556µs
0 	 62 	 98.725µs
0 	 63 	 104.972µs
0 	 64 	 102.532µs
0 	 65 	 161.919µs
0 	 66 	 201.062µs
0 	 67 	 155.903µs
0 	 68 	 152.024µs
0 	 69 	 196.659µs
0 	 70 	 172.087µs
0 	 71 	 125.128µs
0 	 72 	 125.012µs
0 	 73 	 126.707µs
0 	 74 	 124.911µs
0 	 75 	 127.479µs
0 	 76 	 91.005µs
0 	 77 	 102.297µs
0 	 78 	 150.169µs
0 	 79 	 117.07µs
0 	 80 	 102.946µs
0 	 81 	 108.312µs
0 	 82 	 98.494µs
0 	 83 	 98.9µs
0 	 84 	 99.514µs
0 	 85 	 98.806µs
0 	 86 	 99.03µs
0 	 87 	 98.347µs
0 	 88 	 96.508µs
0 	 89 	 93.574µs
0 	 90 	 99.133µs
0 	 91 	 95.468µs
0 	 92 	 95.436µs
0 	 93 	 93.456µs
0 	 94 	 95.93µs
0 	 95 	 106.443µs
0 	 96 	 101.327µs
0 	 97 	 98.401µs
0 	 98 	 100.773µs
0 	 99 	 96.695µs
0 	 100 	 97.101µs
0 	 101 	 98.093µs
0 	 102 	 97.549µs
0 	 103 	 108.992µs
0 	 104 	 98.295µs
0 	 105 	 95.389µs
0 	 106 	 95.887µs
0 	 107 	 95.435µs
0 	 108 	 96.643µs
0 	 109 	 95.251µs
0 	 110 	 94.85µs
0 	 111 	 96.134µs
0 	 112 	 94.906µs
0 	 113 	 96.289µs
0 	 114 	 96.819µs
0 	 115 	 96.169µs
0 	 116 	 96.45µs
0 	 117 	 94.445µs
0 	 118 	 94.687µs
0 	 119 	 103.442µs
0 	 120 	 101.614µs
0 	 121 	 95.6µs
0 	 122 	 94.486µs
0 	 123 	 93.132µs
0 	 124 	 94.707µs
0 	 125 	 92.969µs
0 	 126 	 92.971µs
0 	 127 	 100.477µs
0 	 128 	 95.535µs
0 	 129 	 94.385µs
0 	 130 	 94.94µs
0 	 131 	 94.14µs
0 	 132 	 93.124µs
0 	 133 	 92.947µs
0 	 134 	 93.473µs
0 	 135 	 94.307µs
0 	 136 	 93.739µs
0 	 137 	 93.94µs
0 	 138 	 93.24µs
0 	 139 	 93.56µs
0 	 140 	 93.77µs
0 	 141 	 92.722µs
0 	 142 	 92.803µs
0 	 143 	 92.417µs
0 	 144 	 92.146µs
0 	 145 	 99.993µs
0 	 146 	 94.267µs
0 	 147 	 93.204µs
0 	 148 	 93.341µs
0 	 149 	 95.462µs
0 	 150 	 94.869µs
0 	 151 	 130.067µs
0 	 152 	 113.362µs
0 	 153 	 118.048µs
0 	 154 	 122.372µs
0 	 155 	 122.091µs
0 	 156 	 136.995µs
0 	 157 	 81.054µs
0 	 158 	 96.216µs
0 	 159 	 261.238µs
0 	 160 	 196.6µs
0 	 161 	 177.087µs
0 	 162 	 181.194µs
0 	 163 	 221.577µs
0 	 164 	 94.833µs
0 	 165 	 101.982µs
0 	 166 	 100.343µs
0 	 167 	 100.447µs
0 	 168 	 97.753µs
0 	 169 	 100.83µs
0 	 170 	 99.066µs
0 	 171 	 123.62µs
0 	 172 	 87.426µs
0 	 173 	 96.659µs
0 	 174 	 97.704µs
0 	 175 	 111.221µs
0 	 176 	 98.948µs
0 	 177 	 99.507µs
0 	 178 	 109.85µs
0 	 179 	 100.209µs
0 	 180 	 96.209µs
0 	 181 	 96.778µs
0 	 182 	 93.039µs
0 	 183 	 95.914µs
0 	 184 	 92.672µs
0 	 185 	 94.563µs
0 	 186 	 92.672µs
0 	 187 	 95.546µs
0 	 188 	 93.118µs
0 	 189 	 94.516µs
0 	 190 	 93.253µs
0 	 191 	 100.629µs
0 	 192 	 99.736µs
0 	 193 	 94.989µs
0 	 194 	 100.824µs
0 	 195 	 247.209µs
0 	 196 	 89.706µs
0 	 197 	 162.853µs
0 	 198 	 84.996µs
0 	 199 	 112.179µs
0 	 200 	 114.734µs
0 	 201 	 116.351µs
0 	 202 	 117.96µs
0 	 203 	 116.433µs
0 	 204 	 118.946µs
0 	 205 	 114.59µs
0 	 206 	 119.44µs
0 	 207 	 115.844µs
0 	 208 	 116.361µs
0 	 209 	 119.124µs
0 	 210 	 116.507µs
0 	 211 	 114.266µs
0 	 212 	 105.086µs
0 	 213 	 98.087µs
0 	 214 	 95.747µs
0 	 215 	 97.756µs
0 	 216 	 96.052µs
0 	 217 	 93.295µs
0 	 218 	 97.252µs
0 	 219 	 94.47µs
0 	 220 	 95.528µs
0 	 221 	 94.567µs
0 	 222 	 93.656µs
0 	 223 	 99.821µs
0 	 224 	 93.544µs
0 	 225 	 93.578µs
0 	 226 	 97.573µs
0 	 227 	 93.304µs
0 	 228 	 92.742µs
0 	 229 	 93.551µs
0 	 230 	 93.389µs
0 	 231 	 109.497µs
0 	 232 	 96.936µs
0 	 233 	 96.001µs
0 	 234 	 95.817µs
0 	 235 	 94.843µs
0 	 236 	 93.933µs
0 	 237 	 94.793µs
0 	 238 	 93.534µs
0 	 239 	 143.218µs
0 	 240 	 96.244µs
0 	 241 	 94.62µs
0 	 242 	 96.434µs
0 	 243 	 94.738µs
0 	 244 	 93.76µs
0 	 245 	 94.892µs
0 	 246 	 94.671µs
0 	 247 	 95.048µs
0 	 248 	 93.871µs
0 	 249 	 93.949µs
0 	 250 	 95.658µs
0 	 251 	 97.473µs
0 	 252 	 94.744µs
0 	 253 	 95.392µs
0 	 254 	 94.732µs
0 	 255 	 102.701µs
0 	 256 	 114.286µs
0 	 257 	 99.437µs
0 	 258 	 97.331µs
0 	 259 	 95.911µs
0 	 260 	 95.922µs
0 	 261 	 94.006µs
0 	 262 	 95.256µs
0 	 263 	 97.765µs
0 	 264 	 98.197µs
0 	 265 	 97.07µs
0 	 266 	 95.708µs
0 	 267 	 95.388µs
0 	 268 	 97.94µs
0 	 269 	 96.758µs
0 	 270 	 99.087µs
0 	 271 	 97.685µs
0 	 272 	 106.409µs
0 	 273 	 99.96µs
0 	 274 	 97.171µs
0 	 275 	 97.156µs
0 	 276 	 96.676µs
0 	 277 	 96.343µs
0 	 278 	 94.875µs
0 	 279 	 96.755µs
0 	 280 	 98.653µs
0 	 281 	 97.641µs
0 	 282 	 98.676µs
0 	 283 	 98.872µs
0 	 284 	 98.811µs
0 	 285 	 96.875µs
0 	 286 	 97.382µs
0 	 287 	 104.531µs
0 	 288 	 103.446µs
0 	 289 	 97.987µs
0 	 290 	 98.918µs
0 	 291 	 98.576µs
0 	 292 	 99.293µs
0 	 293 	 98.623µs
0 	 294 	 97.765µs
0 	 295 	 98.75µs
0 	 296 	 94.372µs
0 	 297 	 96.95µs
0 	 298 	 98.147µs
0 	 299 	 97.273µs
0 	 300 	 96.472µs
0 	 301 	 95.932µs
0 	 302 	 96.067µs
0 	 303 	 96.353µs
0 	 304 	 107.203µs
0 	 305 	 98.283µs
0 	 306 	 98.75µs
0 	 307 	 96.43µs
0 	 308 	 96.955µs
0 	 309 	 95.926µs
0 	 310 	 94.196µs
0 	 311 	 95.773µs
0 	 312 	 98.853µs
0 	 313 	 102.998µs
0 	 314 	 99.159µs
0 	 315 	 97.33µs
0 	 316 	 97.683µs
0 	 317 	 96.393µs
0 	 318 	 97.393µs
0 	 319 	 106.067µs
0 	 320 	 101.488µs
0 	 321 	 97.222µs
0 	 322 	 98.995µs
0 	 323 	 96.404µs
0 	 324 	 95.243µs
0 	 325 	 98.831µs
0 	 326 	 98.362µs
0 	 327 	 97.09µs
0 	 328 	 98.472µs
0 	 329 	 96.935µs
0 	 330 	 99.934µs
0 	 331 	 97.723µs
0 	 332 	 96.89µs
0 	 333 	 97.521µs
0 	 334 	 95.232µs
0 	 335 	 97.566µs
0 	 336 	 96.096µs
0 	 337 	 95.526µs
0 	 338 	 96.967µs
0 	 339 	 95.891µs
0 	 340 	 93.989µs
0 	 341 	 93.579µs
0 	 342 	 93.645µs
0 	 343 	 93.906µs
0 	 344 	 95.98µs
0 	 345 	 97.362µs
0 	 346 	 100.262µs
0 	 347 	 96.766µs
0 	 348 	 97.74µs
0 	 349 	 96.268µs
0 	 350 	 98.054µs
0 	 351 	 101.789µs
0 	 352 	 97.706µs
0 	 353 	 99.824µs
0 	 354 	 285.879µs
0 	 355 	 101.8µs
0 	 356 	 98.418µs
0 	 357 	 97.883µs
0 	 358 	 97.978µs
0 	 359 	 96.475µs
0 	 360 	 96.063µs
0 	 361 	 96.228µs
0 	 362 	 94.14µs
0 	 363 	 97.382µs
0 	 364 	 95.813µs
0 	 365 	 98.093µs
0 	 366 	 97.832µs
0 	 367 	 97.947µs
0 	 368 	 103.35µs
0 	 369 	 97.195µs
0 	 370 	 97.804µs
0 	 371 	 98.381µs
0 	 372 	 98.135µs
0 	 373 	 95.219µs
0 	 374 	 97.189µs
0 	 375 	 98.987µs
0 	 376 	 94.776µs
0 	 377 	 95.463µs
