ConnID	RqstID	Latency
0 	 0 	 83.625µs
0 	 1 	 82.966µs
0 	 2 	 82.584µs
0 	 3 	 81.619µs
0 	 4 	 102.315µs
0 	 5 	 120.639µs
0 	 6 	 118.034µs
0 	 7 	 99.478µs
0 	 8 	 100.96µs
0 	 9 	 117.38µs
0 	 10 	 99.515µs
0 	 11 	 102.76µs
0 	 12 	 115.313µs
0 	 13 	 100.163µs
0 	 14 	 98.644µs
0 	 15 	 107.913µs
0 	 16 	 110.01µs
0 	 17 	 99.992µs
0 	 18 	 99.189µs
0 	 19 	 113.246µs
0 	 20 	 100.584µs
0 	 21 	 98.953µs
0 	 22 	 112.782µs
0 	 23 	 100.272µs
0 	 24 	 99.452µs
0 	 25 	 110.146µs
0 	 26 	 97.902µs
0 	 27 	 99.388µs
0 	 28 	 111.672µs
0 	 29 	 100.96µs
0 	 30 	 138.191µs
0 	 31 	 153.71µs
0 	 32 	 101.445µs
0 	 33 	 102.901µs
0 	 34 	 113.24µs
0 	 35 	 101.158µs
0 	 36 	 101.03µs
0 	 37 	 113.972µs
0 	 38 	 110.455µs
0 	 39 	 110.785µs
0 	 40 	 111.697µs
0 	 41 	 109.768µs
0 	 42 	 136.814µs
0 	 43 	 111.593µs
0 	 44 	 98.848µs
0 	 45 	 99.61µs
0 	 46 	 113.635µs
0 	 47 	 99.954µs
0 	 48 	 99.216µs
0 	 49 	 112.347µs
0 	 50 	 100.483µs
0 	 51 	 100.063µs
0 	 52 	 111.219µs
0 	 53 	 99.04µs
0 	 54 	 100.444µs
0 	 55 	 112.076µs
0 	 56 	 101.154µs
0 	 57 	 101.265µs
0 	 58 	 113.342µs
0 	 59 	 100.887µs
0 	 60 	 101.031µs
0 	 61 	 109.349µs
0 	 62 	 97.786µs
0 	 63 	 138.287µs
0 	 64 	 107.773µs
0 	 65 	 112.937µs
0 	 66 	 102.158µs
0 	 67 	 102.043µs
0 	 68 	 116.113µs
0 	 69 	 101.607µs
0 	 70 	 102.19µs
0 	 71 	 113.279µs
0 	 72 	 101.451µs
0 	 73 	 102.005µs
0 	 74 	 116.288µs
0 	 75 	 104.48µs
0 	 76 	 101.523µs
0 	 77 	 112.485µs
0 	 78 	 101.442µs
0 	 79 	 100.634µs
0 	 80 	 113.616µs
0 	 81 	 102.42µs
0 	 82 	 101.596µs
0 	 83 	 113.396µs
0 	 84 	 98.784µs
0 	 85 	 101.327µs
0 	 86 	 112.633µs
0 	 87 	 100.42µs
0 	 88 	 101.009µs
0 	 89 	 112.261µs
0 	 90 	 99.952µs
0 	 91 	 100.366µs
0 	 92 	 112.141µs
0 	 93 	 100.039µs
0 	 94 	 101.503µs
0 	 95 	 121.22µs
0 	 96 	 100.742µs
0 	 97 	 100.233µs
0 	 98 	 116.118µs
0 	 99 	 100.383µs
0 	 100 	 100.257µs
0 	 101 	 112.221µs
0 	 102 	 98.774µs
0 	 103 	 99.282µs
0 	 104 	 115.471µs
0 	 105 	 91.651µs
0 	 106 	 95.837µs
0 	 107 	 104.42µs
0 	 108 	 99.696µs
0 	 109 	 92.512µs
0 	 110 	 95.88µs
0 	 111 	 107.157µs
0 	 112 	 92.233µs
0 	 113 	 490.393µs
0 	 114 	 83.251µs
0 	 115 	 112.165µs
0 	 116 	 111.667µs
0 	 117 	 134.998µs
0 	 118 	 100.534µs
0 	 119 	 93.989µs
0 	 120 	 110.782µs
0 	 121 	 100.359µs
0 	 122 	 99.753µs
0 	 123 	 111.19µs
0 	 124 	 111.137µs
0 	 125 	 100.221µs
0 	 126 	 101.11µs
0 	 127 	 120.45µs
0 	 128 	 101.724µs
0 	 129 	 100.59µs
0 	 130 	 100.557µs
0 	 131 	 101.88µs
0 	 132 	 112.567µs
0 	 133 	 99.2µs
0 	 134 	 111.224µs
0 	 135 	 112.266µs
0 	 136 	 100.802µs
0 	 137 	 102.079µs
0 	 138 	 113.933µs
0 	 139 	 102.573µs
0 	 140 	 99.188µs
0 	 141 	 119.558µs
0 	 142 	 115.02µs
0 	 143 	 102.381µs
0 	 144 	 102.223µs
0 	 145 	 115.475µs
0 	 146 	 99.974µs
0 	 147 	 100.878µs
0 	 148 	 113.577µs
0 	 149 	 112.068µs
0 	 150 	 94.006µs
0 	 151 	 95.55µs
0 	 152 	 100.161µs
0 	 153 	 102.932µs
0 	 154 	 116.147µs
0 	 155 	 100.958µs
0 	 156 	 99.209µs
0 	 157 	 112.152µs
0 	 158 	 99.866µs
0 	 159 	 151.008µs
0 	 160 	 128.527µs
0 	 161 	 101.508µs
0 	 162 	 110.556µs
0 	 163 	 113.992µs
0 	 164 	 100.232µs
0 	 165 	 113.408µs
0 	 166 	 112.81µs
0 	 167 	 99.482µs
0 	 168 	 111.593µs
0 	 169 	 115.666µs
0 	 170 	 101.333µs
0 	 171 	 103.69µs
0 	 172 	 114.597µs
0 	 173 	 117.189µs
0 	 174 	 116.703µs
0 	 175 	 114.233µs
0 	 176 	 113.834µs
0 	 177 	 100.294µs
0 	 178 	 138.614µs
0 	 179 	 139.063µs
0 	 180 	 101.089µs
0 	 181 	 114.096µs
0 	 182 	 114.372µs
0 	 183 	 105.453µs
0 	 184 	 109.731µs
0 	 185 	 102.288µs
0 	 186 	 115.182µs
0 	 187 	 101.948µs
0 	 188 	 100.586µs
0 	 189 	 113.65µs
0 	 190 	 116.711µs
0 	 191 	 107.964µs
0 	 192 	 100.289µs
0 	 193 	 114.083µs
0 	 194 	 101.316µs
0 	 195 	 100.75µs
0 	 196 	 112.001µs
0 	 197 	 100.534µs
0 	 198 	 101.027µs
0 	 199 	 114.587µs
0 	 200 	 100.01µs
0 	 201 	 100.39µs
0 	 202 	 113.315µs
0 	 203 	 102.893µs
0 	 204 	 99.621µs
0 	 205 	 113.464µs
0 	 206 	 100.614µs
0 	 207 	 113.35µs
0 	 208 	 113.24µs
0 	 209 	 99.72µs
0 	 210 	 114.791µs
0 	 211 	 109.794µs
0 	 212 	 100.793µs
0 	 213 	 99.235µs
0 	 214 	 115.059µs
0 	 215 	 99.52µs
0 	 216 	 114.645µs
0 	 217 	 113.65µs
0 	 218 	 99.469µs
0 	 219 	 99.547µs
0 	 220 	 112.467µs
0 	 221 	 100.531µs
0 	 222 	 113.964µs
0 	 223 	 117.803µs
0 	 224 	 100.033µs
0 	 225 	 99.823µs
0 	 226 	 111.282µs
0 	 227 	 101.103µs
0 	 228 	 101.538µs
0 	 229 	 114.336µs
0 	 230 	 100.922µs
0 	 231 	 100.791µs
0 	 232 	 115.123µs
0 	 233 	 100.263µs
0 	 234 	 109.865µs
0 	 235 	 114.201µs
0 	 236 	 99.418µs
0 	 237 	 101.455µs
0 	 238 	 100.514µs
0 	 239 	 109.661µs
0 	 240 	 112.588µs
0 	 241 	 114.335µs
0 	 242 	 100.588µs
0 	 243 	 104.916µs
0 	 244 	 114.153µs
0 	 245 	 101.518µs
0 	 246 	 101.068µs
0 	 247 	 116.772µs
0 	 248 	 115.044µs
0 	 249 	 112.539µs
0 	 250 	 102.576µs
0 	 251 	 102.538µs
0 	 252 	 110.02µs
0 	 253 	 98.291µs
0 	 254 	 108.35µs
0 	 255 	 152.947µs
0 	 256 	 101.394µs
0 	 257 	 115.694µs
0 	 258 	 116.343µs
0 	 259 	 104.889µs
0 	 260 	 117.281µs
0 	 261 	 98.626µs
0 	 262 	 100.473µs
0 	 263 	 114.446µs
0 	 264 	 99.75µs
0 	 265 	 113.975µs
0 	 266 	 116.405µs
0 	 267 	 105.227µs
0 	 268 	 100.594µs
0 	 269 	 114.387µs
0 	 270 	 112.003µs
0 	 271 	 102.395µs
0 	 272 	 100.781µs
0 	 273 	 113.435µs
0 	 274 	 100.88µs
0 	 275 	 100.631µs
0 	 276 	 113.882µs
0 	 277 	 109.098µs
0 	 278 	 101.355µs
0 	 279 	 111.356µs
0 	 280 	 100.535µs
0 	 281 	 100.207µs
0 	 282 	 112.88µs
0 	 283 	 124.298µs
0 	 284 	 100.069µs
0 	 285 	 100.537µs
0 	 286 	 115.442µs
0 	 287 	 107.314µs
0 	 288 	 100.678µs
0 	 289 	 115.458µs
0 	 290 	 99.718µs
0 	 291 	 115.238µs
0 	 292 	 113.833µs
