ConnID	RqstID	Latency
0 	 0 	 116.493µs
0 	 1 	 120.663µs
0 	 2 	 93.14µs
0 	 3 	 89.042µs
0 	 4 	 72.253µs
0 	 5 	 81.498µs
0 	 6 	 62.002µs
0 	 7 	 52.22µs
0 	 8 	 44.335µs
0 	 9 	 51.818µs
0 	 10 	 53.111µs
0 	 11 	 59.35µs
0 	 12 	 55.586µs
0 	 13 	 45.536µs
0 	 14 	 59.992µs
0 	 15 	 44.821µs
0 	 16 	 49.026µs
0 	 17 	 54.553µs
0 	 18 	 51.164µs
0 	 19 	 45.554µs
0 	 20 	 59.647µs
0 	 21 	 52.139µs
0 	 22 	 52.261µs
0 	 23 	 53.265µs
0 	 24 	 55.651µs
0 	 25 	 45.804µs
0 	 26 	 59.617µs
0 	 27 	 48.138µs
0 	 28 	 48.976µs
0 	 29 	 116.28µs
0 	 30 	 49.155µs
0 	 31 	 58.998µs
0 	 32 	 63.85µs
0 	 33 	 48.85µs
0 	 34 	 48.935µs
0 	 35 	 53.671µs
0 	 36 	 50.506µs
0 	 37 	 44.681µs
0 	 38 	 59.076µs
0 	 39 	 45.643µs
0 	 40 	 48.616µs
0 	 41 	 53.495µs
0 	 42 	 54.704µs
0 	 43 	 45.664µs
0 	 44 	 57.286µs
0 	 45 	 44.698µs
0 	 46 	 48.773µs
0 	 47 	 53.197µs
0 	 48 	 50.952µs
0 	 49 	 45.189µs
0 	 50 	 51.075µs
0 	 51 	 44.39µs
0 	 52 	 57.665µs
0 	 53 	 45.083µs
0 	 54 	 48.144µs
0 	 55 	 53.445µs
0 	 56 	 51.666µs
0 	 57 	 45.067µs
0 	 58 	 57.113µs
0 	 59 	 44.969µs
0 	 60 	 48.269µs
0 	 61 	 51.781µs
0 	 62 	 50.458µs
0 	 63 	 65.573µs
0 	 64 	 51.735µs
0 	 65 	 43.875µs
0 	 66 	 46.973µs
0 	 67 	 48.979µs
0 	 68 	 53.925µs
0 	 69 	 51.338µs
0 	 70 	 44.738µs
0 	 71 	 50.996µs
0 	 72 	 44.677µs
0 	 73 	 58.609µs
0 	 74 	 44.775µs
0 	 75 	 48.019µs
0 	 76 	 53.271µs
0 	 77 	 50.698µs
0 	 78 	 44.691µs
0 	 79 	 50.645µs
0 	 80 	 45.131µs
0 	 81 	 58.256µs
0 	 82 	 44.847µs
0 	 83 	 48.004µs
0 	 84 	 53.285µs
0 	 85 	 54.401µs
0 	 86 	 44.568µs
0 	 87 	 50.655µs
0 	 88 	 44.687µs
0 	 89 	 59.59µs
0 	 90 	 44.663µs
0 	 91 	 47.836µs
0 	 92 	 53.267µs
0 	 93 	 50.827µs
0 	 94 	 44.303µs
0 	 95 	 56.946µs
0 	 96 	 46.213µs
0 	 97 	 58.681µs
0 	 98 	 47.411µs
0 	 99 	 48.695µs
0 	 100 	 53.285µs
0 	 101 	 50.196µs
0 	 102 	 44.683µs
0 	 103 	 58.145µs
0 	 104 	 45.396µs
0 	 105 	 48.75µs
0 	 106 	 53.092µs
0 	 107 	 222.531µs
0 	 108 	 48.68µs
0 	 109 	 45.454µs
0 	 110 	 52.757µs
0 	 111 	 45.01µs
0 	 112 	 59.344µs
0 	 113 	 44.758µs
0 	 114 	 48.329µs
0 	 115 	 53.262µs
0 	 116 	 50.167µs
0 	 117 	 44.828µs
0 	 118 	 50.933µs
0 	 119 	 44.318µs
0 	 120 	 59.182µs
0 	 121 	 44.741µs
0 	 122 	 48.025µs
0 	 123 	 53.135µs
0 	 124 	 50.162µs
0 	 125 	 44.715µs
0 	 126 	 51.525µs
0 	 127 	 51.318µs
0 	 128 	 73.391µs
0 	 129 	 47.936µs
0 	 130 	 49.079µs
0 	 131 	 53.449µs
0 	 132 	 50.965µs
0 	 133 	 44.582µs
0 	 134 	 50.956µs
0 	 135 	 45.138µs
0 	 136 	 59.602µs
0 	 137 	 44.929µs
0 	 138 	 48.765µs
0 	 139 	 53.341µs
0 	 140 	 50.912µs
0 	 141 	 44.844µs
0 	 142 	 56.676µs
0 	 143 	 44.717µs
0 	 144 	 53.827µs
0 	 145 	 53.404µs
0 	 146 	 50.712µs
0 	 147 	 44.92µs
0 	 148 	 50.937µs
0 	 149 	 48.215µs
0 	 150 	 59.696µs
0 	 151 	 47.731µs
0 	 152 	 49.659µs
0 	 153 	 53.855µs
0 	 154 	 50.19µs
0 	 155 	 44.496µs
0 	 156 	 56.085µs
0 	 157 	 44.521µs
0 	 158 	 63.742µs
0 	 159 	 53.444µs
0 	 160 	 52.304µs
0 	 161 	 62.732µs
0 	 162 	 50.733µs
0 	 163 	 43.044µs
0 	 164 	 46.922µs
0 	 165 	 47.808µs
0 	 166 	 53.155µs
0 	 167 	 50.792µs
0 	 168 	 44.47µs
0 	 169 	 56.957µs
0 	 170 	 44.186µs
0 	 171 	 63.727µs
0 	 172 	 47.401µs
0 	 173 	 48.502µs
0 	 174 	 53.435µs
0 	 175 	 50.283µs
0 	 176 	 45.286µs
0 	 177 	 59.361µs
0 	 178 	 44.605µs
0 	 179 	 48.335µs
0 	 180 	 53.165µs
0 	 181 	 50.214µs
0 	 182 	 218.454µs
