ConnID	RqstID	Latency
0 	 0 	 349.607µs
0 	 1 	 251.131µs
0 	 2 	 245.138µs
0 	 3 	 217.885µs
0 	 4 	 210.58µs
0 	 5 	 179.581µs
0 	 6 	 191.736µs
0 	 7 	 268.53µs
0 	 8 	 251.515µs
0 	 9 	 263.132µs
0 	 10 	 264.278µs
0 	 11 	 421.171µs
0 	 12 	 378.239µs
0 	 13 	 365.834µs
0 	 14 	 533.128µs
0 	 15 	 355.251µs
0 	 16 	 349.419µs
0 	 17 	 381.321µs
0 	 18 	 361.034µs
0 	 19 	 345.812µs
0 	 20 	 373.444µs
0 	 21 	 361.113µs
0 	 22 	 360.249µs
0 	 23 	 350.521µs
0 	 24 	 321.97µs
0 	 25 	 232.639µs
0 	 26 	 315.453µs
0 	 27 	 365.946µs
0 	 28 	 333.266µs
0 	 29 	 357.528µs
0 	 30 	 412.051µs
0 	 31 	 366.295µs
0 	 32 	 389.923µs
0 	 33 	 363.972µs
0 	 34 	 348.575µs
0 	 35 	 385.773µs
0 	 36 	 338.794µs
0 	 37 	 338.233µs
0 	 38 	 379.832µs
0 	 39 	 315.58µs
0 	 40 	 322.863µs
0 	 41 	 314.702µs
0 	 42 	 347.23µs
0 	 43 	 277.632µs
0 	 44 	 338.7µs
0 	 45 	 355.174µs
0 	 46 	 335.443µs
0 	 47 	 327.666µs
0 	 48 	 330.921µs
0 	 49 	 335.854µs
0 	 50 	 336.714µs
0 	 51 	 331.713µs
0 	 52 	 339.541µs
0 	 53 	 340.379µs
0 	 54 	 345.581µs
0 	 55 	 368.553µs
0 	 56 	 317.44µs
0 	 57 	 345.755µs
0 	 58 	 352.039µs
0 	 59 	 256.665µs
0 	 60 	 230.339µs
0 	 61 	 239.438µs
0 	 62 	 236.064µs
0 	 63 	 242.972µs
0 	 64 	 273.61µs
0 	 65 	 236.546µs
0 	 66 	 222.699µs
0 	 67 	 296.268µs
0 	 68 	 294.716µs
0 	 69 	 353.61µs
0 	 70 	 375.887µs
0 	 71 	 328.936µs
0 	 72 	 419.441µs
0 	 73 	 321.211µs
0 	 74 	 324.943µs
0 	 75 	 313.878µs
0 	 76 	 322.31µs
0 	 77 	 311.384µs
0 	 78 	 395.853µs
0 	 79 	 266.034µs
0 	 80 	 267.601µs
0 	 81 	 391.706µs
0 	 82 	 361.463µs
0 	 83 	 355.365µs
0 	 84 	 364.268µs
0 	 85 	 375.675µs
0 	 86 	 412.849µs
0 	 87 	 364.796µs
0 	 88 	 352.92µs
0 	 89 	 354.727µs
0 	 90 	 350.277µs
0 	 91 	 336.892µs
0 	 92 	 356.47µs
0 	 93 	 304.707µs
0 	 94 	 309.521µs
0 	 95 	 333.533µs
0 	 96 	 326.457µs
0 	 97 	 335.106µs
0 	 98 	 322.046µs
0 	 99 	 302.201µs
0 	 100 	 323.106µs
0 	 101 	 318.7µs
0 	 102 	 354.422µs
0 	 103 	 265.249µs
0 	 104 	 304.562µs
0 	 105 	 318.79µs
0 	 106 	 259.37µs
0 	 107 	 289.814µs
0 	 108 	 302.094µs
0 	 109 	 295.232µs
0 	 110 	 295.779µs
0 	 111 	 289.454µs
0 	 112 	 317.325µs
0 	 113 	 324.802µs
0 	 114 	 286.59µs
0 	 115 	 287.142µs
0 	 116 	 289.992µs
0 	 117 	 304.805µs
0 	 118 	 316.804µs
0 	 119 	 292.606µs
0 	 120 	 351.384µs
0 	 121 	 341.352µs
0 	 122 	 342.765µs
0 	 123 	 318.038µs
0 	 124 	 309.286µs
0 	 125 	 312.947µs
0 	 126 	 314.447µs
0 	 127 	 363.346µs
0 	 128 	 353.052µs
0 	 129 	 336.872µs
0 	 130 	 357.04µs
0 	 131 	 347.542µs
0 	 132 	 344.246µs
0 	 133 	 344.104µs
0 	 134 	 345.593µs
0 	 135 	 343.849µs
0 	 136 	 313.609µs
0 	 137 	 318.282µs
0 	 138 	 317.153µs
0 	 139 	 294.923µs
0 	 140 	 295.011µs
0 	 141 	 293.608µs
0 	 142 	 301.776µs
0 	 143 	 301.889µs
0 	 144 	 267.37µs
0 	 145 	 289.974µs
0 	 146 	 286.515µs
0 	 147 	 291.16µs
0 	 148 	 301.459µs
0 	 149 	 294.315µs
0 	 150 	 301.655µs
0 	 151 	 324.747µs
0 	 152 	 328.597µs
0 	 153 	 352.869µs
0 	 154 	 529.423µs
0 	 155 	 347.677µs
0 	 156 	 328.114µs
0 	 157 	 345.689µs
0 	 158 	 343.91µs
0 	 159 	 324.252µs
0 	 160 	 373.659µs
0 	 161 	 379.126µs
0 	 162 	 381.539µs
0 	 163 	 385.571µs
0 	 164 	 374.832µs
0 	 165 	 380.644µs
0 	 166 	 365.382µs
0 	 167 	 363.836µs
0 	 168 	 346.981µs
0 	 169 	 326.104µs
0 	 170 	 361.144µs
0 	 171 	 332.637µs
0 	 172 	 314.349µs
0 	 173 	 301.397µs
0 	 174 	 304.242µs
0 	 175 	 295.785µs
0 	 176 	 303.392µs
0 	 177 	 310.587µs
0 	 178 	 318.837µs
0 	 179 	 351.097µs
0 	 180 	 348.793µs
0 	 181 	 305.963µs
0 	 182 	 322.137µs
0 	 183 	 336.457µs
0 	 184 	 371.734µs
0 	 185 	 344.567µs
0 	 186 	 340.867µs
0 	 187 	 310.09µs
0 	 188 	 332.167µs
0 	 189 	 310.333µs
0 	 190 	 316.152µs
0 	 191 	 313.009µs
0 	 192 	 307.44µs
0 	 193 	 297.057µs
0 	 194 	 321.847µs
0 	 195 	 305.255µs
0 	 196 	 338.269µs
0 	 197 	 333.337µs
0 	 198 	 344.509µs
0 	 199 	 341.7µs
0 	 200 	 307.677µs
0 	 201 	 303.18µs
0 	 202 	 318.149µs
0 	 203 	 296.03µs
0 	 204 	 307.002µs
0 	 205 	 304.194µs
0 	 206 	 297.08µs
0 	 207 	 284.559µs
0 	 208 	 312.854µs
0 	 209 	 295.231µs
0 	 210 	 311.439µs
0 	 211 	 304.888µs
0 	 212 	 309.702µs
0 	 213 	 307.142µs
0 	 214 	 306.603µs
0 	 215 	 318.719µs
0 	 216 	 299.97µs
0 	 217 	 360.004µs
0 	 218 	 385.884µs
0 	 219 	 327.75µs
0 	 220 	 388.182µs
0 	 221 	 362.624µs
0 	 222 	 343.894µs
0 	 223 	 357.894µs
0 	 224 	 333.689µs
0 	 225 	 333.995µs
0 	 226 	 382.391µs
0 	 227 	 380.267µs
0 	 228 	 395.081µs
0 	 229 	 382.451µs
0 	 230 	 381.721µs
0 	 231 	 374.352µs
0 	 232 	 383.909µs
0 	 233 	 389.307µs
0 	 234 	 367.922µs
0 	 235 	 359.659µs
0 	 236 	 366.204µs
0 	 237 	 369.851µs
0 	 238 	 361.716µs
0 	 239 	 334.215µs
0 	 240 	 345.589µs
0 	 241 	 337.327µs
0 	 242 	 321.837µs
0 	 243 	 289.868µs
0 	 244 	 327.479µs
0 	 245 	 294.502µs
0 	 246 	 298.415µs
0 	 247 	 295.894µs
0 	 248 	 366.599µs
0 	 249 	 338.569µs
0 	 250 	 294.252µs
0 	 251 	 296.397µs
0 	 252 	 330.119µs
0 	 253 	 289.72µs
0 	 254 	 298.732µs
0 	 255 	 306.555µs
0 	 256 	 330.539µs
0 	 257 	 308.935µs
0 	 258 	 297.473µs
0 	 259 	 283.927µs
0 	 260 	 389.566µs
0 	 261 	 344.332µs
0 	 262 	 333.306µs
0 	 263 	 352.117µs
0 	 264 	 393.921µs
0 	 265 	 305.03µs
0 	 266 	 341.576µs
0 	 267 	 321.634µs
0 	 268 	 353.445µs
0 	 269 	 299.955µs
0 	 270 	 320.445µs
0 	 271 	 310.68µs
0 	 272 	 313.987µs
0 	 273 	 330.524µs
0 	 274 	 345.974µs
0 	 275 	 340.929µs
0 	 276 	 320.63µs
0 	 277 	 318.244µs
0 	 278 	 325.933µs
0 	 279 	 315.289µs
