ConnID	RqstID	Latency
0 	 0 	 254.702µs
0 	 1 	 225.497µs
0 	 2 	 170.636µs
0 	 3 	 195.715µs
0 	 4 	 218.601µs
0 	 5 	 286.11µs
0 	 6 	 267.607µs
0 	 7 	 262.857µs
0 	 8 	 282.711µs
0 	 9 	 221.538µs
0 	 10 	 251.33µs
0 	 11 	 243.647µs
0 	 12 	 256.634µs
0 	 13 	 298.219µs
0 	 14 	 263.103µs
0 	 15 	 255.673µs
0 	 16 	 283.27µs
0 	 17 	 299.276µs
0 	 18 	 290.618µs
0 	 19 	 263.014µs
0 	 20 	 249.422µs
0 	 21 	 328.435µs
0 	 22 	 296.855µs
0 	 23 	 8.717985ms
0 	 24 	 7.745629ms
0 	 25 	 6.737559ms
0 	 26 	 5.793479ms
0 	 27 	 4.733014ms
0 	 28 	 3.778032ms
0 	 29 	 2.783619ms
0 	 30 	 1.789434ms
0 	 31 	 758.38µs
0 	 32 	 229.107µs
0 	 33 	 250.581µs
0 	 34 	 193.292µs
0 	 35 	 228.193µs
0 	 36 	 243.212µs
0 	 37 	 300.793µs
0 	 38 	 311.793µs
0 	 39 	 261.092µs
0 	 40 	 258.763µs
0 	 41 	 316.669µs
0 	 42 	 310.033µs
0 	 43 	 273.216µs
0 	 44 	 274.328µs
0 	 45 	 287.183µs
0 	 46 	 281.78µs
0 	 47 	 254.504µs
0 	 48 	 334.479µs
0 	 49 	 294.116µs
0 	 50 	 279.165µs
0 	 51 	 275.64µs
0 	 52 	 272.495µs
0 	 53 	 323.707µs
0 	 54 	 315.527µs
0 	 55 	 271.652µs
0 	 56 	 268.148µs
0 	 57 	 279.213µs
0 	 58 	 289.098µs
0 	 59 	 254.569µs
0 	 60 	 211.177µs
0 	 61 	 272.491µs
0 	 62 	 270.36µs
0 	 63 	 222.796µs
0 	 64 	 241.523µs
0 	 65 	 290.944µs
0 	 66 	 256.915µs
0 	 67 	 404.351µs
0 	 68 	 286.703µs
0 	 69 	 287.213µs
0 	 70 	 253.171µs
0 	 71 	 245.181µs
0 	 72 	 270.804µs
0 	 73 	 304.033µs
0 	 74 	 273.567µs
0 	 75 	 286.936µs
0 	 76 	 275.628µs
0 	 77 	 310.703µs
0 	 78 	 215.862µs
0 	 79 	 271.274µs
0 	 80 	 279.55µs
0 	 81 	 276.196µs
0 	 82 	 282.322µs
0 	 83 	 271.791µs
0 	 84 	 273.545µs
0 	 85 	 272.065µs
0 	 86 	 308.296µs
0 	 87 	 270.945µs
0 	 88 	 268.524µs
0 	 89 	 273.222µs
0 	 90 	 252.286µs
0 	 91 	 278.236µs
0 	 92 	 244.395µs
0 	 93 	 241.097µs
0 	 94 	 243.355µs
0 	 95 	 253.841µs
0 	 96 	 270.999µs
0 	 97 	 242.329µs
0 	 98 	 246.118µs
0 	 99 	 245.319µs
0 	 100 	 308.449µs
0 	 101 	 314.19µs
0 	 102 	 306.815µs
0 	 103 	 310.782µs
0 	 104 	 316.293µs
0 	 105 	 198.454µs
0 	 106 	 242.835µs
0 	 107 	 243.709µs
0 	 108 	 246.919µs
0 	 109 	 305.713µs
0 	 110 	 282.47µs
0 	 111 	 293.161µs
0 	 112 	 306.382µs
0 	 113 	 271.849µs
0 	 114 	 266.269µs
0 	 115 	 255.745µs
0 	 116 	 273.313µs
0 	 117 	 259.841µs
0 	 118 	 261.042µs
0 	 119 	 268.505µs
0 	 120 	 272.36µs
0 	 121 	 223.031µs
0 	 122 	 270.667µs
0 	 123 	 272.046µs
0 	 124 	 304.953µs
0 	 125 	 306.252µs
0 	 126 	 277.711µs
0 	 127 	 321.54µs
0 	 128 	 297.294µs
0 	 129 	 297.252µs
0 	 130 	 263.92µs
0 	 131 	 266.987µs
0 	 132 	 270.808µs
0 	 133 	 328.217µs
0 	 134 	 325.837µs
0 	 135 	 309.041µs
0 	 136 	 295µs
0 	 137 	 318.118µs
0 	 138 	 310.121µs
0 	 139 	 280.355µs
0 	 140 	 266.677µs
0 	 141 	 256.639µs
0 	 142 	 261.05µs
0 	 143 	 274.051µs
0 	 144 	 273.346µs
0 	 145 	 277.901µs
0 	 146 	 271.665µs
0 	 147 	 252.236µs
0 	 148 	 253.619µs
0 	 149 	 280.839µs
0 	 150 	 278.075µs
0 	 151 	 273.078µs
0 	 152 	 273.067µs
0 	 153 	 249.438µs
0 	 154 	 249.068µs
0 	 155 	 248.991µs
0 	 156 	 245.19µs
0 	 157 	 261.944µs
0 	 158 	 251.224µs
0 	 159 	 264.359µs
0 	 160 	 197.388µs
0 	 161 	 280.443µs
0 	 162 	 272.309µs
0 	 163 	 272.998µs
0 	 164 	 269.452µs
0 	 165 	 254.671µs
0 	 166 	 250.8µs
0 	 167 	 249.304µs
0 	 168 	 273.836µs
0 	 169 	 255.398µs
0 	 170 	 251.977µs
0 	 171 	 254.94µs
0 	 172 	 313.405µs
0 	 173 	 323.624µs
0 	 174 	 315.034µs
0 	 175 	 320.952µs
0 	 176 	 314.946µs
0 	 177 	 320.513µs
0 	 178 	 275.004µs
0 	 179 	 274.584µs
0 	 180 	 255.524µs
0 	 181 	 288.105µs
0 	 182 	 285.434µs
0 	 183 	 287.379µs
0 	 184 	 283.159µs
0 	 185 	 288.093µs
0 	 186 	 284.993µs
0 	 187 	 289.383µs
0 	 188 	 284.23µs
0 	 189 	 292.476µs
0 	 190 	 285.998µs
0 	 191 	 324.766µs
0 	 192 	 307.566µs
0 	 193 	 315.569µs
0 	 194 	 293.75µs
0 	 195 	 257.208µs
0 	 196 	 248.242µs
0 	 197 	 242.886µs
0 	 198 	 246.966µs
0 	 199 	 271.288µs
0 	 200 	 271.384µs
0 	 201 	 271.83µs
0 	 202 	 242.705µs
0 	 203 	 247.022µs
0 	 204 	 243.956µs
0 	 205 	 243.732µs
0 	 206 	 246.966µs
0 	 207 	 247.497µs
0 	 208 	 268.953µs
0 	 209 	 223.722µs
0 	 210 	 269.917µs
0 	 211 	 268.069µs
0 	 212 	 271.835µs
0 	 213 	 272.405µs
0 	 214 	 270.189µs
0 	 215 	 246.092µs
0 	 216 	 245.995µs
0 	 217 	 250.501µs
0 	 218 	 288.946µs
0 	 219 	 292.675µs
0 	 220 	 247.555µs
0 	 221 	 250.148µs
0 	 222 	 270.657µs
0 	 223 	 287.306µs
0 	 224 	 278.584µs
0 	 225 	 316.782µs
0 	 226 	 284.069µs
0 	 227 	 289.821µs
0 	 228 	 286.717µs
0 	 229 	 293.07µs
0 	 230 	 270.359µs
0 	 231 	 278.12µs
0 	 232 	 274.839µs
0 	 233 	 273.069µs
