ConnID	RqstID	Latency
0 	 0 	 288.17µs
0 	 1 	 313.149µs
0 	 2 	 363.186µs
0 	 3 	 332.032µs
0 	 4 	 328.997µs
0 	 5 	 296.557µs
0 	 6 	 247.85µs
0 	 7 	 238.995µs
0 	 8 	 250.325µs
0 	 9 	 240.053µs
0 	 10 	 253.058µs
0 	 11 	 241.243µs
0 	 12 	 244.935µs
0 	 13 	 263.2µs
0 	 14 	 232.331µs
0 	 15 	 256.65µs
0 	 16 	 240.355µs
0 	 17 	 261.96µs
0 	 18 	 228.823µs
0 	 19 	 264.02µs
0 	 20 	 240.857µs
0 	 21 	 255.887µs
0 	 22 	 242.138µs
0 	 23 	 270.038µs
0 	 24 	 285.057µs
0 	 25 	 298.522µs
0 	 26 	 277.035µs
0 	 27 	 260.545µs
0 	 28 	 272.325µs
0 	 29 	 231.865µs
0 	 30 	 239.45µs
0 	 31 	 260.45µs
0 	 32 	 232.593µs
0 	 33 	 257.115µs
0 	 34 	 243.598µs
0 	 35 	 243.055µs
0 	 36 	 231.053µs
0 	 37 	 269.31µs
0 	 38 	 238.082µs
0 	 39 	 250.798µs
0 	 40 	 250.547µs
0 	 41 	 239.513µs
0 	 42 	 256.415µs
0 	 43 	 245.38µs
0 	 44 	 249.148µs
0 	 45 	 238.78µs
0 	 46 	 235.813µs
0 	 47 	 256.045µs
0 	 48 	 253.937µs
0 	 49 	 221.54µs
0 	 50 	 271.24µs
0 	 51 	 308.952µs
0 	 52 	 279.105µs
0 	 53 	 241.113µs
0 	 54 	 227.676µs
0 	 55 	 236.878µs
0 	 56 	 244.822µs
0 	 57 	 227.936µs
0 	 58 	 258.843µs
0 	 59 	 228.988µs
0 	 60 	 253.575µs
0 	 61 	 254.88µs
0 	 62 	 255.695µs
0 	 63 	 253.173µs
0 	 64 	 239.673µs
0 	 65 	 275.34µs
0 	 66 	 271.782µs
0 	 67 	 235.026µs
0 	 68 	 208.935µs
0 	 69 	 169.816µs
0 	 70 	 219.955µs
0 	 71 	 200.225µs
0 	 72 	 173.403µs
0 	 73 	 195.666µs
0 	 74 	 244.579µs
0 	 75 	 205.539µs
0 	 76 	 161.804µs
0 	 77 	 207.731µs
0 	 78 	 242.348µs
0 	 79 	 241.208µs
0 	 80 	 260.695µs
0 	 81 	 257.705µs
0 	 82 	 246.512µs
0 	 83 	 249.608µs
0 	 84 	 230.47µs
0 	 85 	 257.948µs
0 	 86 	 248.338µs
0 	 87 	 249.797µs
0 	 88 	 236.438µs
0 	 89 	 246.502µs
0 	 90 	 234.323µs
0 	 91 	 255.465µs
0 	 92 	 242.928µs
0 	 93 	 242.11µs
0 	 94 	 267.288µs
0 	 95 	 244.485µs
0 	 96 	 230.19µs
0 	 97 	 241.211µs
0 	 98 	 231.152µs
0 	 99 	 242.548µs
0 	 100 	 267.105µs
0 	 101 	 271.098µs
0 	 102 	 252.125µs
0 	 103 	 233.493µs
0 	 104 	 252.51µs
0 	 105 	 245.033µs
0 	 106 	 232.238µs
0 	 107 	 254.278µs
0 	 108 	 244.996µs
0 	 109 	 241.34µs
0 	 110 	 235.383µs
0 	 111 	 258.505µs
0 	 112 	 274.148µs
0 	 113 	 207.313µs
0 	 114 	 181.428µs
0 	 115 	 154.058µs
0 	 116 	 157.858µs
0 	 117 	 220.476µs
0 	 118 	 246.84µs
0 	 119 	 231.353µs
0 	 120 	 152.433µs
0 	 121 	 262.868µs
0 	 122 	 267.775µs
0 	 123 	 228.613µs
0 	 124 	 236.395µs
0 	 125 	 236.107µs
0 	 126 	 229.046µs
0 	 127 	 259.188µs
0 	 128 	 222.093µs
0 	 129 	 205.493µs
0 	 130 	 186.69µs
0 	 131 	 264.413µs
0 	 132 	 246.353µs
0 	 133 	 239.283µs
0 	 134 	 270.192µs
0 	 135 	 290.117µs
