16	1000 	 269.166µs 	 371.8µs 	 1.225233ms 	 52.317µs 	 999.3049923715504 	 127911.03902355845 	 2.0465766243769352e+06
32	1000 	 266.77µs 	 366.971µs 	 1.210861ms 	 39.478µs 	 999.2773685738065 	 255815.00635489446 	 2.0465200508391557e+06
64	1000 	 298.968µs 	 394.965µs 	 633.997µs 	 39.792µs 	 999.4205998990969 	 511703.34714833763 	 2.0468133885933505e+06
128	1000 	 249.942µs 	 366.553µs 	 1.601124ms 	 52.612µs 	 999.3532156008035 	 1.0233376927752228e+06 	 2.0466753855504456e+06
256	1000 	 248.314µs 	 389.022µs 	 898.622µs 	 34.759µs 	 999.4661661308122 	 2.0469067082359034e+06 	 2.0469067082359034e+06
512	1000 	 309.146µs 	 393.521µs 	 599.639µs 	 34.628µs 	 999.4422392706457 	 4.093715412052565e+06 	 2.0468577060262824e+06
1024	1000 	 291.545µs 	 390.29µs 	 1.649165ms 	 54.713µs 	 999.4776989409535 	 8.187721309724291e+06 	 2.0469303274310727e+06
2048	1000 	 268.82µs 	 390.588µs 	 1.317186ms 	 55.319µs 	 999.4651612056098 	 1.637523720119271e+07 	 2.0469046501490888e+06
4096	1000 	 224.883µs 	 392.856µs 	 1.215174ms 	 49.748µs 	 999.4745292646627 	 3.2750781374944467e+07 	 2.0469238359340292e+06
8192	1000 	 296.742µs 	 398.647µs 	 1.336456ms 	 51.861µs 	 999.4837626386621 	 6.550216786828736e+07 	 2.04694274588398e+06
16384	1000 	 250.931µs 	 371.276µs 	 807.007µs 	 55.335µs 	 999.3449024341421 	 1.3098613505184788e+08 	 2.046658360185123e+06
32768	1000 	 382.523µs 	 490.892µs 	 1.380102ms 	 58.286µs 	 999.548444994038 	 2.620256275645171e+08 	 2.04707521534779e+06
65536	1000 	 599.747µs 	 761.714µs 	 1.361062ms 	 69.696µs 	 999.4161141218949 	 5.2398187564074004e+08 	 2.0468042017216408e+06
131072	1000 	 954.954µs 	 1.171821ms 	 2.972438ms 	 160.784µs 	 999.3072911781356 	 1.0478496421544048e+09 	 2.0465813323328218e+06
262144	1000 	 3.086885ms 	 15.044859ms 	 19.177937ms 	 1.93503ms 	 905.8054104088689 	 1.8996116280497801e+09 	 1.8550894805173634e+06
