ConnID	RqstID	Latency
0 	 0 	 351.883µs
0 	 1 	 297.208µs
0 	 2 	 319.19µs
0 	 3 	 285.012µs
0 	 4 	 282.61µs
0 	 5 	 280.137µs
0 	 6 	 291.51µs
0 	 7 	 283.183µs
0 	 8 	 285.063µs
0 	 9 	 246.265µs
0 	 10 	 233.423µs
0 	 11 	 230.365µs
0 	 12 	 213.573µs
0 	 13 	 232.885µs
0 	 14 	 234.29µs
0 	 15 	 366.131µs
0 	 16 	 298.142µs
0 	 17 	 280.513µs
0 	 18 	 260.025µs
0 	 19 	 242.43µs
0 	 20 	 214.708µs
0 	 21 	 207.473µs
0 	 22 	 233.178µs
0 	 23 	 229.64µs
0 	 24 	 210.605µs
0 	 25 	 235.433µs
0 	 26 	 229.615µs
0 	 27 	 230.39µs
0 	 28 	 219.051µs
0 	 29 	 300.108µs
0 	 30 	 302.254µs
0 	 31 	 288.565µs
0 	 32 	 333.474µs
0 	 33 	 297.115µs
0 	 34 	 302.177µs
0 	 35 	 240.948µs
0 	 36 	 224.241µs
0 	 37 	 218.863µs
0 	 38 	 220.271µs
0 	 39 	 231.183µs
0 	 40 	 221.991µs
0 	 41 	 228.173µs
0 	 42 	 217.788µs
0 	 43 	 231.273µs
0 	 44 	 223.378µs
0 	 45 	 218.616µs
0 	 46 	 215.085µs
0 	 47 	 346.249µs
0 	 48 	 296.745µs
0 	 49 	 294.58µs
0 	 50 	 297.487µs
0 	 51 	 238.208µs
0 	 52 	 224.346µs
0 	 53 	 219.735µs
0 	 54 	 220.928µs
0 	 55 	 220.828µs
0 	 56 	 219.263µs
0 	 57 	 232.755µs
0 	 58 	 233.893µs
0 	 59 	 233.03µs
0 	 60 	 239.73µs
0 	 61 	 225.04µs
0 	 62 	 238.536µs
0 	 63 	 310.72µs
0 	 64 	 239.313µs
0 	 65 	 218.038µs
0 	 66 	 232.726µs
0 	 67 	 232.201µs
0 	 68 	 303.687µs
0 	 69 	 296.317µs
0 	 70 	 291.487µs
0 	 71 	 289.795µs
0 	 72 	 236.385µs
0 	 73 	 226.738µs
0 	 74 	 215.638µs
0 	 75 	 217.883µs
0 	 76 	 224.358µs
0 	 77 	 224.738µs
0 	 78 	 229.233µs
0 	 79 	 266.412µs
0 	 80 	 223.453µs
0 	 81 	 221.566µs
0 	 82 	 222.043µs
0 	 83 	 217.985µs
0 	 84 	 232.431µs
0 	 85 	 223.628µs
0 	 86 	 216.328µs
0 	 87 	 227.43µs
0 	 88 	 216.026µs
0 	 89 	 173.141µs
0 	 90 	 170.951µs
0 	 91 	 174.169µs
0 	 92 	 172.471µs
0 	 93 	 173.576µs
0 	 94 	 172.456µs
0 	 95 	 187.451µs
0 	 96 	 155.549µs
0 	 97 	 174.328µs
0 	 98 	 175.956µs
0 	 99 	 175.736µs
0 	 100 	 174.611µs
0 	 101 	 169.163µs
0 	 102 	 158.718µs
0 	 103 	 173.131µs
0 	 104 	 168.816µs
0 	 105 	 176.516µs
0 	 106 	 171.551µs
0 	 107 	 169.994µs
0 	 108 	 173.596µs
0 	 109 	 177.056µs
0 	 110 	 174.141µs
0 	 111 	 177.359µs
0 	 112 	 181.928µs
0 	 113 	 157.911µs
0 	 114 	 179.75µs
0 	 115 	 174.568µs
0 	 116 	 175.398µs
0 	 117 	 182.361µs
0 	 118 	 178.036µs
0 	 119 	 176.116µs
0 	 120 	 174.593µs
0 	 121 	 171.466µs
0 	 122 	 174.898µs
0 	 123 	 171.781µs
0 	 124 	 178.944µs
0 	 125 	 166.239µs
0 	 126 	 178.521µs
0 	 127 	 187.558µs
0 	 128 	 162.021µs
0 	 129 	 179.918µs
0 	 130 	 173.811µs
0 	 131 	 178.786µs
0 	 132 	 171.716µs
0 	 133 	 169.658µs
0 	 134 	 169.806µs
0 	 135 	 176.619µs
0 	 136 	 191.913µs
0 	 137 	 172.998µs
0 	 138 	 173.631µs
0 	 139 	 169.423µs
0 	 140 	 174.518µs
0 	 141 	 175.558µs
0 	 142 	 175.115µs
0 	 143 	 167.141µs
0 	 144 	 176.846µs
0 	 145 	 217.595µs
0 	 146 	 153.734µs
0 	 147 	 174.86µs
0 	 148 	 154.243µs
0 	 149 	 175.008µs
0 	 150 	 171.693µs
0 	 151 	 172.706µs
0 	 152 	 172.729µs
0 	 153 	 171.761µs
0 	 154 	 173.715µs
0 	 155 	 175.206µs
0 	 156 	 174.688µs
0 	 157 	 174.289µs
0 	 158 	 173.539µs
0 	 159 	 179.683µs
0 	 160 	 160.286µs
0 	 161 	 172.588µs
0 	 162 	 173.274µs
0 	 163 	 176.619µs
0 	 164 	 171.798µs
0 	 165 	 178.601µs
0 	 166 	 171.108µs
0 	 167 	 174.146µs
0 	 168 	 171.896µs
0 	 169 	 171.501µs
0 	 170 	 183.166µs
0 	 171 	 158.438µs
0 	 172 	 176.221µs
0 	 173 	 174.313µs
0 	 174 	 173.851µs
0 	 175 	 172.941µs
0 	 176 	 178.661µs
0 	 177 	 175.291µs
0 	 178 	 176.013µs
0 	 179 	 172.218µs
0 	 180 	 173.381µs
0 	 181 	 174.806µs
0 	 182 	 173.818µs
0 	 183 	 170.456µs
0 	 184 	 173.308µs
0 	 185 	 169.009µs
0 	 186 	 192.283µs
0 	 187 	 130.859µs
0 	 188 	 176.711µs
0 	 189 	 174.598µs
0 	 190 	 174.704µs
0 	 191 	 185.92µs
0 	 192 	 162.963µs
0 	 193 	 174.981µs
0 	 194 	 171.276µs
0 	 195 	 177.544µs
0 	 196 	 175.4µs
0 	 197 	 170.529µs
0 	 198 	 174.584µs
0 	 199 	 171.026µs
0 	 200 	 173.611µs
0 	 201 	 172.456µs
0 	 202 	 173.913µs
0 	 203 	 173.781µs
0 	 204 	 174.156µs
0 	 205 	 173.213µs
0 	 206 	 172.118µs
0 	 207 	 174.703µs
0 	 208 	 174.68µs
0 	 209 	 173.571µs
0 	 210 	 184.131µs
0 	 211 	 176.491µs
0 	 212 	 170.763µs
0 	 213 	 174.301µs
0 	 214 	 172.138µs
0 	 215 	 169.258µs
0 	 216 	 174.998µs
0 	 217 	 169.091µs
0 	 218 	 162.668µs
0 	 219 	 170.308µs
0 	 220 	 171.503µs
0 	 221 	 184.058µs
0 	 222 	 162.342µs
0 	 223 	 182.848µs
0 	 224 	 183.938µs
0 	 225 	 175.816µs
0 	 226 	 178.571µs
0 	 227 	 164.119µs
0 	 228 	 171.784µs
0 	 229 	 164.146µs
0 	 230 	 176.978µs
0 	 231 	 172.014µs
0 	 232 	 174.679µs
0 	 233 	 174.766µs
0 	 234 	 174.974µs
0 	 235 	 177.966µs
0 	 236 	 175.866µs
0 	 237 	 174.961µs
0 	 238 	 176.756µs
0 	 239 	 179.106µs
0 	 240 	 178.074µs
0 	 241 	 170.901µs
0 	 242 	 171.356µs
0 	 243 	 173.249µs
0 	 244 	 173.114µs
0 	 245 	 175.618µs
0 	 246 	 174.715µs
0 	 247 	 172.881µs
0 	 248 	 183.956µs
0 	 249 	 172.491µs
0 	 250 	 172.931µs
0 	 251 	 175.468µs
0 	 252 	 175.086µs
0 	 253 	 171.551µs
0 	 254 	 170.131µs
0 	 255 	 187.35µs
0 	 256 	 162.333µs
0 	 257 	 174.126µs
0 	 258 	 175.563µs
0 	 259 	 175.974µs
0 	 260 	 172.033µs
0 	 261 	 175.461µs
0 	 262 	 174.386µs
0 	 263 	 172.889µs
0 	 264 	 175.671µs
0 	 265 	 179.721µs
0 	 266 	 171.368µs
0 	 267 	 169.391µs
0 	 268 	 173.111µs
0 	 269 	 170.921µs
0 	 270 	 173.553µs
0 	 271 	 173.901µs
0 	 272 	 170.853µs
0 	 273 	 175.271µs
0 	 274 	 180.213µs
0 	 275 	 173.166µs
0 	 276 	 171.551µs
0 	 277 	 171.636µs
0 	 278 	 177.26µs
0 	 279 	 205.753µs
0 	 280 	 200.958µs
0 	 281 	 234.466µs
0 	 282 	 228.36µs
0 	 283 	 212.221µs
0 	 284 	 157.388µs
0 	 285 	 188.226µs
0 	 286 	 166.326µs
0 	 287 	 188.504µs
0 	 288 	 159.476µs
0 	 289 	 171.181µs
0 	 290 	 178.168µs
0 	 291 	 173.086µs
0 	 292 	 174.128µs
0 	 293 	 172.319µs
0 	 294 	 171.881µs
0 	 295 	 173.788µs
0 	 296 	 182.248µs
0 	 297 	 180.586µs
0 	 298 	 179.598µs
0 	 299 	 165.718µs
0 	 300 	 178.148µs
0 	 301 	 163.196µs
0 	 302 	 176.995µs
0 	 303 	 156.536µs
0 	 304 	 170.011µs
0 	 305 	 199.369µs
0 	 306 	 148.271µs
0 	 307 	 174.156µs
0 	 308 	 175.988µs
0 	 309 	 177.618µs
0 	 310 	 175.833µs
0 	 311 	 170.048µs
0 	 312 	 184.551µs
0 	 313 	 179.879µs
0 	 314 	 175.646µs
0 	 315 	 174.518µs
0 	 316 	 176.526µs
0 	 317 	 233.691µs
0 	 318 	 246.103µs
0 	 319 	 225.885µs
0 	 320 	 219.171µs
0 	 321 	 192.278µs
0 	 322 	 155.999µs
0 	 323 	 168.311µs
0 	 324 	 176.271µs
0 	 325 	 175.301µs
0 	 326 	 175.219µs
0 	 327 	 179.226µs
0 	 328 	 172.33µs
0 	 329 	 186.464µs
0 	 330 	 174.676µs
0 	 331 	 173.041µs
0 	 332 	 173.093µs
0 	 333 	 171.214µs
0 	 334 	 173.291µs
0 	 335 	 171.114µs
0 	 336 	 171.521µs
0 	 337 	 168.923µs
0 	 338 	 178.778µs
0 	 339 	 175.026µs
0 	 340 	 169.526µs
0 	 341 	 219.828µs
0 	 342 	 193.091µs
0 	 343 	 162.026µs
0 	 344 	 173.693µs
0 	 345 	 243.688µs
0 	 346 	 255.062µs
0 	 347 	 248.688µs
0 	 348 	 298.02µs
0 	 349 	 194.698µs
0 	 350 	 217.488µs
0 	 351 	 235.916µs
0 	 352 	 226.006µs
0 	 353 	 229.695µs
0 	 354 	 234.413µs
0 	 355 	 218.043µs
0 	 356 	 227.723µs
0 	 357 	 228.676µs
0 	 358 	 230.003µs
0 	 359 	 235.541µs
0 	 360 	 227.631µs
0 	 361 	 233.655µs
0 	 362 	 236.013µs
0 	 363 	 233.696µs
0 	 364 	 217.435µs
0 	 365 	 220.053µs
0 	 366 	 223.708µs
0 	 367 	 237.693µs
0 	 368 	 177.918µs
0 	 369 	 170.891µs
0 	 370 	 172.619µs
0 	 371 	 170.264µs
0 	 372 	 174.601µs
0 	 373 	 171.891µs
0 	 374 	 173.573µs
0 	 375 	 171.769µs
0 	 376 	 172.593µs
0 	 377 	 171.911µs
0 	 378 	 170.944µs
0 	 379 	 153.271µs
0 	 380 	 172.233µs
0 	 381 	 177.103µs
0 	 382 	 173.826µs
0 	 383 	 181.293µs
0 	 384 	 160.531µs
0 	 385 	 174.781µs
0 	 386 	 171.953µs
0 	 387 	 171.311µs
0 	 388 	 173.04µs
0 	 389 	 170.661µs
0 	 390 	 189.393µs
0 	 391 	 291.6µs
0 	 392 	 234.203µs
0 	 393 	 209.626µs
0 	 394 	 225.28µs
0 	 395 	 231.136µs
0 	 396 	 215.968µs
0 	 397 	 218.231µs
0 	 398 	 228.061µs
0 	 399 	 220.328µs
0 	 400 	 229.478µs
0 	 401 	 216.115µs
0 	 402 	 223.86µs
0 	 403 	 220.146µs
0 	 404 	 219.683µs
0 	 405 	 176.283µs
0 	 406 	 178.456µs
0 	 407 	 171.134µs
0 	 408 	 170.651µs
0 	 409 	 172.598µs
0 	 410 	 170.881µs
0 	 411 	 170.678µs
0 	 412 	 172.143µs
0 	 413 	 174.836µs
0 	 414 	 174.751µs
0 	 415 	 183.256µs
0 	 416 	 160.489µs
0 	 417 	 175.769µs
0 	 418 	 171.674µs
0 	 419 	 173.266µs
0 	 420 	 171.038µs
0 	 421 	 175.183µs
0 	 422 	 170.364µs
0 	 423 	 168.903µs
0 	 424 	 172.909µs
0 	 425 	 171.094µs
0 	 426 	 169.116µs
0 	 427 	 180.126µs
0 	 428 	 172.608µs
0 	 429 	 162.433µs
0 	 430 	 174.349µs
0 	 431 	 167.111µs
0 	 432 	 178.843µs
0 	 433 	 172.986µs
0 	 434 	 175.786µs
0 	 435 	 170.919µs
0 	 436 	 172.629µs
0 	 437 	 173.02µs
0 	 438 	 171.149µs
0 	 439 	 169.756µs
0 	 440 	 171.101µs
0 	 441 	 172.396µs
0 	 442 	 175.329µs
0 	 443 	 169.441µs
0 	 444 	 172.296µs
0 	 445 	 170.244µs
0 	 446 	 169.243µs
0 	 447 	 186.376µs
0 	 448 	 162.814µs
0 	 449 	 178.236µs
0 	 450 	 175.448µs
0 	 451 	 175.543µs
0 	 452 	 180.263µs
0 	 453 	 175.476µs
0 	 454 	 172.536µs
0 	 455 	 180.328µs
0 	 456 	 176.189µs
0 	 457 	 173.386µs
0 	 458 	 170.411µs
0 	 459 	 172.388µs
0 	 460 	 173.586µs
0 	 461 	 173.903µs
0 	 462 	 169.316µs
0 	 463 	 170.043µs
0 	 464 	 175.276µs
0 	 465 	 172.968µs
0 	 466 	 177.091µs
0 	 467 	 175.946µs
0 	 468 	 176.161µs
0 	 469 	 176.468µs
0 	 470 	 176.124µs
0 	 471 	 187.376µs
0 	 472 	 169.386µs
0 	 473 	 174.651µs
0 	 474 	 170.974µs
0 	 475 	 181.76µs
0 	 476 	 161.703µs
0 	 477 	 174.273µs
0 	 478 	 177.229µs
0 	 479 	 181.296µs
0 	 480 	 160.036µs
0 	 481 	 170.481µs
0 	 482 	 172.5µs
0 	 483 	 175.711µs
0 	 484 	 170.238µs
0 	 485 	 176.054µs
0 	 486 	 168.968µs
