10ms	1000 	 303.111µs 	 465.551µs 	 984.822µs 	 36.439µs 	 99.99385701738554 	 102393.70958580279 	 204787.41917160558
3ms	1000 	 302.902µs 	 418.959µs 	 1.791639ms 	 58.947µs 	 333.2707794078508 	 341269.2781136392 	 682538.5562272784
1ms	1000 	 248.701µs 	 392.32µs 	 501.8µs 	 31.385µs 	 999.4789466381438 	 1.0234664413574593e+06 	 2.0469328827149186e+06
300us	1000 	 150.746µs 	 319.174µs 	 1.535432ms 	 75.233µs 	 3320.5749648604306 	 3.400268764017081e+06 	 6.800537528034162e+06
100us	1000 	 110.646µs 	 197.581µs 	 428.755µs 	 52.13µs 	 8880.385741933273 	 9.093514999739671e+06 	 1.8187029999479342e+07
30us	1000 	 102.6µs 	 197.269µs 	 1.838254ms 	 173.409µs 	 10921.095456643 	 1.1183201747602431e+07 	 2.2366403495204862e+07
10us	1000 	 99.594µs 	 163.576µs 	 511.965µs 	 44.065µs 	 12945.327184147578 	 1.325601503656712e+07 	 2.651203007313424e+07
3us	1000 	 100.974µs 	 168.022µs 	 1.297446ms 	 77.048µs 	 13375.62509813529 	 1.3696640100490537e+07 	 2.7393280200981073e+07
1us	1000 	 102.484µs 	 172.248µs 	 455.778µs 	 39.098µs 	 13658.106161809525 	 1.3985900709692953e+07 	 2.7971801419385906e+07
300ns	1000 	 100.934µs 	 165.179µs 	 481.795µs 	 44.437µs 	 13725.678749226112 	 1.4055095039207539e+07 	 2.8110190078415077e+07
100ns	1000 	 108.294µs 	 181.302µs 	 534.54µs 	 49.378µs 	 13509.747032553667 	 1.3833980961334955e+07 	 2.766796192266991e+07
30ns	1000 	 105.66µs 	 187.405µs 	 501.075µs 	 46.526µs 	 13841.080068198324 	 1.4173265989835083e+07 	 2.8346531979670167e+07
10ns	1000 	 94.878µs 	 159.912µs 	 445.898µs 	 41.99µs 	 15498.674902042561 	 1.5870643099691583e+07 	 3.1741286199383166e+07
3ns	1000 	 101.13µs 	 174.368µs 	 444.923µs 	 37.451µs 	 14559.22047371161 	 1.4908641765080689e+07 	 2.9817283530161377e+07
1ns	1000 	 91.09µs 	 159.837µs 	 470.507µs 	 42.27µs 	 15745.828319927203 	 1.6123728199605456e+07 	 3.224745639921091e+07
0ns	1000 	 1.495421ms 	 2.898539ms 	 5.365711ms 	 1.288901ms 	 128118.28700213073 	 1.3119312589018187e+08 	 2.6238625178036374e+08
